Date,DEXJPUS,MaxDate,Max,MinDate,Min
2005-06-01,4.27,2005-06-30,110.91,2005-06-07,106.64
2005-07-01,-2.95,2005-07-20,113.42,2005-07-21,110.47
2005-08-01,-2.75,2005-08-01,112.12,2005-08-16,109.37
2005-09-01,3.66,2005-09-27,113.32,2005-09-02,109.66
2005-10-01,2.82,2005-10-31,116.36,2005-10-06,113.54
2005-11-01,3.03,2005-11-30,119.66,2005-11-01,116.63
2005-12-01,-5.15,2005-12-07,120.93,2005-12-16,115.78
2006-01-01,3.59,2006-01-30,117.55,2006-01-11,113.96
2006-02-01,-3.13,2006-02-03,118.95,2006-02-28,115.82
2006-03-01,-3.18,2006-03-10,119.07,2006-03-17,115.89
2006-04-01,-4.87,2006-04-10,118.66,2006-04-28,113.79
2006-05-01,-3.39,2006-05-04,113.46,2006-05-16,110.07
2006-06-01,4.76,2006-06-28,116.42,2006-06-02,111.66
2006-07-01,3.47,2006-07-18,117.44,2006-07-10,113.97
2006-08-01,3.14,2006-08-31,117.35,2006-08-04,114.21
2006-09-01,1.98,2006-09-18,118.02,2006-09-05,116.04
2006-10-01,-2.99,2006-10-13,119.81,2006-10-31,116.82
2006-11-01,-2.85,2006-11-06,118.4,2006-11-30,115.55
2006-12-01,4.04,2006-12-29,119.02,2006-12-05,114.98
2007-01-01,3.32,2007-01-29,121.81,2007-01-08,118.49
2007-02-01,-3.44,2007-02-12,121.77,2007-02-28,118.33
2007-03-01,2.14,2007-03-09,118.15,2007-03-05,116.01
2007-04-01,2.15,2007-04-16,119.84,2007-04-02,117.69
2007-05-01,2.02,2007-05-29,121.79,2007-05-01,119.77
2007-06-01,3.01,2007-06-22,124.09,2007-06-06,121.08
2007-07-01,-4.93,2007-07-09,123.34,2007-07-30,118.41
2007-08-01,-5.95,2007-08-08,119.76,2007-08-17,113.81
2007-09-01,-2.78,2007-09-04,116.21,2007-09-10,113.43
2007-10-01,-3.77,2007-10-11,117.71,2007-10-24,113.94
2007-11-01,-6.7,2007-11-01,114.87,2007-11-23,108.17
2007-12-01,4.77,2007-12-24,114.45,2007-12-04,109.68
2008-01-01,-4.28,2008-01-02,109.7,2008-01-23,105.42
2008-02-01,-3.96,2008-02-13,108.15,2008-02-29,104.19
2008-03-01,-7.11,2008-03-05,103.99,2008-03-17,96.88
2008-04-01,3.69,2008-04-18,104.56,2008-04-14,100.87
2008-05-01,2.51,2008-05-29,105.52,2008-05-09,103.01
