Bin,Frequency,Ratio
-37,1,0.83
-36,0,0
-35,0,0
-34,0,0
-33,0,0
-32,0,0
-31,0,0
-30,0,0
-29,0,0
-28,0,0
-27,0,0
-26,0,0
-25,0,0
-24,1,0.83
-23,0,0
-22,2,1.67
-21,0,0
-20,2,1.67
-19,0,0
-18,0,0
-17,1,0.83
-16,2,1.67
-15,0,0
-14,1,0.83
-13,2,1.67
-12,4,3.33
-11,5,4.17
-10,3,2.5
-9,4,3.33
-8,9,7.5
-7,4,3.33
-6,8,6.67
-5,7,5.83
-4,3,2.5
-3,0,0
-2,0,0
-1,0,0
0,0,0
1,0,0
2,1,0.83
3,0,0
4,9,7.5
5,7,5.83
6,8,6.67
7,10,8.33
8,3,2.5
9,6,5
10,5,4.17
11,1,0.83
12,0,0
13,3,2.5
14,1,0.83
15,2,1.67
16,0,0
17,1,0.83
18,2,1.67
19,0,0
20,1,0.83
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,1,0.83
32,0,0
