Bin,Frequency,Ratio
-0.186,1,0.24
-0.185,0,0
-0.184,0,0
-0.183,0,0
-0.182,0,0
-0.181,0,0
-0.18,0,0
-0.179,0,0
-0.178,0,0
-0.177,0,0
-0.176,0,0
-0.175,0,0
-0.174,0,0
-0.173,0,0
-0.172,0,0
-0.171,0,0
-0.17,0,0
-0.169,0,0
-0.168,0,0
-0.167,0,0
-0.166,0,0
-0.165,0,0
-0.164,0,0
-0.163,0,0
-0.162,0,0
-0.161,0,0
-0.16,0,0
-0.159,0,0
-0.158,0,0
-0.157,0,0
-0.156,0,0
-0.155,0,0
-0.154,0,0
-0.153,0,0
-0.152,0,0
-0.151,0,0
-0.15,0,0
-0.149,0,0
-0.148,0,0
-0.147,0,0
-0.146,0,0
-0.145,0,0
-0.144,0,0
-0.143,0,0
-0.142,0,0
-0.141,0,0
-0.14,0,0
-0.139,0,0
-0.138,0,0
-0.137,0,0
-0.136,0,0
-0.135,0,0
-0.134,0,0
-0.133,0,0
-0.132,0,0
-0.131,1,0.24
-0.13,0,0
-0.129,0,0
-0.128,0,0
-0.127,0,0
-0.126,0,0
-0.125,0,0
-0.124,0,0
-0.123,0,0
-0.122,0,0
-0.121,0,0
-0.12,0,0
-0.119,0,0
-0.118,0,0
-0.117,0,0
-0.116,0,0
-0.115,0,0
-0.114,0,0
-0.113,0,0
-0.112,0,0
-0.111,0,0
-0.11,0,0
-0.109,0,0
-0.108,1,0.24
-0.107,0,0
-0.106,0,0
-0.105,0,0
-0.104,0,0
-0.103,0,0
-0.102,1,0.24
-0.101,0,0
-0.1,0,0
-0.099,0,0
-0.098,0,0
-0.097,1,0.24
-0.096,0,0
-0.095,1,0.24
-0.094,0,0
-0.093,0,0
-0.092,0,0
-0.091,0,0
-0.09,0,0
-0.089,0,0
-0.088,0,0
-0.087,0,0
-0.086,0,0
-0.085,0,0
-0.084,1,0.24
-0.083,0,0
-0.082,0,0
-0.081,1,0.24
-0.08,0,0
-0.079,0,0
-0.078,0,0
-0.077,0,0
-0.076,2,0.47
-0.075,0,0
-0.074,1,0.24
-0.073,0,0
-0.072,0,0
-0.071,1,0.24
-0.07,0,0
-0.069,1,0.24
-0.068,1,0.24
-0.067,0,0
-0.066,1,0.24
-0.065,0,0
-0.064,2,0.47
-0.063,0,0
-0.062,0,0
-0.061,0,0
-0.06,1,0.24
-0.059,2,0.47
-0.058,1,0.24
-0.057,0,0
-0.056,1,0.24
-0.055,2,0.47
-0.054,1,0.24
-0.053,0,0
-0.052,0,0
-0.051,0,0
-0.05,1,0.24
-0.049,4,0.94
-0.048,2,0.47
-0.047,0,0
-0.046,3,0.71
-0.045,2,0.47
-0.044,2,0.47
-0.043,2,0.47
-0.042,0,0
-0.041,1,0.24
-0.04,3,0.71
-0.039,4,0.94
-0.038,2,0.47
-0.037,2,0.47
-0.036,4,0.94
-0.035,1,0.24
-0.034,2,0.47
-0.033,5,1.18
-0.032,2,0.47
-0.031,6,1.41
-0.03,10,2.35
-0.029,5,1.18
