Date,Agricultural Raw Materials Index、 2005 = 100、 includes Timber、 Cotton、 Wool、 Rubber、 and Hides Price Indices
1980-01-01,78.9
1980-02-01,75.72
1980-03-01,69
1980-04-01,67.88
1980-05-01,65.88
1980-06-01,67.81
1980-07-01,71.54
1980-08-01,76.03
1980-09-01,71.31
1980-10-01,70.98
1980-11-01,74.29
1980-12-01,72.35
1981-01-01,69.45
1981-02-01,65.82
1981-03-01,65.76
1981-04-01,65.97
1981-05-01,65.28
1981-06-01,65.15
1981-07-01,62.33
1981-08-01,62.56
1981-09-01,60.22
1981-10-01,60.27
1981-11-01,61.16
1981-12-01,61.09
1982-01-01,63.51
1982-02-01,62.08
1982-03-01,61.05
1982-04-01,61.28
1982-05-01,63.06
1982-06-01,61
1982-07-01,61.29
1982-08-01,61
1982-09-01,60.15
1982-10-01,58.66
1982-11-01,57.51
1982-12-01,57.27
1983-01-01,57.56
1983-02-01,56.87
1983-03-01,58.76
1983-04-01,59.77
1983-05-01,63.88
1983-06-01,64.6
1983-07-01,67.74
1983-08-01,68.24
1983-09-01,68.29
1983-10-01,69.11
1983-11-01,71.03
1983-12-01,72.71
1984-01-01,72
1984-02-01,71.69
1984-03-01,73.48
1984-04-01,73.34
1984-05-01,76.5
1984-06-01,76.14
1984-07-01,73.7
1984-08-01,72.35
1984-09-01,71.57
1984-10-01,71.96
1984-11-01,70.16
1984-12-01,60.14
1985-01-01,59.58
1985-02-01,58.5
1985-03-01,57.21
1985-04-01,59.5
1985-05-01,59.23
1985-06-01,64.22
1985-07-01,63.97
1985-08-01,59.47
1985-09-01,58.58
1985-10-01,62.86
1985-11-01,66.48
1985-12-01,65.1
1986-01-01,64.02
1986-02-01,66.41
1986-03-01,64.53
1986-04-01,67.29
1986-05-01,71.14
1986-06-01,70.05
1986-07-01,67.87
1986-08-01,67.57
1986-09-01,67.25
1986-10-01,69.29
1986-11-01,70.31
1986-12-01,71.6
1987-01-01,72.48
1987-02-01,74.75
1987-03-01,78.22
1987-04-01,86.25
1987-05-01,88.47
1987-06-01,87.4
1987-07-01,89.7
1987-08-01,93.91
1987-09-01,99.75
1987-10-01,99.52
1987-11-01,98.29
1987-12-01,96.34
1988-01-01,94.28
1988-02-01,93.35
1988-03-01,99.78
1988-04-01,103.11
1988-05-01,103.84
1988-06-01,98.23
1988-07-01,93.7
1988-08-01,97.44
1988-09-01,93.03
1988-10-01,90.35
1988-11-01,88.02
1988-12-01,88.79
1989-01-01,91.4
1989-02-01,93.56
1989-03-01,98.04
1989-04-01,95.03
1989-05-01,96.33
1989-06-01,98.9
1989-07-01,102.88
1989-08-01,104.15
1989-09-01,105.67
