Date,Aluminum、 99.5% minimum purity、 LME spot price、 CIF UK ports、 US＄ per metric ton
1980-01-01,2054.86
1980-02-01,2131.01
1980-03-01,1978.38
1980-04-01,1932.46
1980-05-01,1775.8
1980-06-01,1668.96
1980-07-01,1758.07
1980-08-01,1783.63
1980-09-01,1655.07
1980-10-01,1626.15
1980-11-01,1503.91
1980-12-01,1430.66
1981-01-01,1430.83
1981-02-01,1452.38
1981-03-01,1442.95
1981-04-01,1369.23
1981-05-01,1297
1981-06-01,1232.41
1981-07-01,1175.31
1981-08-01,1230.83
1981-09-01,1168.91
1981-10-01,1140.18
1981-11-01,1081.85
1981-12-01,1130.88
1982-01-01,1113.26
1982-02-01,1087.71
1982-03-01,1029.24
1982-04-01,996.21
1982-05-01,973.29
1982-06-01,918.85
1982-07-01,957.85
1982-08-01,958.86
1982-09-01,959.53
1982-10-01,951.48
1982-11-01,965.15
1982-12-01,987.39
1983-01-01,1076.53
1983-02-01,1230.46
1983-03-01,1301.73
1983-04-01,1363.57
1983-05-01,1453.43
1983-06-01,1465.58
1983-07-01,1520.21
1983-08-01,1603.67
1983-09-01,1613.73
1983-10-01,1566.26
1983-11-01,1516.73
1983-12-01,1549.34
1984-01-01,1548.91
1984-02-01,1491.16
1984-03-01,1455.76
1984-04-01,1370.35
1984-05-01,1289.14
1984-06-01,1275.03
1984-07-01,1162.81
1984-08-01,1136.01
1984-09-01,1012.17
1984-10-01,1027.65
1984-11-01,1154.66
1984-12-01,1095.7
1985-01-01,1075.85
1985-02-01,1097.9
1985-03-01,1095.26
1985-04-01,1108.92
1985-05-01,1104.51
1985-06-01,1031.76
1985-07-01,1011.92
1985-08-01,1018.53
1985-09-01,985.47
1985-10-01,970.03
1985-11-01,950.19
1985-12-01,1038.38
1986-01-01,1119.95
1986-02-01,1115.54
1986-03-01,1168.45
1986-04-01,1164.04
1986-05-01,1164.04
1986-06-01,1183.88
1986-07-01,1122.15
1986-08-01,1128.77
1986-09-01,1205.93
1986-10-01,1161.83
1986-11-01,1130.97
1986-12-01,1130.97
1987-01-01,1170.65
1987-02-01,1283.09
1987-03-01,1369.07
1987-04-01,1399.93
1987-05-01,1410.96
1987-06-01,1472.69
1987-07-01,1653.47
1987-08-01,1809.99
1987-09-01,1746.06
1987-10-01,1962.11
1987-11-01,1679.92
1987-12-01,1823.22
1988-01-01,2001.79
1988-02-01,2138.48
1988-03-01,2526.49
1988-04-01,2508.86
1988-05-01,2987.26
1988-06-01,3578.1
1988-07-01,2581.61
1988-08-01,2700.66
1988-09-01,2387.6
1988-10-01,2308.24
1988-11-01,2380.99
1988-12-01,2458.15
1989-01-01,2398.63
1989-02-01,2175.6
1989-03-01,2074.55
1989-04-01,2125.8
1989-05-01,2259
1989-06-01,1914
1989-07-01,1756
1989-08-01,1798
1989-09-01,1718
1989-10-01,1820
1989-11-01,1736
1989-12-01,1633
1990-01-01,1528
1990-02-01,1454
1990-03-01,1567
1990-04-01,1526
1990-05-01,1527
1990-06-01,1566
1990-07-01,1571
1990-08-01,1782
1990-09-01,2067
1990-10-01,1946
1990-11-01,1618
1990-12-01,1522
1991-01-01,1515
1991-02-01,1505
1991-03-01,1496
1991-04-01,1392
1991-05-01,1299.95
1991-06-01,1283.55
1991-07-01,1297.55
1991-08-01,1259.69
1991-09-01,1212.1
1991-10-01,1152.95
1991-11-01,1134.93
1991-12-01,1099.53
1992-01-01,1181.23
1992-02-01,1270.75
1992-03-01,1282.02
1992-04-01,1317.13
1992-05-01,1306.71
1992-06-01,1275.27
1992-07-01,1314.35
1992-08-01,1305.55
1992-09-01,1270.21
1992-10-01,1180.84
1992-11-01,1162.21
1992-12-01,1209.02
1993-01-01,1208.1
1993-02-01,1203.15
1993-03-01,1150.48
1993-04-01,1110.28
1993-05-01,1125.42
1993-06-01,1168.09
1993-07-01,1203.18
1993-08-01,1172.76
1993-09-01,1116.91
1993-10-01,1089.43
1993-11-01,1040.02
1993-12-01,1091.35
1994-01-01,1170
1994-02-01,1270.53
1994-03-01,1287.7
1994-04-01,1277.29
1994-05-01,1321.05
1994-06-01,1402.36
1994-07-01,1491.95
1994-08-01,1457.07
1994-09-01,1571.09
1994-10-01,1694.26
1994-11-01,1885.89
1994-12-01,1878.38
1995-01-01,2059.36
1995-02-01,1905.45
1995-03-01,1799.98
1995-04-01,1849.44
1995-05-01,1765.48
1995-06-01,1775.8
1995-07-01,1867.28
1995-08-01,1890.05
1995-09-01,1761.72
1995-10-01,1671.95
1995-11-01,1655.93
1995-12-01,1657.82
1996-01-01,1584.48
1996-02-01,1594.57
1996-03-01,1614.86
1996-04-01,1587.4
1996-05-01,1593.86
1996-06-01,1485.75
1996-07-01,1460.02
1996-08-01,1466.79
1996-09-01,1405.76
1996-10-01,1336.02
1996-11-01,1451.05
1996-12-01,1500.98
1997-01-01,1575.14
1997-02-01,1582.05
1997-03-01,1631.18
1997-04-01,1561.11
1997-05-01,1625.45
1997-06-01,1567.19
1997-07-01,1591.59
1997-08-01,1710.03
1997-09-01,1611.62
1997-10-01,1607.33
1997-11-01,1598.32
1997-12-01,1530.52
1998-01-01,1485.47
1998-02-01,1465.18
1998-03-01,1438.32
1998-04-01,1417.55
1998-05-01,1364.32
1998-06-01,1305.52
1998-07-01,1312.67
1998-08-01,1310.55
1998-09-01,1341.89
1998-10-01,1303.7
1998-11-01,1295.3
1998-12-01,1250.39
1999-01-01,1219.4
1999-02-01,1186.47
1999-03-01,1179.86
1999-04-01,1277.85
1999-05-01,1323.13
1999-06-01,1315.52
1999-07-01,1403.36
1999-08-01,1421.69
1999-09-01,1492.07
1999-10-01,1473.33
1999-11-01,1472.43
1999-12-01,1554.74
2000-01-01,1679.85
2000-02-01,1679.42
2000-03-01,1579.64
2000-04-01,1458.74
2000-05-01,1468.07
2000-06-01,1509.37
2000-07-01,1564.38
2000-08-01,1530.33
2000-09-01,1602.31
2000-10-01,1501.25
2000-11-01,1475.55
2000-12-01,1569.06
2001-01-01,1619.88
2001-02-01,1607.03
2001-03-01,1512.17
2001-04-01,1499.48
2001-05-01,1542.39
2001-06-01,1470.83
2001-07-01,1418.62
2001-08-01,1377.85
2001-09-01,1345.99
2001-10-01,1283.53
2001-11-01,1334.45
2001-12-01,1348.72
2002-01-01,1371.36
2002-02-01,1371.08
2002-03-01,1404.98
2002-04-01,1370.39
2002-05-01,1344.43
2002-06-01,1356.93
2002-07-01,1337.87
2002-08-01,1293.36
2002-09-01,1301.7
2002-10-01,1311.46
2002-11-01,1373.27
2002-12-01,1375.86
2003-01-01,1379.29
2003-02-01,1421.56
2003-03-01,1386.55
2003-04-01,1334.32
2003-05-01,1400.41
2003-06-01,1410.54
2003-07-01,1440.9
2003-08-01,1457.24
2003-09-01,1416.6
2003-10-01,1477.25
2003-11-01,1511.6
2003-12-01,1557.78
2004-01-01,1608.89
2004-02-01,1685.22
2004-03-01,1657.35
2004-04-01,1731.68
2004-05-01,1625.27
2004-06-01,1682.04
2004-07-01,1707.87
2004-08-01,1692.1
2004-09-01,1731.02
2004-10-01,1830.37
2004-11-01,1817.35
2004-12-01,1852.92
2005-01-01,1836.21
2005-02-01,1882.8
2005-03-01,1987.52
2005-04-01,1892.01
2005-05-01,1741.45
2005-06-01,1731.94
2005-07-01,1783.26
2005-08-01,1871.27
2005-09-01,1837.69
2005-10-01,1934.14
2005-11-01,2056.97
2005-12-01,2250.9
2006-01-01,2383.3
2006-02-01,2453.38
2006-03-01,2432.48
2006-04-01,2623.86
2006-05-01,2852.07
2006-06-01,2490.95
2006-07-01,2511.83
2006-08-01,2461.55
2006-09-01,2484.38
2006-10-01,2657.15
2006-11-01,2702.14
2006-12-01,2823.67
2007-01-01,2799.06
2007-02-01,2839.05
2007-03-01,2757.08
2007-04-01,2817.05
2007-05-01,2804.6
2007-06-01,2681.31
2007-07-01,2738.09
2007-08-01,2512.6
2007-09-01,2394.96
2007-10-01,2444.53
2007-11-01,2507.15
2007-12-01,2382.83
2008-01-01,2456.13
2008-02-01,2784.89
2008-03-01,3012.05
2008-04-01,2968.03
2008-05-01,2908.28
2008-06-01,2967.87
2008-07-01,3067.46
2008-08-01,2762.56
2008-09-01,2524.15
2008-10-01,2122.03
2008-11-01,1857.13
2008-12-01,1504.42
2009-01-01,1420.36
2009-02-01,1338.06
2009-03-01,1338.08
2009-04-01,1431.81
2009-05-01,1464.42
2009-06-01,1586.34
2009-07-01,1674.33
2009-08-01,1927.64
2009-09-01,1835.6
2009-10-01,1875.66
2009-11-01,1956.55
