Date,Bananas、 Central American and Ecuador、 FOB U.S. Ports、 US＄ per metric ton
1980-01-01,401.96
1980-02-01,372.19
1980-03-01,422.91
1980-04-01,395.9
1980-05-01,444.97
1980-06-01,342.41
1980-07-01,351.78
1980-08-01,342.41
1980-09-01,352.89
1980-10-01,325.32
1980-11-01,379.35
1980-12-01,369.98
1981-01-01,387.62
1981-02-01,435.6
1981-03-01,459.31
1981-04-01,425.67
1981-05-01,449.93
1981-06-01,388.18
1981-07-01,329.73
1981-08-01,305.47
1981-09-01,435.04
1981-10-01,389.28
1981-11-01,395.9
1981-12-01,416.3
1982-01-01,425.12
1982-02-01,383.21
1982-03-01,421.81
1982-04-01,476.4
1982-05-01,438.35
1982-06-01,399.76
1982-07-01,326.97
1982-08-01,302.71
1982-09-01,347.92
1982-10-01,299.4
1982-11-01,333.04
1982-12-01,342.96
1983-01-01,338
1983-02-01,380.3
1983-03-01,406.8
1983-04-01,479.3
1983-05-01,554.2
1983-06-01,504.6
1983-07-01,503.1
1983-08-01,464.1
1983-09-01,418.9
1983-10-01,411.5
1983-11-01,342.5
1983-12-01,342.4
1984-01-01,341.7
1984-02-01,416.52
1984-03-01,413.64
1984-04-01,414.5
1984-05-01,426.22
1984-06-01,458.89
1984-07-01,366.63
1984-08-01,339.62
1984-09-01,378.93
1984-10-01,308.87
1984-11-01,269
1984-12-01,299.22
1985-01-01,376.27
1985-02-01,442.36
1985-03-01,453.7
1985-04-01,484.41
1985-05-01,457.51
1985-06-01,380.5
1985-07-01,320.5
1985-08-01,421.9
1985-09-01,361.5
1985-10-01,278.3
1985-11-01,275
1985-12-01,284.9
1986-01-01,329
1986-02-01,386.4
1986-03-01,499.9
1986-04-01,577.6
1986-05-01,387.5
1986-06-01,345
1986-07-01,330.7
1986-08-01,320.8
1986-09-01,423.8
1986-10-01,374.8
1986-11-01,293.8
1986-12-01,311.4
1987-01-01,421.6
1987-02-01,461.9
1987-03-01,449.2
1987-04-01,350.5
1987-05-01,454.7
1987-06-01,382.5
1987-07-01,435.4
1987-08-01,338.4
1987-09-01,354.4
1987-10-01,270.1
1987-11-01,410.1
1987-12-01,388
1988-01-01,448.1
1988-02-01,485.6
1988-03-01,525.8
1988-04-01,482.3
1988-05-01,558.3
1988-06-01,595.2
1988-07-01,416.7
1988-08-01,358.3
1988-09-01,534.6
1988-10-01,420.5
1988-11-01,410.6
1988-12-01,501.6
1989-01-01,427.1
1989-02-01,492.7
1989-03-01,700
1989-04-01,720.9
1989-05-01,658.6
1989-06-01,526.9
1989-07-01,448.1
1989-08-01,510.4
1989-09-01,517
1989-10-01,551.2
1989-11-01,512.6
1989-12-01,496
1990-01-01,589.7
1990-02-01,644.9
1990-03-01,538.5
1990-04-01,584.2
1990-05-01,494.4
1990-06-01,529.1
1990-07-01,625.6
1990-08-01,546.4
1990-09-01,523.6
1990-10-01,490.7
1990-11-01,427.1
1990-12-01,496
1991-01-01,596.69
1991-02-01,693.77
1991-03-01,837.23
1991-04-01,779.13
1991-05-01,632.63
1991-06-01,633.83
1991-07-01,401.9
1991-08-01,478.5
1991-09-01,366.86
1991-10-01,448.11
1991-11-01,440.92
1991-12-01,403.97
1992-01-01,569.73
1992-02-01,606.27
1992-03-01,606.3
1992-04-01,418.99
1992-05-01,425.83
1992-06-01,404.45
1992-07-01,432.54
1992-08-01,620.71
1992-09-01,511.7
1992-10-01,389.6
1992-11-01,380.03
1992-12-01,310.85
1993-01-01,524.92
1993-02-01,585.61
1993-03-01,659
1993-04-01,563.7
1993-05-01,461.6
1993-06-01,389.56
1993-07-01,350.73
1993-08-01,316.91
1993-09-01,350.76
1993-10-01,330.69
1993-11-01,368.27
1993-12-01,414.56
1994-01-01,532.64
1994-02-01,666.9
1994-03-01,505.62
1994-04-01,496.04
1994-05-01,375.77
1994-06-01,250.51
1994-07-01,446.17
1994-08-01,407.38
1994-09-01,438.41
1994-10-01,323.8
1994-11-01,296.87
1994-12-01,537.38
1995-01-01,358.25
1995-02-01,580.09
1995-03-01,397.79
1995-04-01,385.81
1995-05-01,393
1995-06-01,368.9
1995-07-01,535.41
1995-08-01,520
1995-09-01,520
1995-10-01,433.21
1995-11-01,440.92
1995-12-01,407.85
1996-01-01,413.37
1996-02-01,590.84
1996-03-01,500
1996-04-01,605.17
1996-05-01,535.72
1996-06-01,484.58
1996-07-01,425.05
1996-08-01,405.65
1996-09-01,396.39
1996-10-01,375.45
1996-11-01,426.59
1996-12-01,476.2
1997-01-01,668.51
1997-02-01,787.29
1997-03-01,766.57
1997-04-01,607.73
1997-05-01,414.36
1997-06-01,468.92
1997-07-01,457.87
1997-08-01,408.84
1997-09-01,449.59
1997-10-01,381.22
1997-11-01,435.08
1997-12-01,424.72
1998-01-01,453.04
1998-02-01,438.54
1998-03-01,455.8
1998-04-01,780.39
1998-05-01,679.56
1998-06-01,659.53
1998-07-01,457.18
1998-08-01,353.94
1998-09-01,355.32
1998-10-01,333.7
1998-11-01,561.46
1998-12-01,377.76
1999-01-01,489.78
1999-02-01,447.86
1999-03-01,448.9
1999-04-01,417.13
1999-05-01,331.49
1999-06-01,284.88
1999-07-01,343.92
1999-08-01,352.21
1999-09-01,353.94
1999-10-01,328.73
1999-11-01,333.22
1999-12-01,354.97
2000-01-01,483.43
2000-02-01,580.11
2000-03-01,419.89
2000-04-01,481.7
2000-05-01,414.79
2000-06-01,412.98
2000-07-01,307.81
2000-08-01,347.11
2000-09-01,426.86
2000-10-01,378.58
2000-11-01,370.73
2000-12-01,443.3
2001-01-01,532.67
2001-02-01,681.28
2001-03-01,555
2001-04-01,532.1
2001-05-01,638.36
2001-06-01,610.37
2001-07-01,700.97
2001-08-01,682.2
2001-09-01,583.56
2001-10-01,486.79
2001-11-01,494.1
2001-12-01,518.94
2002-01-01,429.38
2002-02-01,511.05
2002-03-01,571.23
2002-04-01,570.38
2002-05-01,631.46
2002-06-01,643.99
2002-07-01,545.58
2002-08-01,420.02
2002-09-01,492.63
2002-10-01,550.08
2002-11-01,399.57
2002-12-01,565.98
2003-01-01,560.59
2003-02-01,462.71
2003-03-01,480.47
2003-04-01,384.23
2003-05-01,290.37
2003-06-01,310.44
2003-07-01,296.36
2003-08-01,277.56
2003-09-01,312.97
2003-10-01,326.99
2003-11-01,428.18
2003-12-01,371.43
2004-01-01,435.71
2004-02-01,497.24
2004-03-01,512.25
2004-04-01,530.2
2004-05-01,558.41
2004-06-01,596.43
2004-07-01,602.71
2004-08-01,557.51
2004-09-01,520.47
2004-10-01,492.63
2004-11-01,497.24
2004-12-01,497.24
2005-01-01,588.99
2005-02-01,890.19
2005-03-01,817.02
2005-04-01,594.25
2005-05-01,613.39
2005-06-01,500.06
2005-07-01,403.84
2005-08-01,399.17
2005-09-01,585.32
2005-10-01,489.34
2005-11-01,471.5
2005-12-01,568.18
