Date,Barley、 Canadian no.1 Western Barley、 spot price、 US＄ per metric ton
1980-01-01,66.58
1980-02-01,66.58
1980-03-01,69.9
1980-04-01,69.9
1980-05-01,68.24
1980-06-01,64.93
1980-07-01,86.53
1980-08-01,81.56
1980-09-01,78.24
1980-10-01,88.18
1980-11-01,103.22
1980-12-01,94.88
1981-01-01,92.52
1981-02-01,94.17
1981-03-01,89.2
1981-04-01,82.58
1981-05-01,82.58
1981-06-01,70.92
1981-07-01,77.54
1981-08-01,75.89
1981-09-01,70.92
1981-10-01,73.59
1981-11-01,77.54
1981-12-01,69.26
1982-01-01,72.57
1982-02-01,75.89
1982-03-01,70.92
1982-04-01,70.22
1982-05-01,76.21
1982-06-01,71.87
1982-07-01,58.56
1982-08-01,59.26
1982-09-01,54.92
1982-10-01,50.27
1982-11-01,50.27
1982-12-01,53.59
1983-01-01,53.59
1983-02-01,57.92
1983-03-01,56.9
1983-04-01,66.9
1983-05-01,63.59
1983-06-01,66.58
1983-07-01,64.93
1983-08-01,76.59
1983-09-01,87.36
1983-10-01,88.18
1983-11-01,89.91
1983-12-01,78.24
1984-01-01,84.87
1984-02-01,84.87
1984-03-01,87.55
1984-04-01,92.52
1984-05-01,93.22
1984-06-01,89.91
1984-07-01,72.89
1984-08-01,66.58
1984-09-01,68.88
1984-10-01,70.6
1984-11-01,71.24
1984-12-01,61.55
1985-01-01,66.58
1985-02-01,68.24
1985-03-01,64.93
1985-04-01,68.24
1985-05-01,68.24
1985-06-01,64.93
1985-07-01,59.89
1985-08-01,48.3
1985-09-01,46.58
1985-10-01,48.3
1985-11-01,48.3
1985-12-01,53.27
1986-01-01,53.27
1986-02-01,53.27
1986-03-01,54.35
1986-04-01,49.64
1986-05-01,49.95
1986-06-01,43.26
1986-07-01,39.95
1986-08-01,36.64
1986-09-01,39.95
1986-10-01,48.3
1986-11-01,55.56
1986-12-01,46.58
1987-01-01,46.45
1987-02-01,46.32
1987-03-01,46.45
1987-04-01,58.94
1987-05-01,63.91
1987-06-01,56.58
1987-07-01,54.92
1987-08-01,50.59
1987-09-01,57.6
1987-10-01,60.6
1987-11-01,59.42
1987-12-01,58.24
1988-01-01,56.9
1988-02-01,56.9
1988-03-01,62.25
1988-04-01,67.92
1988-05-01,65.25
1988-06-01,79.9
1988-07-01,78.24
1988-08-01,66.58
1988-09-01,88.38
1988-10-01,76.59
1988-11-01,74.87
1988-12-01,70.22
