Date,Coal、 Australian thermal coal、 12、000- btu／pound、 less than 1% sulfur、 14% ash、 FOB Newcastle／Port Kembla、 US＄ per metric ton
1980-01-01,39.7
1980-02-01,40.26
1980-03-01,40.83
1980-04-01,41.41
1980-05-01,41.99
1980-06-01,42.58
1980-07-01,43.19
1980-08-01,43.8
1980-09-01,44.42
1980-10-01,45.05
1980-11-01,45.68
1980-12-01,46.33
1981-01-01,46.98
1981-02-01,47.65
1981-03-01,48.32
1981-04-01,49.01
1981-05-01,49.7
1981-06-01,50.4
1981-07-01,51.12
1981-08-01,51.84
1981-09-01,52.57
1981-10-01,53.32
1981-11-01,54.07
1981-12-01,54.83
1982-01-01,55.61
1982-02-01,55.61
1982-03-01,55.61
1982-04-01,55.61
1982-05-01,55.61
1982-06-01,55.61
1982-07-01,55.61
1982-08-01,55.61
1982-09-01,55.61
1982-10-01,55.61
1982-11-01,55.61
1982-12-01,45.5
1983-01-01,43
1983-02-01,43
1983-03-01,43
1983-04-01,43
1983-05-01,43
1983-06-01,43
1983-07-01,34.75
1983-08-01,34.75
1983-09-01,34.75
1983-10-01,34.75
1983-11-01,32
1983-12-01,29.25
1984-01-01,29.25
1984-02-01,29.25
1984-03-01,29.25
1984-04-01,29.25
1984-05-01,29.25
1984-06-01,31.75
1984-07-01,31.75
1984-08-01,31.75
1984-09-01,31.75
1984-10-01,31.75
1984-11-01,32.75
1984-12-01,33.75
1985-01-01,33.75
1985-02-01,33.75
1985-03-01,33.75
1985-04-01,33.75
1985-05-01,33.75
1985-06-01,33.75
1985-07-01,33.75
1985-08-01,33.75
1985-09-01,33.75
1985-10-01,33.75
1985-11-01,33.75
1985-12-01,33.75
1986-01-01,33.75
1986-02-01,33.75
1986-03-01,30.75
1986-04-01,30.75
1986-05-01,30.75
1986-06-01,30.75
1986-07-01,30.75
1986-08-01,30.75
1986-09-01,30.75
1986-10-01,30.75
1986-11-01,30.75
1986-12-01,29.25
1987-01-01,29.25
1987-02-01,29.25
1987-03-01,29.25
1987-04-01,24.75
1987-05-01,24.75
1987-06-01,24.75
1987-07-01,27
1987-08-01,27
1987-09-01,27
1987-10-01,27
1987-11-01,29
1987-12-01,31
1988-01-01,31
1988-02-01,31
1988-03-01,33
1988-04-01,33
1988-05-01,33
1988-06-01,36
1988-07-01,36
1988-08-01,36
1988-09-01,37
1988-10-01,37
1988-11-01,37.5
1988-12-01,38
1989-01-01,38
1989-02-01,38
1989-03-01,38
1989-04-01,38
1989-05-01,38
1989-06-01,38
1989-07-01,38
1989-08-01,38
1989-09-01,38
1989-10-01,38
1989-11-01,38
1989-12-01,38
1990-01-01,38
1990-02-01,38
1990-03-01,38
1990-04-01,38
1990-05-01,40.5
1990-06-01,40.5
1990-07-01,40.5
1990-08-01,40.5
1990-09-01,40.5
1990-10-01,40.5
1990-11-01,40.5
1990-12-01,40.5
1991-01-01,40.5
1991-02-01,40.5
1991-03-01,39.5
1991-04-01,39.5
1991-05-01,39.5
1991-06-01,39.5
1991-07-01,39.5
1991-08-01,39.5
1991-09-01,39.5
1991-10-01,39.5
1991-11-01,39.5
1991-12-01,39.5
1992-01-01,39.5
1992-02-01,39.5
1992-03-01,39.5
1992-04-01,39.5
1992-05-01,39.5
1992-06-01,39.5
1992-07-01,39.5
1992-08-01,39.5
1992-09-01,39.5
1992-10-01,37.25
1992-11-01,35
1992-12-01,35
1993-01-01,35
1993-02-01,31
1993-03-01,31
1993-04-01,31
1993-05-01,31
1993-06-01,31
1993-07-01,31
1993-08-01,31
1993-09-01,31
1993-10-01,31
1993-11-01,31
1993-12-01,31
1994-01-01,31
1994-02-01,31
1994-03-01,29.5
1994-04-01,29.5
1994-05-01,31.4
1994-06-01,33.6
1994-07-01,33.1
1994-08-01,33.1
1994-09-01,33.1
1994-10-01,33.1
1994-11-01,33.1
1994-12-01,36.1
1995-01-01,37.1
1995-02-01,37.6
1995-03-01,38.35
1995-04-01,37.1
1995-05-01,38.77
1995-06-01,40.77
1995-07-01,41.05
1995-08-01,40.88
1995-09-01,40.93
1995-10-01,40.97
1995-11-01,39.59
1995-12-01,39.35
1996-01-01,39.37
1996-02-01,39.28
1996-03-01,39.01
1996-04-01,39.33
1996-05-01,38.2
1996-06-01,38.2
1996-07-01,38.4
1996-08-01,38.35
1996-09-01,38.1
1996-10-01,37.6
1996-11-01,35.7
1996-12-01,35.35
1997-01-01,35.23
1997-02-01,34.6
1997-03-01,34.5
1997-04-01,35.4
1997-05-01,35.73
1997-06-01,34.5
1997-07-01,35
1997-08-01,36.93
1997-09-01,37.15
1997-10-01,37.15
1997-11-01,33.6
1997-12-01,31.4
1998-01-01,31.4
1998-02-01,33.44
1998-03-01,31.88
1998-04-01,31.18
1998-05-01,30.28
1998-06-01,30
1998-07-01,30
1998-08-01,26.2
1998-09-01,27.09
1998-10-01,27.1
1998-11-01,26.1
1998-12-01,26.1
1999-01-01,26.1
1999-02-01,26.1
1999-03-01,26.1
1999-04-01,26.1
1999-05-01,26.1
1999-06-01,26.1
1999-07-01,26.1
1999-08-01,26.1
1999-09-01,26.1
1999-10-01,25.6
1999-11-01,25.1
1999-12-01,25.1
2000-01-01,25.1
2000-02-01,25.1
2000-03-01,25.1
2000-04-01,25.1
2000-05-01,25.6
2000-06-01,25.6
2000-07-01,25.6
2000-08-01,25.6
2000-09-01,27.15
2000-10-01,27.15
2000-11-01,27.15
2000-12-01,30.75
2001-01-01,32.1
2001-02-01,32.1
2001-03-01,32.6
2001-04-01,33.5
2001-05-01,33.8
2001-06-01,33.9
2001-07-01,34
2001-08-01,33.8
2001-09-01,32.8
2001-10-01,32.4
2001-11-01,29.4
2001-12-01,27.35
2002-01-01,29.1
2002-02-01,29.85
2002-03-01,29.55
2002-04-01,28.84
2002-05-01,28.63
2002-06-01,26.65
2002-07-01,24.9
2002-08-01,24
2002-09-01,24.45
2002-10-01,26.25
2002-11-01,26.25
2002-12-01,26.25
2003-01-01,26.68
2003-02-01,26.95
2003-03-01,26.14
2003-04-01,25.13
2003-05-01,24.96
2003-06-01,25.82
2003-07-01,26.09
2003-08-01,27.13
2003-09-01,28.61
2003-10-01,29.46
2003-11-01,32.05
2003-12-01,36.43
2004-01-01,40.45
2004-02-01,44.73
2004-03-01,52.43
2004-04-01,57.05
2004-05-01,60.47
2004-06-01,63.8
2004-07-01,65.76
2004-08-01,63.48
2004-09-01,59.33
2004-10-01,60.67
2004-11-01,56.6
2004-12-01,55.98
2005-01-01,56.83
2005-02-01,53.46
2005-03-01,54.56
2005-04-01,54.91
2005-05-01,54.98
2005-06-01,54.64
2005-07-01,54.54
2005-08-01,52.63
2005-09-01,48.48
2005-10-01,45.49
2005-11-01,40.78
2005-12-01,40.96
2006-01-01,46.27
2006-02-01,51.11
2006-03-01,53.3
2006-04-01,56.65
2006-05-01,56.36
2006-06-01,56.12
2006-07-01,56.52
2006-08-01,54.58
2006-09-01,50.46
2006-10-01,47.2
2006-11-01,49.29
2006-12-01,53.3
2007-01-01,54.95
2007-02-01,56.68
2007-03-01,59.34
2007-04-01,60.13
2007-05-01,60
2007-06-01,66
2007-07-01,72.12
2007-08-01,74.3
2007-09-01,73.33
2007-10-01,80.15
2007-11-01,90.64
2007-12-01,97.5
2008-01-01,98.3
2008-02-01,141.43
2008-03-01,126.7
2008-04-01,131.79
2008-05-01,142.71
2008-06-01,171.16
2008-07-01,192.86
2008-08-01,169.71
2008-09-01,160.71
2008-10-01,115.71
2008-11-01,98.84
2008-12-01,84.27
2009-01-01,85.07
2009-02-01,80.76
2009-03-01,65.36
2009-04-01,68.1
2009-05-01,69.11
2009-06-01,76.48
2009-07-01,79.07
2009-08-01,77.68
2009-09-01,72.47
2009-10-01,76.15
2009-11-01,84.43
2009-12-01,89.04
2010-01-01,103.93
2010-02-01,100.92
2010-03-01,101.12
2010-04-01,107.3
2010-05-01,107.28
2010-06-01,105.2
2010-07-01,102.84
2010-08-01,96.19
2010-09-01,101.68
2010-10-01,104.41
2010-11-01,114.81
2010-12-01,126.74
2011-01-01,141.94
2011-02-01,137.53
2011-03-01,135.14
2011-04-01,131.25
2011-05-01,127.63
2011-06-01,128.67
2011-07-01,129.38
2011-08-01,128.71
2011-09-01,131.88
2011-10-01,127.92
2011-11-01,121.91
2011-12-01,119.53
2012-01-01,124.78
2012-02-01,125.38
2012-03-01,115.14
2012-04-01,110.99
2012-05-01,102.67
2012-06-01,93.42
2012-07-01,94.54
2012-08-01,97.5
2012-09-01,95.31
2012-10-01,87.7
2012-11-01,92.03
2012-12-01,99.51
2013-01-01,99.4
2013-02-01,101.72
2013-03-01,97.48
2013-04-01,94.03
2013-05-01,93.97
2013-06-01,88.67
2013-07-01,82.78
2013-08-01,82.46
2013-09-01,83.16
2013-10-01,85.08
2013-11-01,88.13
2013-12-01,90.36
2014-01-01,87.44
2014-02-01,81.74
2014-03-01,78.58
2014-04-01,78.02
2014-05-01,78.95
2014-06-01,76.59
2014-07-01,73.66
2014-08-01,73.86
2014-09-01,70.65
2014-10-01,68.26
2014-11-01,67.02
2014-12-01,66.9
2015-01-01,66.54
2015-02-01,65.79
2015-03-01,64.41
2015-04-01,61.94
2015-05-01,64.71
2015-06-01,63.04
2015-07-01,63.35
2015-08-01,62.76
2015-09-01,58.03
