Date,Copper、 grade A cathode、 LME spot price、 CIF European ports、 US＄ per metric ton
1980-01-01,2592.63
1980-02-01,2916.71
1980-03-01,2303.83
1980-04-01,2074.55
1980-05-01,2076.75
1980-06-01,2006.2
1980-07-01,2175.96
1980-08-01,2081.16
1980-09-01,2059.11
1980-10-01,2045.89
1980-11-01,2010.61
1980-12-01,1878.34
1981-01-01,1876.13
1981-02-01,1803.38
1981-03-01,1816.61
1981-04-01,1823.22
1981-05-01,1746.06
1981-06-01,1699.76
1981-07-01,1682.12
1981-08-01,1787.95
1981-09-01,1706.38
1981-10-01,1664.49
1981-11-01,1651.26
1981-12-01,1655.67
1982-01-01,1613.78
1982-02-01,1596.14
1982-03-01,1512.37
1982-04-01,1521.19
1982-05-01,1530.01
1982-06-01,1309.54
1982-07-01,1439.62
1982-08-01,1450.64
1982-09-01,1424.18
1982-10-01,1463.87
1982-11-01,1444.03
1982-12-01,1474.89
1983-01-01,1574.1
1983-02-01,1649.06
1983-03-01,1598.35
1983-04-01,1675.51
1983-05-01,1765.9
1983-06-01,1701.97
1983-07-01,1704.17
1983-08-01,1640.24
1983-09-01,1560.87
1983-10-01,1435.21
1983-11-01,1388.91
1983-12-01,1415.37
1984-01-01,1375.68
1984-02-01,1428.59
1984-03-01,1501.35
1984-04-01,1532.21
1984-05-01,1419.78
1984-06-01,1364.66
1984-07-01,1331.59
1984-08-01,1338.2
1984-09-01,1294.11
1984-10-01,1272.07
1984-11-01,1344.82
1984-12-01,1320.57
1985-01-01,1358.05
1985-02-01,1388.91
1985-03-01,1389.35
1985-04-01,1501.35
1985-05-01,1530.01
1985-06-01,1433
1985-07-01,1474.89
1985-08-01,1419.78
1985-09-01,1366.86
1985-10-01,1384.5
1985-11-01,1369.07
1985-12-01,1391.12
1986-01-01,1417.57
1986-02-01,1404.34
1986-03-01,1444.03
1986-04-01,1433
1986-05-01,1417.57
1986-06-01,1413.16
1986-07-01,1344.82
1986-08-01,1302.93
1986-09-01,1309.54
1986-10-01,1316.16
1986-11-01,1302.93
1986-12-01,1331.59
1987-01-01,1344.82
1987-02-01,1380.09
1987-03-01,1463.87
1987-04-01,1483.71
1987-05-01,1518.98
1987-06-01,1571.89
1987-07-01,1693.15
1987-08-01,1754.88
1987-09-01,1809.99
1987-10-01,1966.52
1987-11-01,2519.88
1987-12-01,2866
1988-01-01,2660.98
1988-02-01,2328.08
1988-03-01,2358.94
1988-04-01,2283.99
1988-05-01,2442.72
1988-06-01,2539.72
1988-07-01,2213.44
1988-08-01,2200.21
1988-09-01,2433.9
1988-10-01,2936.55
1988-11-01,3302.52
1988-12-01,3496.53
1989-01-01,3392.91
1989-02-01,3095.29
1989-03-01,3262.84
1989-04-01,3117.33
1989-05-01,2738.14
1989-06-01,2544.13
1989-07-01,2503.79
1989-08-01,2760.18
1989-09-01,2883.64
1989-10-01,2859.39
1989-11-01,2590.43
1989-12-01,2418.47
