Date,Crude Oil (petroleum)、 Price index、 2005 = 100、 simple average of three spot prices; Dated Brent、 West Texas Intermediate、 and the Dubai Fateh
1980-01-01,72.09
1980-02-01,69.84
1980-03-01,70.98
1980-04-01,70.4
1980-05-01,71.02
1980-06-01,70.99
1980-07-01,68.82
1980-08-01,64.91
1980-09-01,63.57
1980-10-01,69.4
1980-11-01,73.19
1980-12-01,73.09
1981-01-01,73.71
1981-02-01,71.27
1981-03-01,70.89
1981-04-01,69.29
1981-05-01,65.44
1981-06-01,63.42
1981-07-01,63.79
1981-08-01,64.39
1981-09-01,64.38
1981-10-01,65.19
1981-11-01,66.6
1981-12-01,66.26
1982-01-01,65.66
1982-02-01,60.05
1982-03-01,56.81
1982-04-01,60.09
1982-05-01,63.03
1982-06-01,62.21
1982-07-01,61.01
1982-08-01,60.15
1982-09-01,62.26
1982-10-01,63.55
1982-11-01,61.7
1982-12-01,58.73
1983-01-01,58.15
1983-02-01,55.2
1983-03-01,53.53
1983-04-01,55.68
1983-05-01,55.26
1983-06-01,55.88
1983-07-01,56.93
1983-08-01,57.3
1983-09-01,56.27
1983-10-01,55.15
1983-11-01,54.28
1983-12-01,53.54
1984-01-01,54.41
1984-02-01,54.72
1984-03-01,55.42
1984-04-01,55.41
1984-05-01,55.2
1984-06-01,54.43
1984-07-01,52.41
1984-08-01,52.92
1984-09-01,53.23
1984-10-01,52.58
1984-11-01,51.84
1984-12-01,50.54
1985-01-01,50.14
1985-02-01,51.81
1985-03-01,52.41
1985-04-01,52.25
1985-05-01,50.05
1985-06-01,49.48
1985-07-01,49.99
1985-08-01,50.95
1985-09-01,51.68
1985-10-01,53.06
1985-11-01,54.69
1985-12-01,50.27
1986-01-01,41.94
1986-02-01,30.83
1986-03-01,23.96
1986-04-01,22.23
1986-05-01,25.18
1986-06-01,22.33
1986-07-01,18.45
1986-08-01,25.1
1986-09-01,26.29
1986-10-01,26.28
1986-11-01,27.14
1986-12-01,28.95
1987-01-01,33.95
1987-02-01,32.45
1987-03-01,33.3
1987-04-01,33.87
1987-05-01,34.51
1987-06-01,35.05
1987-07-01,36.72
1987-08-01,35.37
1987-09-01,34.33
1987-10-01,34.91
1987-11-01,33.51
1987-12-01,31.44
1988-01-01,30.95
1988-02-01,29.83
1988-03-01,27.82
1988-04-01,30.73
1988-05-01,30.66
1988-06-01,29.04
1988-07-01,27.1
1988-08-01,27.29
1988-09-01,24.74
1988-10-01,22.86
1988-11-01,23.4
1988-12-01,27.43
1989-01-01,30.76
1989-02-01,30.92
1989-03-01,33.88
1989-04-01,36.27
1989-05-01,34.07
1989-06-01,33.28
1989-07-01,33.05
1989-08-01,31.57
1989-09-01,33.1
1989-10-01,34.43
1989-11-01,34.38
1989-12-01,36.23
1990-01-01,38.48
1990-02-01,36.78
1990-03-01,33.86
1990-04-01,30.5
1990-05-01,30.29
1990-06-01,27.91
1990-07-01,31.45
1990-08-01,49.79
1990-09-01,63.11
1990-10-01,65.35
1990-11-01,59.12
1990-12-01,49.86
1991-01-01,42.63
1991-02-01,34.6
1991-03-01,34.05
1991-04-01,34.52
1991-05-01,34.96
1991-06-01,33.19
