Date,Fish (salmon)、 Farm Bred Norwegian Salmon、 export price、 US＄ per kilogram
1980-01-01,7.45
1980-02-01,7.6
1980-03-01,7.4
1980-04-01,7.43
1980-05-01,7.69
1980-06-01,8.02
1980-07-01,8.32
1980-08-01,8.47
1980-09-01,8.57
1980-10-01,8.51
1980-11-01,8.35
1980-12-01,7.98
1981-01-01,7.75
1981-02-01,7.37
1981-03-01,7.39
1981-04-01,7.27
1981-05-01,7.02
1981-06-01,6.9
1981-07-01,6.85
1981-08-01,6.92
1981-09-01,7.21
1981-10-01,7.33
1981-11-01,7.5
1981-12-01,7.48
1982-01-01,7.33
1982-02-01,7.15
1982-03-01,7.06
1982-04-01,6.97
1982-05-01,7.09
1982-06-01,6.81
1982-07-01,6.61
1982-08-01,6.27
1982-09-01,6.15
1982-10-01,5.99
1982-11-01,6
1982-12-01,6.2
1983-01-01,6.21
1983-02-01,6.17
1983-03-01,6.11
1983-04-01,6.14
1983-05-01,6.17
1983-06-01,5.89
1983-07-01,5.7
1983-08-01,5.46
1983-09-01,5.48
1983-10-01,5.56
1983-11-01,5.45
1983-12-01,5.3
1984-01-01,5.24
1984-02-01,5.39
1984-03-01,5.64
1984-04-01,5.67
1984-05-01,5.61
1984-06-01,5.54
1984-07-01,5.22
1984-08-01,5.09
1984-09-01,4.95
1984-10-01,4.83
1984-11-01,4.95
1984-12-01,4.93
1985-01-01,4.95
1985-02-01,4.93
1985-03-01,5
1985-04-01,5.42
1985-05-01,5.47
1985-06-01,5.53
1985-07-01,5.73
1985-08-01,5.85
1985-09-01,5.75
1985-10-01,6.03
1985-11-01,6.08
1985-12-01,6.25
1986-01-01,6.38
1986-02-01,6.67
1986-03-01,6.67
1986-04-01,6.5
1986-05-01,6.11
1986-06-01,6.09
1986-07-01,6.33
1986-08-01,6.55
1986-09-01,6.61
1986-10-01,6.63
1986-11-01,6.5
1986-12-01,6.66
1987-01-01,7.16
1987-02-01,7.5
1987-03-01,7.7
1987-04-01,7.99
1987-05-01,8.26
1987-06-01,8.24
1987-07-01,8.25
1987-08-01,8.26
1987-09-01,8.32
1987-10-01,8.23
1987-11-01,8.37
1987-12-01,8.43
1988-01-01,8.47
1988-02-01,7.53
1988-03-01,7.63
1988-04-01,7.79
1988-05-01,7.62
1988-06-01,7.73
1988-07-01,7.59
1988-08-01,6.87
1988-09-01,6.64
1988-10-01,6.96
1988-11-01,6.57
1988-12-01,6.24
1989-01-01,6.2
1989-02-01,6.19
1989-03-01,5.99
1989-04-01,5.93
1989-05-01,5.58
1989-06-01,5.33
1989-07-01,5.03
1989-08-01,4.81
1989-09-01,4.81
1989-10-01,4.92
1989-11-01,4.89
1989-12-01,4.83
1990-01-01,5.2
1990-02-01,5.65
1990-03-01,5.61
1990-04-01,5.63
1990-05-01,5.8
1990-06-01,5.67
1990-07-01,5.74
1990-08-01,5.92
1990-09-01,6.29
1990-10-01,6.35
1990-11-01,6.46
1990-12-01,6.5
1991-01-01,6.34
1991-02-01,6.41
1991-03-01,5.78
1991-04-01,5.37
1991-05-01,5.05
1991-06-01,4.6
1991-07-01,4.5
1991-08-01,4.71
1991-09-01,5.23
1991-10-01,5.18
1991-11-01,5.59
1991-12-01,5.58
1992-01-01,5.47
1992-02-01,5.36
1992-03-01,5.26
1992-04-01,5.17
1992-05-01,5.29
1992-06-01,4.91
1992-07-01,5.94
1992-08-01,7.07
1992-09-01,7.89
1992-10-01,6.94
1992-11-01,6.04
1992-12-01,5.48
1993-01-01,5.25
1993-02-01,5.07
1993-03-01,4.93
1993-04-01,5.46
1993-05-01,5.85
1993-06-01,5.79
1993-07-01,5.4
1993-08-01,5.05
1993-09-01,4.73
1993-10-01,4.35
1993-11-01,3.94
1993-12-01,4.31
1994-01-01,4.33
1994-02-01,4.49
1994-03-01,4.59
1994-04-01,5.2
1994-05-01,5.43
1994-06-01,5.46
1994-07-01,5.24
1994-08-01,5.02
1994-09-01,5.28
1994-10-01,5.35
1994-11-01,4.85
1994-12-01,4.89
1995-01-01,4.81
1995-02-01,4.78
1995-03-01,5.08
1995-04-01,5.17
1995-05-01,5.36
1995-06-01,5.42
1995-07-01,5.01
1995-08-01,4.75
1995-09-01,4.67
1995-10-01,4.45
1995-11-01,3.93
1995-12-01,3.87
1996-01-01,4.32
1996-02-01,4.27
1996-03-01,4.36
1996-04-01,4.44
1996-05-01,4.25
1996-06-01,4.25
1996-07-01,3.78
1996-08-01,3.68
1996-09-01,3.76
1996-10-01,3.89
1996-11-01,4.13
1996-12-01,4.21
1997-01-01,4.31
1997-02-01,3.93
1997-03-01,3.74
1997-04-01,3.68
1997-05-01,3.63
1997-06-01,3.57
1997-07-01,3.66
1997-08-01,3.6
1997-09-01,3.64
1997-10-01,3.74
1997-11-01,3.62
1997-12-01,3.58
1998-01-01,3.47
1998-02-01,3.42
1998-03-01,3.51
1998-04-01,3.83
1998-05-01,3.95
1998-06-01,4.17
1998-07-01,3.83
1998-08-01,3.61
1998-09-01,3.64
1998-10-01,3.76
1998-11-01,3.77
1998-12-01,3.66
1999-01-01,3.71
1999-02-01,3.57
1999-03-01,3.56
1999-04-01,3.69
1999-05-01,3.65
1999-06-01,3.47
1999-07-01,3.41
1999-08-01,3.48
1999-09-01,3.46
1999-10-01,3.51
1999-11-01,3.51
1999-12-01,3.81
2000-01-01,3.87
2000-02-01,3.9
2000-03-01,3.94
2000-04-01,4.01
2000-05-01,4.05
2000-06-01,4.01
2000-07-01,4.06
2000-08-01,3.83
2000-09-01,3.24
2000-10-01,2.94
2000-11-01,2.87
2000-12-01,3.02
2001-01-01,3.05
2001-02-01,3.02
2001-03-01,3.1
2001-04-01,3.03
2001-05-01,2.97
2001-06-01,2.89
2001-07-01,2.83
2001-08-01,2.92
2001-09-01,2.92
2001-10-01,2.79
2001-11-01,2.62
2001-12-01,2.56
2002-01-01,2.52
2002-02-01,2.52
2002-03-01,2.68
2002-04-01,2.81
2002-05-01,3.02
2002-06-01,3.05
2002-07-01,3.06
2002-08-01,3.02
2002-09-01,3.13
2002-10-01,3.14
2002-11-01,3.15
2002-12-01,3.16
2003-01-01,3.34
2003-02-01,3.25
2003-03-01,3.18
2003-04-01,3.18
2003-05-01,3.25
2003-06-01,2.69
2003-07-01,2.4
2003-08-01,2.5
2003-09-01,2.88
2003-10-01,3.16
2003-11-01,2.96
2003-12-01,3.12
2004-01-01,3.23
2004-02-01,3.32
2004-03-01,3.45
2004-04-01,3.61
2004-05-01,3.48
2004-06-01,3.21
2004-07-01,3.11
2004-08-01,3.35
2004-09-01,3.26
2004-10-01,3.19
2004-11-01,3.23
2004-12-01,3.67
2005-01-01,3.69
2005-02-01,3.89
2005-03-01,3.98
2005-04-01,3.98
2005-05-01,4
2005-06-01,4.18
2005-07-01,4.38
2005-08-01,4.34
2005-09-01,4.18
2005-10-01,4.08
2005-11-01,3.92
2005-12-01,4.13
2006-01-01,4.03
2006-02-01,4
2006-03-01,4.62
2006-04-01,5.43
2006-05-01,6.17
2006-06-01,6.68
2006-07-01,6.14
2006-08-01,5.83
2006-09-01,4.72
2006-10-01,4.3
2006-11-01,4.31
2006-12-01,4.51
2007-01-01,4.46
2007-02-01,4.62
2007-03-01,4.7
2007-04-01,4.78
2007-05-01,4.43
2007-06-01,4.22
2007-07-01,4.35
2007-08-01,4.73
2007-09-01,4.58
2007-10-01,4.48
2007-11-01,4.5
2007-12-01,4.67
2008-01-01,4.81
2008-02-01,4.74
2008-03-01,5.22
2008-04-01,5.12
2008-05-01,5.31
2008-06-01,5.15
2008-07-01,5.62
2008-08-01,5.37
2008-09-01,4.96
2008-10-01,4.16
2008-11-01,3.82
2008-12-01,3.9
2009-01-01,4.11
2009-02-01,4.12
2009-03-01,4.48
2009-04-01,4.8
2009-05-01,5.44
2009-06-01,5.5
2009-07-01,5.77
2009-08-01,4.99
2009-09-01,5
2009-10-01,4.81
2009-11-01,5.01
2009-12-01,5.05
2010-01-01,5.15
2010-02-01,5.54
2010-03-01,5.99
2010-04-01,6.48
2010-05-01,6.34
2010-06-01,5.96
2010-07-01,6.28
2010-08-01,6.46
2010-09-01,6.14
2010-10-01,6.32
2010-11-01,6.09
2010-12-01,7.02
2011-01-01,6.74
2011-02-01,7.08
2011-03-01,7.28
2011-04-01,7.92
2011-05-01,7.17
2011-06-01,6
2011-07-01,5.7
2011-08-01,5.23
2011-09-01,4.71
2011-10-01,4.13
2011-11-01,4.38
2011-12-01,4.56
2012-01-01,4.31
2012-02-01,4.93
2012-03-01,4.95
2012-04-01,5.08
2012-05-01,4.99
2012-06-01,4.45
2012-07-01,4.44
2012-08-01,4.74
2012-09-01,4.59
2012-10-01,4.52
2012-11-01,4.72
2012-12-01,5.5
2013-01-01,6.25
2013-02-01,6.57
2013-03-01,6.53
2013-04-01,7.24
2013-05-01,7.31
2013-06-01,6.98
2013-07-01,7.27
2013-08-01,6.69
2013-09-01,5.62
2013-10-01,6.32
2013-11-01,6.41
2013-12-01,7.91
2014-01-01,8.06
2014-02-01,7.79
2014-03-01,7.43
2014-04-01,7.56
2014-05-01,7.07
2014-06-01,6.19
2014-07-01,6.39
2014-08-01,5.93
2014-09-01,5.49
2014-10-01,5.37
2014-11-01,5.75
2014-12-01,6.15
2015-01-01,5.95
2015-02-01,5.58
2015-03-01,5.14
2015-04-01,5.12
2015-05-01,5.12
2015-06-01,5.16
2015-07-01,5.29
2015-08-01,5.45
2015-09-01,5.02
