Date,Food and Beverage Price Index、 2005 = 100、 includes Food and Beverage Price Indices
1991-01-01,103.24
1991-02-01,104.07
1991-03-01,102.84
1991-04-01,99.93
1991-05-01,95.97
1991-06-01,93.46
1991-07-01,90.71
1991-08-01,91.71
1991-09-01,94.2
1991-10-01,92.93
1991-11-01,94.3
1991-12-01,94.62
1992-01-01,94.37
1992-02-01,93.87
1992-03-01,93.2
1992-04-01,91.35
1992-05-01,92.88
1992-06-01,91.57
1992-07-01,94.01
1992-08-01,98.52
1992-09-01,100.06
1992-10-01,95.5
1992-11-01,93.02
1992-12-01,91.63
1993-01-01,92.68
1993-02-01,91.61
1993-03-01,92.64
1993-04-01,94.14
1993-05-01,95.58
1993-06-01,93.6
1993-07-01,95.9
1993-08-01,94.56
1993-09-01,94.13
1993-10-01,92.9
1993-11-01,93.94
1993-12-01,96.59
1994-01-01,97.45
1994-02-01,98.64
1994-03-01,98.4
1994-04-01,98.98
1994-05-01,101.39
1994-06-01,102.12
1994-07-01,103.69
1994-08-01,103.02
1994-09-01,105.98
1994-10-01,104.15
1994-11-01,101.54
1994-12-01,102.49
1995-01-01,102.23
1995-02-01,103.35
1995-03-01,104.77
1995-04-01,103.59
1995-05-01,103.84
1995-06-01,106.51
1995-07-01,109.08
1995-08-01,108.13
1995-09-01,107.65
1995-10-01,109.2
1995-11-01,107.07
1995-12-01,106.76
1996-01-01,108.69
1996-02-01,111.39
1996-03-01,111.3
1996-04-01,118.01
1996-05-01,120.82
1996-06-01,116.47
1996-07-01,114.77
1996-08-01,113.45
1996-09-01,105.92
1996-10-01,102.78
1996-11-01,103.16
1996-12-01,103.64
1997-01-01,106.3
1997-02-01,106.81
1997-03-01,109.21
1997-04-01,109.94
1997-05-01,111.35
1997-06-01,106.22
1997-07-01,103.77
1997-08-01,102.86
1997-09-01,102
1997-10-01,101.27
1997-11-01,101.66
1997-12-01,100.03
1998-01-01,98.63
1998-02-01,98.65
1998-03-01,97.3
1998-04-01,98.87
1998-05-01,99.33
1998-06-01,97.66
1998-07-01,94.88
1998-08-01,90.35
1998-09-01,88.56
1998-10-01,89.4
1998-11-01,89.57
