Date,Hard Sawnwood、 Dark Red Meranti、 select and better quality、 C&F U.K port、 US＄ per cubic meter
1980-01-01,297.61
1980-02-01,308.29
1980-03-01,304.92
1980-04-01,302.95
1980-05-01,310.72
1980-06-01,312.03
1980-07-01,293.6
1980-08-01,288.17
1980-09-01,307.91
1980-10-01,262.91
1980-11-01,265.5
1980-12-01,266.79
1981-01-01,269.35
1981-02-01,266.51
1981-03-01,264.44
1981-04-01,260.42
1981-05-01,262.46
1981-06-01,260.55
1981-07-01,250.67
1981-08-01,248.07
1981-09-01,247.47
1981-10-01,251.25
1981-11-01,260.55
1981-12-01,263.75
1982-01-01,266.65
1982-02-01,243.41
1982-03-01,239.32
1982-04-01,233.46
1982-05-01,238.65
1982-06-01,213.88
1982-07-01,213.35
1982-08-01,211.28
1982-09-01,212.3
1982-10-01,203.98
1982-11-01,211.3
1982-12-01,228.15
1983-01-01,222.56
1983-02-01,177.62
1983-03-01,171.78
1983-04-01,178.49
1983-05-01,189.08
1983-06-01,182.64
1983-07-01,181.4
1983-08-01,197.29
1983-09-01,205.18
1983-10-01,236.26
1983-11-01,240.01
1983-12-01,248.36
1984-01-01,248.36
1984-02-01,248.36
1984-03-01,280.82
1984-04-01,305.61
1984-05-01,311.85
1984-06-01,292.05
1984-07-01,244.58
1984-08-01,236.19
1984-09-01,225.31
1984-10-01,216.05
1984-11-01,211.75
1984-12-01,198.63
1985-01-01,176.96
1985-02-01,170.12
1985-03-01,171.23
1985-04-01,179.31
1985-05-01,179.31
1985-06-01,173.32
1985-07-01,181.8
1985-08-01,176.38
1985-09-01,169.63
1985-10-01,188.12
1985-11-01,208.66
1985-12-01,216.16
1986-01-01,221.2
1986-02-01,233.77
1986-03-01,207.73
1986-04-01,213.32
1986-05-01,231.28
1986-06-01,210.19
1986-07-01,211.3
1986-08-01,206.49
1986-09-01,189.61
1986-10-01,187.17
1986-11-01,216.16
1986-12-01,263.59
1987-01-01,282.98
1987-02-01,275.2
1987-03-01,269.73
1987-04-01,293.07
1987-05-01,280.36
1987-06-01,286.01
1987-07-01,297.09
1987-08-01,358.65
1987-09-01,507.79
1987-10-01,519.34
1987-11-01,558.52
1987-12-01,532.84
1988-01-01,453.46
1988-02-01,345.92
1988-03-01,351.03
