Date,Hides、 Heavy native steers、 over 53 pounds、 wholesale dealer's price、 US、 Chicago、 fob Shipping Point、 US cents per pound
1980-01-01,59.1
1980-02-01,48.7
1980-03-01,39.4
1980-04-01,38.1
1980-05-01,33.8
1980-06-01,38.2
1980-07-01,43.9
1980-08-01,53.3
1980-09-01,43
1980-10-01,49.1
1980-11-01,54.3
1980-12-01,50.1
1981-01-01,44.8
1981-02-01,40.7
1981-03-01,42.4
1981-04-01,45.9
1981-05-01,44.1
1981-06-01,42
1981-07-01,40.2
1981-08-01,42.6
1981-09-01,39.3
1981-10-01,39.7
1981-11-01,39.7
1981-12-01,39.2
1982-01-01,40.4
1982-02-01,39.5
1982-03-01,37.2
1982-04-01,38.15
1982-05-01,39.52
1982-06-01,38.4
1982-07-01,39
1982-08-01,39.9
1982-09-01,39.4
1982-10-01,38.4
1982-11-01,37.1
1982-12-01,35.8
1983-01-01,35.9
1983-02-01,36
1983-03-01,37.7
1983-04-01,37.7
1983-05-01,43.3
1983-06-01,44.1
1983-07-01,49.5
1983-08-01,49.5
1983-09-01,49.5
1983-10-01,49.5
1983-11-01,53
1983-12-01,55.9
1984-01-01,54.7
1984-02-01,53.6
1984-03-01,55.5
1984-04-01,53.7
1984-05-01,60.6
1984-06-01,63.8
1984-07-01,63.8
1984-08-01,63
1984-09-01,63
1984-10-01,65
1984-11-01,65
1984-12-01,44.7
1985-01-01,44.7
1985-02-01,44.7
1985-03-01,42.3
1985-04-01,45.6
1985-05-01,45.6
1985-06-01,56
1985-07-01,56
1985-08-01,48.9
1985-09-01,48.9
1985-10-01,57
1985-11-01,63.3
1985-12-01,61.1
1986-01-01,57.7
1986-02-01,58.6
1986-03-01,57.8
1986-04-01,63.1
1986-05-01,68.81
1986-06-01,68.7
1986-07-01,68.3
1986-08-01,66.7
1986-09-01,64.5
1986-10-01,66
1986-11-01,65.3
1986-12-01,62
1987-01-01,61.8
1987-02-01,64.1
1987-03-01,69.72
1987-04-01,82.6
1987-05-01,83.82
1987-06-01,82
1987-07-01,82.48
1987-08-01,83.9
1987-09-01,89.02
1987-10-01,89.9
1987-11-01,85.38
1987-12-01,83.38
1988-01-01,82.93
1988-02-01,86.55
1988-03-01,97.38
1988-04-01,100
1988-05-01,99.2
1988-06-01,87.5
1988-07-01,84.2
1988-08-01,93.3
1988-09-01,86.68
1988-10-01,80.38
1988-11-01,76.9
1988-12-01,76.8
1989-01-01,83.67
1989-02-01,87.48
1989-03-01,94.61
1989-04-01,87.3
1989-05-01,85.13
1989-06-01,85.1
1989-07-01,90.19
1989-08-01,91.5
1989-09-01,95.89
1989-10-01,94.68
1989-11-01,93.8
1989-12-01,90.86
1990-01-01,92.7
1990-02-01,92.68
1990-03-01,95.41
1990-04-01,100
1990-05-01,99.46
1990-06-01,97.9
1990-07-01,96.75
1990-08-01,91.89
1990-09-01,87.66
1990-10-01,84.59
1990-11-01,82.86
1990-12-01,84.85
1991-01-01,81.64
1991-02-01,75.9
1991-03-01,76.6
1991-04-01,86.45
1991-05-01,88.72
1991-06-01,86.7
1991-07-01,83.91
1991-08-01,77.52
1991-09-01,74.05
1991-10-01,75.36
1991-11-01,75.26
1991-12-01,71.29
1992-01-01,70.7
1992-02-01,67.84
1992-03-01,69.77
1992-04-01,75.95
1992-05-01,80
1992-06-01,76.77
1992-07-01,76.57
1992-08-01,72.87
1992-09-01,77.72
1992-10-01,80.98
1992-11-01,80.05
1992-12-01,81.14
1993-01-01,79.87
1993-02-01,81.41
1993-03-01,81.48
1993-04-01,81.6
1993-05-01,80.35
1993-06-01,76.95
1993-07-01,76.52
1993-08-01,79.32
1993-09-01,80.43
1993-10-01,81.76
1993-11-01,80.82
1993-12-01,79.84
1994-01-01,75.07
1994-02-01,75.08
1994-03-01,78.96
1994-04-01,84.75
1994-05-01,87.33
1994-06-01,88.75
1994-07-01,90.45
1994-08-01,89.76
1994-09-01,93.77
1994-10-01,93.67
1994-11-01,93.04
1994-12-01,91.14
1995-01-01,90.12
1995-02-01,91.42
1995-03-01,97.95
1995-04-01,102.32
1995-05-01,99.61
1995-06-01,92.43
1995-07-01,85.71
1995-08-01,82.46
1995-09-01,82.43
1995-10-01,82.2
1995-11-01,77.96
1995-12-01,73.05
1996-01-01,73.56
1996-02-01,75.13
1996-03-01,77.99
1996-04-01,84.66
1996-05-01,87.56
1996-06-01,82.15
1996-07-01,89.64
1996-08-01,96.09
1996-09-01,98.91
1996-10-01,101.51
1996-11-01,89.97
1996-12-01,90.69
1997-01-01,90.02
1997-02-01,93.49
1997-03-01,99.46
1997-04-01,98.68
1997-05-01,89.44
1997-06-01,81.57
1997-07-01,80.11
1997-08-01,83.9
1997-09-01,84.54
1997-10-01,86.35
1997-11-01,89.18
1997-12-01,82.29
1998-01-01,66.79
1998-02-01,77.62
1998-03-01,82.61
1998-04-01,83.77
1998-05-01,85.03
1998-06-01,83.2
1998-07-01,81.09
1998-08-01,81.11
1998-09-01,75.39
1998-10-01,68.27
1998-11-01,67.41
1998-12-01,68.03
1999-01-01,69.15
1999-02-01,69.84
1999-03-01,70.76
1999-04-01,67.17
1999-05-01,65.97
1999-06-01,66.76
1999-07-01,68.08
1999-08-01,72.36
1999-09-01,77.76
1999-10-01,80.45
1999-11-01,79.64
1999-12-01,77.86
