Date,Industrial Inputs Price Index、 2005 = 100、 includes Agricultural Raw Materials and Metals Price Indices
1980-01-01,81.89
1980-02-01,83.05
1980-03-01,75.23
1980-04-01,72.47
1980-05-01,69.59
1980-06-01,68.86
1980-07-01,72.42
1980-08-01,74.2
1980-09-01,70.73
1980-10-01,70.11
1980-11-01,69.68
1980-12-01,67.14
1981-01-01,65.61
1981-02-01,63.81
1981-03-01,63.8
1981-04-01,63.27
1981-05-01,61.78
1981-06-01,60.65
1981-07-01,58.92
1981-08-01,60.42
1981-09-01,58.17
1981-10-01,57.4
1981-11-01,57.01
1981-12-01,57.67
1982-01-01,58.72
1982-02-01,57.74
1982-03-01,55.77
1982-04-01,55.07
1982-05-01,55.53
1982-06-01,52.6
1982-07-01,53.7
1982-08-01,53.51
1982-09-01,52.93
1982-10-01,52.23
1982-11-01,51.64
1982-12-01,51.92
1983-01-01,53.38
1983-02-01,55.36
1983-03-01,57.06
1983-04-01,58.68
1983-05-01,61.93
1983-06-01,61.95
1983-07-01,63.93
1983-08-01,64.93
1983-09-01,64.82
1983-10-01,64.04
1983-11-01,63.95
1983-12-01,65.05
1984-01-01,64.33
1984-02-01,63.61
1984-03-01,64.47
1984-04-01,63.66
1984-05-01,63.54
1984-06-01,62.86
1984-07-01,60.16
1984-08-01,59.27
1984-09-01,57.35
1984-10-01,57.37
1984-11-01,58.38
1984-12-01,53.38
1985-01-01,53.09
1985-02-01,53.02
1985-03-01,52.62
1985-04-01,54.38
1985-05-01,54.33
1985-06-01,55.08
1985-07-01,54.4
1985-08-01,52.57
1985-09-01,50.92
1985-10-01,52.76
1985-11-01,53.53
1985-12-01,53.74
1986-01-01,54.49
1986-02-01,55.29
1986-03-01,55.3
1986-04-01,56.23
1986-05-01,57.86
1986-06-01,57.9
1986-07-01,55.89
1986-08-01,55.66
1986-09-01,56.53
1986-10-01,56.98
1986-11-01,56.93
1986-12-01,57.59
1987-01-01,58.2
1987-02-01,60.6
1987-03-01,63.41
1987-04-01,67.42
1987-05-01,69.2
1987-06-01,69.66
1987-07-01,73.16
1987-08-01,77.12
1987-09-01,78.95
1987-10-01,82.05
1987-11-01,81.1
1987-12-01,84.08
1988-01-01,84.41
1988-02-01,84.32
1988-03-01,94.44
1988-04-01,96.55
1988-05-01,102.69
1988-06-01,107.23
1988-07-01,92.09
1988-08-01,94.9
1988-09-01,89.64
1988-10-01,90.04
1988-11-01,92.19
1988-12-01,95.74
1989-01-01,96.7
1989-02-01,94.66
1989-03-01,95.68
1989-04-01,92.95
1989-05-01,92.59
1989-06-01,88.26
1989-07-01,88.23
1989-08-01,90.73
1989-09-01,90.05
1989-10-01,89.92
1989-11-01,85.9
1989-12-01,82.24
1990-01-01,82.03
1990-02-01,81.55
1990-03-01,86.61
1990-04-01,87.59
1990-05-01,87.55
1990-06-01,86.65
1990-07-01,87.79
1990-08-01,89.92
1990-09-01,91.85
1990-10-01,87.38
1990-11-01,82.18
1990-12-01,80.31
1991-01-01,79.24
1991-02-01,78.45
1991-03-01,77.89
1991-04-01,79.53
1991-05-01,78.32
1991-06-01,77.53
1991-07-01,76.6
1991-08-01,74.38
1991-09-01,73.4
1991-10-01,72.37
1991-11-01,72.02
1991-12-01,70.47
1992-01-01,70.43
1992-02-01,71.62
1992-03-01,72.4
1992-04-01,75.61
1992-05-01,76.12
1992-06-01,75.6
1992-07-01,77.23
1992-08-01,75.87
1992-09-01,75.83
1992-10-01,74.22
1992-11-01,72.86
1992-12-01,73.86
1993-01-01,73.58
1993-02-01,75.21
1993-03-01,75.13
1993-04-01,75.93
1993-05-01,76.94
