Date,Lead、 99.97% pure、 LME spot price、 CIF European Ports、 US＄ per metric ton
1980-01-01,1111.13
1980-02-01,1166.24
1980-03-01,1117.74
1980-04-01,970.03
1980-05-01,793.66
1980-06-01,736.34
1980-07-01,809.1
1980-08-01,850.98
1980-09-01,881.85
1980-10-01,870.82
1980-11-01,813.5
1980-12-01,742.96
1981-01-01,703.27
1981-02-01,690.05
1981-03-01,727.52
1981-04-01,758.39
1981-05-01,694.46
1981-06-01,712.09
1981-07-01,782.64
1981-08-01,822.32
1981-09-01,760.59
1981-10-01,716.5
1981-11-01,665.8
1981-12-01,676.82
1982-01-01,648.16
1982-02-01,615.09
1982-03-01,610.68
1982-04-01,575.41
1982-05-01,575.41
1982-06-01,522.49
1982-07-01,553.36
1982-08-01,522.49
1982-09-01,515.88
1982-10-01,498.24
1982-11-01,462.97
1982-12-01,449.74
1983-01-01,476.2
1983-02-01,456.36
1983-03-01,445.33
1983-04-01,456.36
1983-05-01,432.11
1983-06-01,407.85
1983-07-01,403.45
1983-08-01,396.83
1983-09-01,403.45
1983-10-01,418.88
1983-11-01,405.65
1983-12-01,401.24
1984-01-01,396.83
1984-02-01,403.45
1984-03-01,458.56
1984-04-01,480.61
1984-05-01,451.95
1984-06-01,482.81
1984-07-01,493.83
1984-08-01,467.38
1984-09-01,401.24
1984-10-01,412.26
1984-11-01,440.04
1984-12-01,414.47
1985-01-01,418.88
1985-02-01,368.17
1985-03-01,351.64
1985-04-01,390.22
1985-05-01,374.79
1985-06-01,388.01
1985-07-01,403.45
1985-08-01,412.26
1985-09-01,401.24
1985-10-01,392.42
1985-11-01,394.63
1985-12-01,392.42
1986-01-01,368.17
1986-02-01,365.97
1986-03-01,365.97
1986-04-01,368.17
1986-05-01,376.99
1986-06-01,418.88
1986-07-01,379.19
1986-08-01,392.42
1986-09-01,407.85
1986-10-01,434.31
1986-11-01,473.99
1986-12-01,515.88
1987-01-01,462.97
1987-02-01,460.77
1987-03-01,487.22
1987-04-01,555.56
1987-05-01,692.25
1987-06-01,628.32
1987-07-01,663.59
1987-08-01,659.18
1987-09-01,645.95
1987-10-01,599.66
1987-11-01,641.54
1987-12-01,659.18
1988-01-01,665.8
1988-02-01,654.77
1988-03-01,648.16
1988-04-01,648.16
1988-05-01,668
1988-06-01,676.82
1988-07-01,619.5
1988-08-01,601.86
1988-09-01,608.48
1988-10-01,654.77
1988-11-01,690.05
1988-12-01,729.73
1989-01-01,674.61
1989-02-01,620.96
1989-03-01,588.63
1989-04-01,607.5
1989-05-01,643
1989-06-01,665
1989-07-01,691
1989-08-01,701
1989-09-01,727
1989-10-01,751
1989-11-01,692
1989-12-01,710
1990-01-01,707
1990-02-01,779
1990-03-01,1059
1990-04-01,835
1990-05-01,825
1990-06-01,837
1990-07-01,875
1990-08-01,875
1990-09-01,838
1990-10-01,760
1990-11-01,700
1990-12-01,624
1991-01-01,600
1991-02-01,593
1991-03-01,602
1991-04-01,600
1991-05-01,559.82
1991-06-01,549.44
1991-07-01,549.59
1991-08-01,541
1991-09-01,538.95
1991-10-01,522.2
1991-11-01,506.24
1991-12-01,531.37
1992-01-01,515.67
1992-02-01,505.75
1992-03-01,523.15
1992-04-01,533.26
1992-05-01,520.75
1992-06-01,551.02
1992-07-01,633.25
1992-08-01,655.28
1992-09-01,624.84
1992-10-01,540.45
1992-11-01,462.05
1992-12-01,456.7
1993-01-01,436.9
1993-02-01,415
1993-03-01,405.43
1993-04-01,422.11
1993-05-01,407.66
1993-06-01,397.06
1993-07-01,389.64
1993-08-01,389.88
1993-09-01,376.34
1993-10-01,386.07
1993-11-01,401.64
1993-12-01,460.38
1994-01-01,491.4
1994-02-01,484.45
1994-03-01,451.09
1994-04-01,440.42
1994-05-01,475.86
1994-06-01,524.48
1994-07-01,579.05
1994-08-01,570.57
1994-09-01,612.95
1994-10-01,640.64
1994-11-01,679.32
1994-12-01,634.38
1995-01-01,664.81
1995-02-01,577.8
1995-03-01,582.04
1995-04-01,605.78
1995-05-01,595.88
1995-06-01,610.27
1995-07-01,622.4
1995-08-01,623.39
1995-09-01,591.25
1995-10-01,639.39
1995-11-01,710.5
1995-12-01,728.03
1996-01-01,709.88
1996-02-01,768.43
1996-03-01,816.7
1996-04-01,812.03
1996-05-01,840.98
1996-06-01,796.58
1996-07-01,783.78
1996-08-01,816.17
1996-09-01,794.26
1996-10-01,741.07
1996-11-01,720.29
1996-12-01,689.36
1997-01-01,691.52
1997-02-01,657.89
1997-03-01,693.55
1997-04-01,641.61
1997-05-01,617.85
1997-06-01,614.05
1997-07-01,633.5
1997-08-01,607.38
1997-09-01,632.88
1997-10-01,598.2
1997-11-01,562.6
