Date,Maize (corn)、 U.S. No.2 Yellow、 FOB Gulf of Mexico、 U.S. price、 US＄ per metric ton
1980-01-01,105.51
1980-02-01,114.17
1980-03-01,109.84
1980-04-01,108.26
1980-05-01,109.84
1980-06-01,113.38
1980-07-01,130.7
1980-08-01,143.3
1980-09-01,140.94
1980-10-01,140.54
1980-11-01,146.84
1980-12-01,145.27
1981-01-01,151.96
1981-02-01,143.3
1981-03-01,142.12
1981-04-01,144.48
1981-05-01,140.94
1981-06-01,136.21
1981-07-01,137.79
1981-08-01,127.16
1981-09-01,115.74
1981-10-01,111.41
1981-11-01,110.62
1981-12-01,105.51
1982-01-01,113.38
1982-02-01,112.59
1982-03-01,114.17
1982-04-01,116.14
1982-05-01,116.53
1982-06-01,114.96
1982-07-01,111.41
1982-08-01,101.18
1982-09-01,97.63
1982-10-01,90.94
1982-11-01,102.75
1982-12-01,105.51
1983-01-01,108.26
1983-02-01,117.32
1983-03-01,125.19
1983-04-01,133.46
1983-05-01,133.85
1983-06-01,135.03
1983-07-01,140.54
1983-08-01,152.75
1983-09-01,147.63
1983-10-01,148.02
1983-11-01,146.84
1983-12-01,142.91
1984-01-01,142.12
1984-02-01,137
1984-03-01,146.06
1984-04-01,148.02
1984-05-01,146.06
1984-06-01,146.84
1984-07-01,142.51
1984-08-01,138.58
1984-09-01,130.31
1984-10-01,121.25
1984-11-01,117.32
1984-12-01,113.77
1985-01-01,119.68
1985-02-01,119.68
1985-03-01,120.47
1985-04-01,120.07
1985-05-01,116.92
1985-06-01,116.14
1985-07-01,114.96
1985-08-01,105.51
1985-09-01,101.96
1985-10-01,97.63
1985-11-01,106.29
1985-12-01,108.66
1986-01-01,107.08
1986-02-01,104.33
1986-03-01,100.78
1986-04-01,101.57
1986-05-01,105.51
1986-06-01,104.72
1986-07-01,83.46
1986-08-01,75.19
1986-09-01,66.14
1986-10-01,65.35
1986-11-01,69.29
1986-12-01,70.08
1987-01-01,68.11
1987-02-01,66.93
1987-03-01,71.65
1987-04-01,74.41
1987-05-01,80.7
1987-06-01,80.31
1987-07-01,76.37
1987-08-01,71.26
1987-09-01,72.83
1987-10-01,78.74
1987-11-01,81.89
1987-12-01,83.07
1988-01-01,86.61
1988-02-01,87.4
1988-03-01,90.55
1988-04-01,89.76
1988-05-01,90.15
1988-06-01,120.07
1988-07-01,126.77
1988-08-01,118.89
1988-09-01,121.25
1988-10-01,121.25
1988-11-01,113.38
1988-12-01,117.32
1989-01-01,118.5
1989-02-01,117.58
1989-03-01,118.89
1989-04-01,115.35
1989-05-01,117.32
1989-06-01,113.38
1989-07-01,107.48
1989-08-01,101.18
1989-09-01,103.14
1989-10-01,106.29
1989-11-01,108.66
1989-12-01,108.66
1990-01-01,105.9
1990-02-01,106.29
1990-03-01,109.84
1990-04-01,118.5
1990-05-01,121.25
1990-06-01,120.07
1990-07-01,114.96
1990-08-01,109.84
1990-09-01,102.36
1990-10-01,100
1990-11-01,100
1990-12-01,102.36
1991-01-01,105.51
1991-02-01,106.29
1991-03-01,109.05
1991-04-01,110.23
1991-05-01,105.74
1991-06-01,105.11
1991-07-01,105.73
1991-08-01,110.12
1991-09-01,108.85
1991-10-01,109.52
1991-11-01,106.8
1991-12-01,106.72
1992-01-01,109.59
1992-02-01,113.92
1992-03-01,116.68
1992-04-01,109.06
1992-05-01,109.18
1992-06-01,110.2
1992-07-01,102.39
1992-08-01,97.54
1992-09-01,98.22
1992-10-01,94.56
1992-11-01,95.17
1992-12-01,94.04
1993-01-01,94.1
1993-02-01,94.25
1993-03-01,97.54
1993-04-01,100.49
1993-05-01,99.22
1993-06-01,92.73
1993-07-01,101.89
1993-08-01,100.31
1993-09-01,101.03
1993-10-01,105.77
1993-11-01,115.93
1993-12-01,121.23
1994-01-01,126.72
1994-02-01,123.65
1994-03-01,120.11
1994-04-01,113.42
1994-05-01,110.6
1994-06-01,112.08
1994-07-01,98.73
1994-08-01,96.16
1994-09-01,97.61
1994-10-01,96.11
1994-11-01,95.61
1994-12-01,102.56
1995-01-01,106.9
1995-02-01,106.98
1995-03-01,109.63
1995-04-01,109.64
1995-05-01,111.93
1995-06-01,120.01
1995-07-01,127.31
1995-08-01,126.3
1995-09-01,130.51
1995-10-01,140.82
1995-11-01,143.21
1995-12-01,148.19
1996-01-01,156.67
1996-02-01,164.71
1996-03-01,170.96
1996-04-01,189.03
1996-05-01,204
1996-06-01,196.64
1996-07-01,197.62
1996-08-01,186.82
1996-09-01,145.24
1996-10-01,128.61
1996-11-01,117.14
1996-12-01,116.84
1997-01-01,118.7
1997-02-01,121.75
1997-03-01,127.86
1997-04-01,124.71
1997-05-01,118.61
1997-06-01,112.58
1997-07-01,106.42
1997-08-01,111.95
1997-09-01,112.24
1997-10-01,120.24
1997-11-01,117.4
1997-12-01,113.6
1998-01-01,114.37
1998-02-01,113.62
1998-03-01,113.84
1998-04-01,106.69
1998-05-01,105.97
1998-06-01,101.75
1998-07-01,100.9
1998-08-01,88.36
1998-09-01,85.71
1998-10-01,95.49
1998-11-01,97.38
1998-12-01,95.32
1999-01-01,97.45
1999-02-01,94.56
1999-03-01,96.43
1999-04-01,94.04
1999-05-01,92.72
1999-06-01,92.95
1999-07-01,83.6
1999-08-01,86.38
1999-09-01,87.12
1999-10-01,85.65
1999-11-01,85.41
1999-12-01,87.22
2000-01-01,92.95
2000-02-01,95.08
2000-03-01,95.17
2000-04-01,95.54
2000-05-01,95.53
2000-06-01,84.04
2000-07-01,75.06
2000-08-01,75.24
2000-09-01,80.15
2000-10-01,84.71
2000-11-01,88.94
2000-12-01,96.22
2001-01-01,94.3
2001-02-01,92.38
2001-03-01,91.01
2001-04-01,87.55
2001-05-01,85.08
2001-06-01,83.16
2001-07-01,90.75
2001-08-01,92.88
2001-09-01,89.74
2001-10-01,86.27
2001-11-01,89.88
2001-12-01,92.31
2002-01-01,91.97
2002-02-01,90.73
2002-03-01,89.86
2002-04-01,87.11
2002-05-01,90.33
2002-06-01,93.17
2002-07-01,99.7
2002-08-01,109.89
2002-09-01,113.94
2002-10-01,109.65
2002-11-01,108.65
2002-12-01,107.01
2003-01-01,105.75
2003-02-01,106.04
2003-03-01,105.06
2003-04-01,105.25
2003-05-01,107.82
2003-06-01,106.99
2003-07-01,97.61
2003-08-01,100.31
2003-09-01,103.22
2003-10-01,104.17
2003-11-01,108.03
2003-12-01,111.98
2004-01-01,115.09
2004-02-01,122.91
2004-03-01,128.43
2004-04-01,133.39
2004-05-01,129.3
2004-06-01,123.23
2004-07-01,104.48
2004-08-01,104.04
2004-09-01,97.76
2004-10-01,93.37
2004-11-01,93.75
2004-12-01,95.59
2005-01-01,95.98
2005-02-01,94.36
2005-03-01,99.94
2005-04-01,96.39
2005-05-01,95.27
2005-06-01,97.56
2005-07-01,105.6
2005-08-01,98.64
