Date,Metals Price Index、 2005 = 100、 includes Copper、 Aluminum、 Iron Ore、 Tin、 Nickel、 Zinc、 Lead、 and Uranium Price Indices
1980-01-01,84.05
1980-02-01,88.35
1980-03-01,79.73
1980-04-01,75.79
1980-05-01,72.27
1980-06-01,69.61
1980-07-01,73.06
1980-08-01,72.89
1980-09-01,70.31
1980-10-01,69.48
1980-11-01,66.35
1980-12-01,63.37
1981-01-01,62.84
1981-02-01,62.35
1981-03-01,62.38
1981-04-01,61.33
1981-05-01,59.25
1981-06-01,57.39
1981-07-01,56.46
1981-08-01,58.87
1981-09-01,56.7
1981-10-01,55.33
1981-11-01,54.01
1981-12-01,55.2
1982-01-01,55.26
1982-02-01,54.61
1982-03-01,51.96
1982-04-01,50.59
1982-05-01,50.1
1982-06-01,46.53
1982-07-01,48.22
1982-08-01,48.11
1982-09-01,47.72
1982-10-01,47.58
1982-11-01,47.4
1982-12-01,48.05
1983-01-01,50.35
1983-02-01,54.27
1983-03-01,55.83
1983-04-01,57.9
1983-05-01,60.53
1983-06-01,60.03
1983-07-01,61.17
1983-08-01,62.54
1983-09-01,62.32
1983-10-01,60.37
1983-11-01,58.84
1983-12-01,59.51
1984-01-01,58.79
1984-02-01,57.78
1984-03-01,57.96
1984-04-01,56.66
1984-05-01,54.17
1984-06-01,53.26
1984-07-01,50.38
1984-08-01,49.82
1984-09-01,47.08
1984-10-01,46.83
1984-11-01,49.87
1984-12-01,48.5
1985-01-01,48.4
1985-02-01,49.06
1985-03-01,49.3
1985-04-01,50.68
1985-05-01,50.79
1985-06-01,48.48
1985-07-01,47.49
1985-08-01,47.6
1985-09-01,45.39
1985-10-01,45.46
1985-11-01,44.17
1985-12-01,45.54
1986-01-01,47.61
1986-02-01,47.26
1986-03-01,48.62
1986-04-01,48.25
1986-05-01,48.27
1986-06-01,49.12
1986-07-01,47.23
1986-08-01,47.05
1986-09-01,48.78
1986-10-01,48.08
1986-11-01,47.27
1986-12-01,47.47
1987-01-01,47.89
1987-02-01,50.38
1987-03-01,52.71
1987-04-01,53.82
1987-05-01,55.29
1987-06-01,56.84
1987-07-01,61.21
1987-08-01,64.99
1987-09-01,63.93
1987-10-01,69.43
1987-11-01,68.68
1987-12-01,75.22
1988-01-01,77.27
1988-02-01,77.8
1988-03-01,90.58
1988-04-01,91.81
1988-05-01,101.87
1988-06-01,113.73
1988-07-01,90.93
1988-08-01,93.07
1988-09-01,87.19
1988-10-01,89.81
1988-11-01,95.2
1988-12-01,100.75
1989-01-01,100.52
1989-02-01,95.45
1989-03-01,93.97
1989-04-01,91.45
1989-05-01,89.89
1989-06-01,80.57
1989-07-01,77.65
1989-08-01,81.04
1989-09-01,78.77
1989-10-01,79.76
1989-11-01,74.76
1989-12-01,70.89
1990-01-01,67.47
1990-02-01,66.41
1990-03-01,73.87
1990-04-01,72.9
1990-05-01,73.61
1990-06-01,73.03
1990-07-01,74.91
1990-08-01,81.33
1990-09-01,86.71
1990-10-01,79.84
1990-11-01,71.72
1990-12-01,68.6
1991-01-01,68.51
1991-02-01,68.36
1991-03-01,67.97
1991-04-01,66.82
1991-05-01,63.18
1991-06-01,61.53
1991-07-01,61.95
1991-08-01,60.87
1991-09-01,59.94
1991-10-01,58.77
1991-11-01,58.86
1991-12-01,57.27
1992-01-01,58.45
1992-02-01,60.61
1992-03-01,61.04
1992-04-01,62.01
1992-05-01,62.09
1992-06-01,62.2
1992-07-01,64.81
1992-08-01,64.62
1992-09-01,63.05
1992-10-01,58.84
1992-11-01,56.61
1992-12-01,57.93
1993-01-01,57.64
1993-02-01,57.24
1993-03-01,55.39
1993-04-01,53.27
1993-05-01,52.09
1993-06-01,52.89
1993-07-01,53.62
1993-08-01,52.8
1993-09-01,50.69
1993-10-01,48.92
1993-11-01,48.02
1993-12-01,50.35
1994-01-01,52.4
1994-02-01,54.89
1994-03-01,55.16
1994-04-01,54.5
1994-05-01,57.96
1994-06-01,61.39
1994-07-01,63.72
1994-08-01,62.4
1994-09-01,66.02
1994-10-01,69.31
1994-11-01,75.99
1994-12-01,77.71
1995-01-01,82.79
1995-02-01,77.27
1995-03-01,75.07
1995-04-01,76.04
1995-05-01,73.35
1995-06-01,75.56
1995-07-01,78.59
1995-08-01,78.99
1995-09-01,74.93
1995-10-01,72.3
1995-11-01,73.94
1995-12-01,73.17
1996-01-01,69.69
1996-02-01,70.44
1996-03-01,71.09
1996-04-01,70.79
1996-05-01,71.46
1996-06-01,65.43
1996-07-01,63.12
1996-08-01,63.45
1996-09-01,61.74
1996-10-01,60.18
1996-11-01,64.22
1996-12-01,65.08
1997-01-01,68.24
1997-02-01,68.89
1997-03-01,70.41
1997-04-01,68.1
1997-05-01,70.43
1997-06-01,69.74
1997-07-01,69.5
1997-08-01,70.77
1997-09-01,67.63
1997-10-01,65.65
1997-11-01,64.09
1997-12-01,61.07
1998-01-01,59.37
1998-02-01,58.36
1998-03-01,58.51
1998-04-01,58.79
1998-05-01,56.84
1998-06-01,54.54
1998-07-01,54.68
1998-08-01,54.1
1998-09-01,54.68
1998-10-01,52.92
1998-11-01,52.84
1998-12-01,50.98
1999-01-01,49.6
1999-02-01,49.55
1999-03-01,49.69
1999-04-01,52.28
1999-05-01,53.9
1999-06-01,52.6
1999-07-01,56.45
1999-08-01,57.61
1999-09-01,60.39
1999-10-01,59.82
1999-11-01,60.29
1999-12-01,62.37
2000-01-01,65.72
2000-02-01,65.86
2000-03-01,63.91
2000-04-01,60.82
2000-05-01,61.98
2000-06-01,61.14
2000-07-01,62.53
2000-08-01,62.34
2000-09-01,65.1
2000-10-01,61.37
2000-11-01,59.72
2000-12-01,61.9
2001-01-01,62.3
2001-02-01,61.64
2001-03-01,59.35
2001-04-01,58.56
2001-05-01,59.99
2001-06-01,57.51
2001-07-01,55.16
2001-08-01,53.53
2001-09-01,52.13
2001-10-01,50.32
2001-11-01,52.07
2001-12-01,52.67
2002-01-01,53.94
2002-02-01,54.15
2002-03-01,55.74
2002-04-01,55.16
2002-05-01,54.43
2002-06-01,55.34
2002-07-01,54.63
2002-08-01,52.39
2002-09-01,52.51
2002-10-01,52.91
2002-11-01,55.22
2002-12-01,55.41
2003-01-01,57.02
2003-02-01,58.55
2003-03-01,57.49
2003-04-01,55.53
2003-05-01,57.84
2003-06-01,58.69
2003-07-01,59.74
2003-08-01,60.71
2003-09-01,60.75
2003-10-01,64.32
2003-11-01,66.9
2003-12-01,70.93
2004-01-01,75.89
2004-02-01,80.6
2004-03-01,81.39
2004-04-01,81.33
2004-05-01,77.04
2004-06-01,79.54
2004-07-01,81.93
2004-08-01,80.79
2004-09-01,81.98
2004-10-01,85.94
2004-11-01,86.6
2004-12-01,87.42
2005-01-01,93.14
2005-02-01,95.76
2005-03-01,99.75
2005-04-01,97.71
2005-05-01,94.99
2005-06-01,96.41
2005-07-01,96.28
2005-08-01,100.14
2005-09-01,99.9
2005-10-01,102.87
2005-11-01,107.37
2005-12-01,115.68
2006-01-01,124.33
2006-02-01,128.44
2006-03-01,130.19
2006-04-01,148.4
2006-05-01,169.14
2006-06-01,153.98
2006-07-01,163.13
2006-08-01,165.39
2006-09-01,166.34
2006-10-01,173.73
2006-11-01,174.23
2006-12-01,177.04
2007-01-01,170.78
2007-02-01,174.01
2007-03-01,183.76
2007-04-01,201.95
2007-05-01,205.38
2007-06-01,197.36
2007-07-01,196.53
2007-08-01,179.94
2007-09-01,174.84
2007-10-01,179.86
2007-11-01,172.77
2007-12-01,162.56
2008-01-01,178.4
2008-02-01,190.83
2008-03-01,201.07
2008-04-01,198.95
2008-05-01,190.46
2008-06-01,186.27
2008-07-01,187.96
2008-08-01,174.99
2008-09-01,164.1
2008-10-01,131.48
2008-11-01,116.14
2008-12-01,107.51
2009-01-01,109.66
2009-02-01,107.85
2009-03-01,105.54
2009-04-01,112.36
2009-05-01,118.55
2009-06-01,130.89
2009-07-01,140.02
2009-08-01,161.31
2009-09-01,151.27
2009-10-01,157.47
2009-11-01,166.65
2009-12-01,176.78
2010-01-01,191.18
2010-02-01,183.23
2010-03-01,198.98
2010-04-01,220.78
2010-05-01,198.64
2010-06-01,182.88
2010-07-01,179.37
2010-08-01,198.02
2010-09-01,202.24
2010-10-01,216.28
2010-11-01,222.65
2010-12-01,233.58
2011-01-01,245.48
2011-02-01,256.24
2011-03-01,244.21
2011-04-01,250.08
2011-05-01,239.46
2011-06-01,235.71
2011-07-01,242.23
2011-08-01,232.83
2011-09-01,224.1
2011-10-01,200.9
2011-11-01,193.28
2011-12-01,192.11
2012-01-01,202.04
2012-02-01,207.1
2012-03-01,206.92
2012-04-01,203.49
2012-05-01,193.34
2012-06-01,185.69
2012-07-01,183.15
