Date,Soft Sawnwood、 average export price of Douglas Fir、 U.S. Price、 US＄ per cubic meter
1980-01-01,138
1980-02-01,131.23
1980-03-01,131.23
1980-04-01,143.08
1980-05-01,143.08
1980-06-01,143.08
1980-07-01,153.24
1980-08-01,135.46
1980-09-01,119.38
1980-10-01,110.91
1980-11-01,117.68
1980-12-01,119.38
1981-01-01,115.14
1981-02-01,110.91
1981-03-01,113.45
1981-04-01,109.22
1981-05-01,111.76
1981-06-01,126.15
1981-07-01,119.38
1981-08-01,114.3
1981-09-01,113.45
1981-10-01,117.68
1981-11-01,132.08
1981-12-01,143.08
1982-01-01,158.32
1982-02-01,156.08
1982-03-01,157.17
1982-04-01,159.22
1982-05-01,153.88
1982-06-01,152.67
1982-07-01,150.61
1982-08-01,148.79
1982-09-01,147.84
1982-10-01,146.6
1982-11-01,144.16
1982-12-01,144.16
1983-01-01,141.72
1983-02-01,137.97
1983-03-01,137.05
1983-04-01,138.71
1983-05-01,147.48
1983-06-01,145.48
1983-07-01,142.68
1983-08-01,139.45
1983-09-01,141.41
1983-10-01,143.36
1983-11-01,141.79
1983-12-01,140.23
1984-01-01,140.81
1984-02-01,141.26
1984-03-01,138.19
1984-04-01,141.22
1984-05-01,140.76
1984-06-01,140.3
1984-07-01,138.5
1984-08-01,136.81
1984-09-01,136.63
1984-10-01,136.01
1984-11-01,121.17
1984-12-01,133.55
1985-01-01,135.02
1985-02-01,135.02
1985-03-01,135.02
1985-04-01,136.49
1985-05-01,136.48
1985-06-01,137.34
1985-07-01,135.94
1985-08-01,136.59
1985-09-01,135.01
1985-10-01,136.03
1985-11-01,138.79
1985-12-01,135.14
1986-01-01,134.22
1986-02-01,143.86
1986-03-01,138.99
1986-04-01,145.78
1986-05-01,155.46
1986-06-01,159.42
1986-07-01,141.81
1986-08-01,149.88
1986-09-01,150.69
1986-10-01,150.64
1986-11-01,157.42
1986-12-01,163.82
1987-01-01,151.75
1987-02-01,163.89
1987-03-01,173.32
1987-04-01,166.14
1987-05-01,165.97
1987-06-01,149.82
1987-07-01,160.1
1987-08-01,162.36
1987-09-01,160.85
1987-10-01,157.22
1987-11-01,158.64
1987-12-01,153.56
1988-01-01,158.93
1988-02-01,158.83
1988-03-01,162.66
1988-04-01,165.13
1988-05-01,169.04
1988-06-01,166.42
1988-07-01,161.49
1988-08-01,165.91
1988-09-01,163.25
1988-10-01,160.08
1988-11-01,153.5
1988-12-01,166.57
1989-01-01,144.56
1989-02-01,153.83
1989-03-01,161.46
1989-04-01,167.42
1989-05-01,195.13
1989-06-01,208.01
1989-07-01,214.19
1989-08-01,220.27
1989-09-01,219.63
1989-10-01,203.26
1989-11-01,173.62
1989-12-01,148.81
1990-01-01,203.78
1990-02-01,203.73
1990-03-01,206.02
1990-04-01,218.76
1990-05-01,213
1990-06-01,200
1990-07-01,210.05
1990-08-01,208.3
1990-09-01,199.59
1990-10-01,206.98
1990-11-01,206.64
1990-12-01,198.22
1991-01-01,186.94
1991-02-01,220.67
1991-03-01,211.42
1991-04-01,209.34
1991-05-01,211.31
1991-06-01,228.71
1991-07-01,218.17
1991-08-01,212.42
1991-09-01,228.87
1991-10-01,218.33
1991-11-01,215.79
1991-12-01,232.11
1992-01-01,214.72
1992-02-01,225.15
1992-03-01,231.24
1992-04-01,258.08
1992-05-01,233.16
1992-06-01,231.97
1992-07-01,236.24
1992-08-01,227.33
1992-09-01,231.18
1992-10-01,243.96
1992-11-01,244.61
1992-12-01,238.09
1993-01-01,225.02
1993-02-01,253.74
1993-03-01,263.16
1993-04-01,284.55
1993-05-01,292.74
1993-06-01,275.36
1993-07-01,306.99
1993-08-01,271.03
1993-09-01,280.96
1993-10-01,295.72
1993-11-01,294.07
1993-12-01,285.96
1994-01-01,305.16
1994-02-01,305.16
1994-03-01,285.63
1994-04-01,315.97
1994-05-01,296.72
1994-06-01,326.34
1994-07-01,285.23
1994-08-01,302.11
1994-09-01,293.53
1994-10-01,285.91
1994-11-01,286.32
1994-12-01,306.55
1995-01-01,281.66
1995-02-01,294.47
1995-03-01,299.17
1995-04-01,293.74
1995-05-01,294.21
1995-06-01,316.87
1995-07-01,318.01
1995-08-01,305.36
1995-09-01,300.18
1995-10-01,274.59
1995-11-01,322.97
1995-12-01,306.16
1996-01-01,297.69
1996-02-01,290.36
1996-03-01,299.45
1996-04-01,307.24
1996-05-01,296.21
1996-06-01,313.65
1996-07-01,304.74
1996-08-01,311.08
1996-09-01,336.14
1996-10-01,316.82
1996-11-01,336.25
1996-12-01,309.34
1997-01-01,309.67
1997-02-01,314.03
1997-03-01,298.16
1997-04-01,270.2
1997-05-01,313.15
1997-06-01,279.22
1997-07-01,303.36
1997-08-01,289.82
1997-09-01,298.62
1997-10-01,278.46
1997-11-01,299.18
1997-12-01,275.66
1998-01-01,287.3
1998-02-01,277.7
1998-03-01,278.62
1998-04-01,280.31
1998-05-01,297.55
1998-06-01,290.69
1998-07-01,268.34
1998-08-01,269.07
1998-09-01,276.91
1998-10-01,265.69
1998-11-01,281.84
1998-12-01,283.75
1999-01-01,290.99
1999-02-01,286.34
1999-03-01,300.62
1999-04-01,285.05
1999-05-01,303.76
1999-06-01,290.64
1999-07-01,290.95
1999-08-01,296.19
1999-09-01,314.87
1999-10-01,323.23
1999-11-01,309.67
1999-12-01,314.24
2000-01-01,295.28
2000-02-01,312.8
2000-03-01,320.71
2000-04-01,298.83
2000-05-01,310.9
2000-06-01,303.42
2000-07-01,290.24
2000-08-01,238.72
2000-09-01,275.26
2000-10-01,270.09
2000-11-01,289.62
2000-12-01,211.79
2001-01-01,275.6
2001-02-01,289.82
2001-03-01,263.49
2001-04-01,289.27
2001-05-01,275.58
2001-06-01,305.23
2001-07-01,289.42
2001-08-01,292.19
2001-09-01,282.92
2001-10-01,274.3
2001-11-01,289.09
2001-12-01,266.97
2002-01-01,252.89
2002-02-01,271.49
2002-03-01,241.46
2002-04-01,248.19
2002-05-01,254.1
2002-06-01,259.94
2002-07-01,287.33
2002-08-01,280.83
2002-09-01,309.2
2002-10-01,299.03
2002-11-01,283.98
2002-12-01,290.55
2003-01-01,294.99
2003-02-01,277.47
2003-03-01,257.37
2003-04-01,296.9
2003-05-01,275.09
2003-06-01,290.3
2003-07-01,297
2003-08-01,291.02
2003-09-01,292.74
2003-10-01,285.82
2003-11-01,283.28
2003-12-01,269.63
2004-01-01,275.43
2004-02-01,303.41
2004-03-01,307.38
2004-04-01,299.18
2004-05-01,344.08
2004-06-01,343.05
2004-07-01,347.3
2004-08-01,355.27
2004-09-01,342.71
2004-10-01,349.49
2004-11-01,327.98
2004-12-01,292.37
2005-01-01,328.98
2005-02-01,316.35
2005-03-01,359.51
2005-04-01,325.81
2005-05-01,334.51
2005-06-01,327.32
2005-07-01,298.1
2005-08-01,334.24
2005-09-01,331.08
2005-10-01,331.64
2005-11-01,333.1
2005-12-01,319.36
2006-01-01,308.74
2006-02-01,324.53
2006-03-01,317.78
2006-04-01,309.13
2006-05-01,327.64
2006-06-01,349.85
2006-07-01,357.94
2006-08-01,368.83
2006-09-01,355.23
2006-10-01,372.6
2006-11-01,349.97
2006-12-01,367.03
2007-01-01,355.07
2007-02-01,369.65
2007-03-01,343.56
2007-04-01,353.73
2007-05-01,362.25
2007-06-01,339.55
2007-07-01,309.02
2007-08-01,248.86
2007-09-01,316.41
2007-10-01,295.23
2007-11-01,306.63
2007-12-01,310.94
2008-01-01,322.86
2008-02-01,311.94
2008-03-01,298.25
2008-04-01,291.6
2008-05-01,305.65
2008-06-01,294.01
2008-07-01,332.26
2008-08-01,315.06
2008-09-01,312.56
2008-10-01,324.72
2008-11-01,333.19
2008-12-01,315.35
2009-01-01,322.88
2009-02-01,319.02
2009-03-01,310.81
2009-04-01,284.88
2009-05-01,285.42
2009-06-01,294.96
2009-07-01,277.12
2009-08-01,291.6
2009-09-01,280.87
2009-10-01,261.29
2009-11-01,273.58
2009-12-01,289.96
2010-01-01,275.32
2010-02-01,282.94
2010-03-01,277.01
2010-04-01,284.27
2010-05-01,281.61
2010-06-01,285.35
2010-07-01,282.5
2010-08-01,289.24
2010-09-01,281.94
2010-10-01,281.77
2010-11-01,271.34
2010-12-01,287.83
2011-01-01,291.81
2011-02-01,262.96
2011-03-01,270.58
2011-04-01,275.4
2011-05-01,277.94
2011-06-01,273.55
2011-07-01,285.92
2011-08-01,293.55
2011-09-01,287.28
2011-10-01,286.8
2011-11-01,286.66
2011-12-01,277.77
2012-01-01,261.56
2012-02-01,271.01
2012-03-01,260.66
2012-04-01,295.39
2012-05-01,300.32
2012-06-01,292.13
2012-07-01,295.21
2012-08-01,291.36
2012-09-01,299.63
2012-10-01,289.06
2012-11-01,284.11
2012-12-01,276.5
2013-01-01,275.58
2013-02-01,279.08
2013-03-01,280.66
2013-04-01,300.73
2013-05-01,321.81
2013-06-01,323.46
2013-07-01,318.81
2013-08-01,299.74
2013-09-01,303.41
2013-10-01,291.47
2013-11-01,296.69
2013-12-01,324.87
2014-01-01,299.97
2014-02-01,295.57
2014-03-01,322.87
2014-04-01,308.41
2014-05-01,317.95
2014-06-01,311.34
2014-07-01,316.32
2014-08-01,312.51
2014-09-01,296.18
2014-10-01,297.67
2014-11-01,302.74
2014-12-01,305.74
2015-01-01,315.33
2015-02-01,306.09
2015-03-01,299.02
2015-04-01,305.23
2015-05-01,293.22
2015-06-01,295.63
2015-07-01,307.46
2015-08-01,307.46
2015-09-01,307.46
