Date,Soybean Oil、 Chicago Soybean Oil Futures (first contract forward) exchange approved grades、 US＄ per metric ton
1980-01-01,525.58
1980-02-01,518.75
1980-03-01,486.78
1980-04-01,451.07
1980-05-01,463.19
1980-06-01,485.02
1980-07-01,585.99
1980-08-01,583.34
1980-09-01,591.94
1980-10-01,571.44
1980-11-01,615.09
1980-12-01,547.41
1981-01-01,532.2
1981-02-01,525.14
1981-03-01,531.09
1981-04-01,539.69
1981-05-01,510.81
1981-06-01,493.17
1981-07-01,516.98
1981-08-01,475.98
1981-09-01,453.49
1981-10-01,464.07
1981-11-01,451.29
1981-12-01,426.59
1982-01-01,423.29
1982-02-01,418.88
1982-03-01,407.19
1982-04-01,433.43
1982-05-01,445.33
1982-06-01,420.2
1982-07-01,409.84
1982-08-01,386.47
1982-09-01,378.31
1982-10-01,375.23
1982-11-01,376.55
1982-12-01,364.42
1983-01-01,367.51
1983-02-01,379.42
1983-03-01,382.28
1983-04-01,419.1
1983-05-01,424.39
1983-06-01,418
1983-07-01,466.5
1983-08-01,657.42
1983-09-01,744.72
1983-10-01,662.93
1983-11-01,610.46
1983-12-01,602.3
1984-01-01,618.4
1984-02-01,590.62
1984-03-01,649.48
1984-04-01,692.25
1984-05-01,825.41
1984-06-01,750.67
1984-07-01,636.25
1984-08-01,600.76
1984-09-01,588.41
1984-10-01,609.8
1984-11-01,620.82
1984-12-01,592.38
1985-01-01,583.78
1985-02-01,618.62
1985-03-01,655.65
1985-04-01,707.68
1985-05-01,689.38
1985-06-01,671.97
1985-07-01,608.25
1985-08-01,507.5
1985-09-01,477.74
1985-10-01,438.72
1985-11-01,439.6
1985-12-01,460.32
1986-01-01,445.33
1986-02-01,409.84
1986-03-01,386.91
1986-04-01,389.12
1986-05-01,391.98
1986-06-01,371.7
1986-07-01,361.12
1986-08-01,317.91
1986-09-01,301.59
1986-10-01,320.55
1986-11-01,337.09
1986-12-01,339.51
1987-01-01,356.93
1987-02-01,354.06
1987-03-01,347.67
1987-04-01,345.9
1987-05-01,368.61
1987-06-01,366.63
1987-07-01,354.94
1987-08-01,348.77
1987-09-01,354.72
1987-10-01,383.38
1987-11-01,390.66
1987-12-01,430.56
1988-01-01,486.56
1988-02-01,465.17
1988-03-01,450.84
1988-04-01,486.34
1988-05-01,527.35
1988-06-01,615.09
1988-07-01,645.73
1988-08-01,593.48
1988-09-01,561.96
1988-10-01,525.14
1988-11-01,490.09
1988-12-01,508.16
1989-01-01,484.36
1989-02-01,488.54
