Date,Tea、 Mombasa、 Kenya、 Auction Price、 US cents per kilogram、 From July 1998、Kenya auctions、 Best Pekoe Fannings. Prior、 London auctions、 c.i.f. U.K. warehouses
1980-01-01,225.18
1980-02-01,233.09
1980-03-01,226.83
1980-04-01,221.81
1980-05-01,229.61
1980-06-01,235.41
1980-07-01,222.29
1980-08-01,226.04
1980-09-01,209.75
1980-10-01,203.66
1980-11-01,223.57
1980-12-01,216.25
1981-01-01,217.38
1981-02-01,222.84
1981-03-01,221.72
1981-04-01,216.14
1981-05-01,208.2
1981-06-01,199.41
1981-07-01,186.55
1981-08-01,175.42
1981-09-01,179.87
1981-10-01,192.57
1981-11-01,201.11
1981-12-01,201.77
1982-01-01,202.76
1982-02-01,207.37
1982-03-01,194.98
1982-04-01,186.47
1982-05-01,186.91
1982-06-01,183.51
1982-07-01,175.73
1982-08-01,178.13
1982-09-01,191.34
1982-10-01,201.46
1982-11-01,197.8
1982-12-01,211.58
1983-01-01,216.85
1983-02-01,205.25
1983-03-01,197.78
1983-04-01,203.64
1983-05-01,200.69
1983-06-01,187.41
1983-07-01,193.83
1983-08-01,200.44
1983-09-01,214.49
1983-10-01,260.26
1983-11-01,347.84
1983-12-01,361.09
1984-01-01,428.75
1984-02-01,372.07
1984-03-01,367.2
1984-04-01,353.67
1984-05-01,355.45
1984-06-01,317.71
1984-07-01,287.61
1984-08-01,293.13
1984-09-01,341.72
1984-10-01,361.89
1984-11-01,343.13
1984-12-01,325.73
1985-01-01,315.33
1985-02-01,279.72
1985-03-01,243.02
1985-04-01,219.12
1985-05-01,165.59
1985-06-01,164.07
1985-07-01,156.44
1985-08-01,158.75
1985-09-01,161.91
1985-10-01,173.46
1985-11-01,177.52
1985-12-01,165.46
1986-01-01,180.18
1986-02-01,188.8
1986-03-01,201.5
1986-04-01,201.22
1986-05-01,188.89
1986-06-01,175.51
1986-07-01,176.26
1986-08-01,190.68
1986-09-01,202.76
1986-10-01,207.32
1986-11-01,206.26
1986-12-01,194.81
1987-01-01,197.78
1987-02-01,184.05
1987-03-01,183.2
1987-04-01,149.53
1987-05-01,144.15
1987-06-01,134.05
1987-07-01,153.25
1987-08-01,158.35
1987-09-01,160.21
1987-10-01,184.91
1987-11-01,192.41
1987-12-01,207.03
1988-01-01,212.32
1988-02-01,193.7
1988-03-01,191.66
1988-04-01,184.29
1988-05-01,170.76
1988-06-01,166.29
1988-07-01,146.2
1988-08-01,148.12
1988-09-01,164.59
1988-10-01,181.34
1988-11-01,192.64
1988-12-01,195.76
1989-01-01,193.03
1989-02-01,181.69
1989-03-01,178
1989-04-01,171.83
1989-05-01,169.1
1989-06-01,176.81
1989-07-01,193.73
1989-08-01,184
1989-09-01,214.74
1989-10-01,261.53
1989-11-01,235.31
1989-12-01,254.33
1990-01-01,252.93
1990-02-01,211.29
1990-03-01,192.6
1990-04-01,194.81
1990-05-01,187.02
1990-06-01,181.49
1990-07-01,189.79
1990-08-01,174.55
1990-09-01,185.25
1990-10-01,220.2
1990-11-01,228.6
1990-12-01,219.95
1991-01-01,236.19
1991-02-01,200.35
1991-03-01,184.74
1991-04-01,182.04
1991-05-01,173.49
1991-06-01,163.71
1991-07-01,152.35
1991-08-01,162.12
1991-09-01,174.29
1991-10-01,185.85
1991-11-01,197.07
1991-12-01,198.63
1992-01-01,175.28
1992-02-01,162.51
1992-03-01,165.44
1992-04-01,192.87
1992-05-01,211.22
1992-06-01,201.56
1992-07-01,206.41
1992-08-01,221.06
1992-09-01,221.01
1992-10-01,200.79
1992-11-01,203.64
1992-12-01,235.12
1993-01-01,239.49
1993-02-01,203.56
1993-03-01,190.48
1993-04-01,177.75
1993-05-01,172.86
1993-06-01,166.67
1993-07-01,165.19
1993-08-01,166.61
