Date,Tin、 standard grade、 LME spot price、 US＄ per metric ton
1980-01-01,16973.59
1980-02-01,17090.21
1980-03-01,17460.59
1980-04-01,17041.71
1980-05-01,17180.6
1980-06-01,17211.47
1980-07-01,17090.21
1980-08-01,17008.64
1980-09-01,17295.24
1980-10-01,16682.36
1980-11-01,15599.89
1980-12-01,14698.2
1981-01-01,14360.89
1981-02-01,13679.67
1981-03-01,13624.55
1981-04-01,13344.57
1981-05-01,12683.18
1981-06-01,12583.97
1981-07-01,13419.52
1981-08-01,14477.74
1981-09-01,14969.37
1981-10-01,15101.65
1981-11-01,15826.96
1981-12-01,15954.83
1982-01-01,16124.59
1982-02-01,15930.59
1982-03-01,12813.25
1982-04-01,12628.06
1982-05-01,12736.09
1982-06-01,11098.06
1982-07-01,11316.32
1982-08-01,12187.14
1982-09-01,12678.77
1982-10-01,12420.83
1982-11-01,11982.11
1982-12-01,12041.63
1983-01-01,12079.11
1983-02-01,13040.33
1983-03-01,13459.21
1983-04-01,13787.69
1983-05-01,13523.14
1983-06-01,13351.18
1983-07-01,13190.24
1983-08-01,12811.05
1983-09-01,12751.52
1983-10-01,12747.11
1983-11-01,12769.16
1983-12-01,12341.46
1984-01-01,12112.18
1984-02-01,12292.96
1984-03-01,12403.19
1984-04-01,12440.67
1984-05-01,12577.36
1984-06-01,12658.93
1984-07-01,12442.87
1984-08-01,12299.57
1984-09-01,12087.93
1984-10-01,11739.6
1984-11-01,11988.72
1984-12-01,11719.76
1985-01-01,11073.4
1985-02-01,10946
1985-03-01,11210.6
1985-04-01,11806.4
1985-05-01,11909.8
1985-06-01,12385.8
1985-07-01,12755.8
1985-08-01,12647.2
1985-09-01,12325.2
1985-10-01,12391.1
1985-11-01,9903.15
1985-12-01,9114
1986-01-01,7910
1986-02-01,7922.9
1986-03-01,7313.6
1986-04-01,5686.1
1986-05-01,5474.2
1986-06-01,5378.3
1986-07-01,5386.6
1986-08-01,5404.3
1986-09-01,5397.2
1986-10-01,5542.8
1986-11-01,6092.3
1986-12-01,6428.1
1987-01-01,6712.7
1987-02-01,6688.4
1987-03-01,6631.5
1987-04-01,6699.8
1987-05-01,6747.4
1987-06-01,6610.4
1987-07-01,6404.9
1987-08-01,6556.1
1987-09-01,6706.3
1987-10-01,6763.8
1987-11-01,6927.3
1987-12-01,6829.4
1988-01-01,6808.1
1988-02-01,6690.1
1988-03-01,6772.9
1988-04-01,6752.6
1988-05-01,6777.6
1988-06-01,7035.8
1988-07-01,7148.8
1988-08-01,7322.7
1988-09-01,7408.5
1988-10-01,7252.7
1988-11-01,7312.4
1988-12-01,7337.4
1989-01-01,7409.6
1989-02-01,7873.7
1989-03-01,8760.5
1989-04-01,10195.9
1989-05-01,10143.7
1989-06-01,9935.5
1989-07-01,9605.2
1989-08-01,8715.6
1989-09-01,8269.7
1989-10-01,7922.4
1989-11-01,6837.3
1989-12-01,6744.1
1990-01-01,6592
1990-02-01,6156.1
1990-03-01,6270.5
1990-04-01,6390.9
1990-05-01,6324.6
1990-06-01,6096
1990-07-01,5924.4
1990-08-01,5905.2
1990-09-01,5707
1990-10-01,6061.4
1990-11-01,5981.3
1990-12-01,5615.2
1991-01-01,5610.76
1991-02-01,5582.1
1991-03-01,5515.96
1991-04-01,5557.85
1991-05-01,5698.72
1991-06-01,5709.3
1991-07-01,5673.6
1991-08-01,5647.72
1991-09-01,5575.1
1991-10-01,5550.09
1991-11-01,5514.45
1991-12-01,5515.89
1992-01-01,5483.09
1992-02-01,5612.1
1992-03-01,5637.05
1992-04-01,5836.25
1992-05-01,6113.16
1992-06-01,6632
1992-07-01,6980.5
1992-08-01,6784.21
1992-09-01,6643.33
1992-10-01,6025.91
1992-11-01,5735.71
1992-12-01,5765.81
1993-01-01,5913.1
1993-02-01,5792.75
1993-03-01,5666.3
1993-04-01,5596.5
1993-05-01,5505.47
1993-06-01,5115.45
1993-07-01,4978.55
1993-08-01,4819
1993-09-01,4510.68
1993-10-01,4687.24
1993-11-01,4643.82
1993-12-01,4781.7
1994-01-01,4950.71
1994-02-01,5442.45
1994-03-01,5405.52
1994-04-01,5383.05
1994-05-01,5493.48
1994-06-01,5497.64
1994-07-01,5300.95
1994-08-01,5173.32
1994-09-01,5318.73
1994-10-01,5479.29
1994-11-01,6139.09
1994-12-01,5935.5
1995-01-01,6187.62
1995-02-01,5431
1995-03-01,5516.3
1995-04-01,5854.44
1995-05-01,5924.52
1995-06-01,6646.82
1995-07-01,6640.75
1995-08-01,6966.14
1995-09-01,6333.75
1995-10-01,6209.55
1995-11-01,6381.67
1995-12-01,6275.79
1996-01-01,6257.14
1996-02-01,6189.29
1996-03-01,6205.25
1996-04-01,6467.25
1996-05-01,6401.9
1996-06-01,6183.75
1996-07-01,6245.52
1996-08-01,6109.52
1996-09-01,6093.71
1996-10-01,5933.09
1996-11-01,5993.86
1996-12-01,5826.24
1997-01-01,5871.14
1997-02-01,5874.32
1997-03-01,5901.32
1997-04-01,5707.59
1997-05-01,5704.85
1997-06-01,5560.29
1997-07-01,5435.78
1997-08-01,5423.3
1997-09-01,5493.48
1997-10-01,5556.52
1997-11-01,5651
1997-12-01,5506.19
1998-01-01,5200.5
1998-02-01,5236.5
1998-03-01,5468.64
1998-04-01,5707
1998-05-01,5868.16
1998-06-01,5967.86
1998-07-01,5651.19
1998-08-01,5690.26
1998-09-01,5479.77
1998-10-01,5424.5
1998-11-01,5478
1998-12-01,5262.37
1999-01-01,5103
1999-02-01,5262
1999-03-01,5292.95
1999-04-01,5381.75
1999-05-01,5643.16
1999-06-01,5262.73
1999-07-01,5210.45
1999-08-01,5224.29
1999-09-01,5336.82
1999-10-01,5425.24
1999-11-01,5835.23
1999-12-01,5719.12
2000-01-01,5926.25
2000-02-01,5669
2000-03-01,5463.8
2000-04-01,5398.05
2000-05-01,5437.96
2000-06-01,5461.18
2000-07-01,5329.76
2000-08-01,5314.35
2000-09-01,5471.81
2000-10-01,5266.45
2000-11-01,5264.82
2000-12-01,5227.4
2001-01-01,5168.5
2001-02-01,5121.25
2001-03-01,5049.64
2001-04-01,4949.78
2001-05-01,4951.79
2001-06-01,4829.9
2001-07-01,4343.59
2001-08-01,3929.45
2001-09-01,3698.37
2001-10-01,3749.17
2001-11-01,4059.32
2001-12-01,4022.47
2002-01-01,3867.95
2002-02-01,3724.61
2002-03-01,3850.75
2002-04-01,4026.48
2002-05-01,4152.82
2002-06-01,4303.33
2002-07-01,4313.78
2002-08-01,3832.24
2002-09-01,3961.76
2002-10-01,4242.09
2002-11-01,4228.95
2002-12-01,4227.19
2003-01-01,4445.27
2003-02-01,4572.3
2003-03-01,4592.67
2003-04-01,4561.25
2003-05-01,4734
2003-06-01,4678.05
2003-07-01,4733.26
2003-08-01,4802.55
2003-09-01,4907.27
2003-10-01,5227.43
2003-11-01,5363.35
2003-12-01,6058.41
2004-01-01,6432.49
2004-02-01,6662.7
2004-03-01,7602.21
2004-04-01,8909
2004-05-01,9391.63
2004-06-01,9158.64
2004-07-01,9021.91
2004-08-01,9021.43
2004-09-01,9015.68
2004-10-01,9043.21
2004-11-01,9038.65
2004-12-01,8473.71
2005-01-01,7705.65
2005-02-01,8106.32
2005-03-01,8442.24
2005-04-01,8133.81
2005-05-01,8099.25
2005-06-01,7604.36
2005-07-01,7180.93
2005-08-01,7228.14
2005-09-01,6770.58
2005-10-01,6415.48
2005-11-01,6173.72
2005-12-01,6762.5
2006-01-01,7067.36
2006-02-01,7788.86
2006-03-01,7949.02
2006-04-01,8859.66
2006-05-01,8793.17
2006-06-01,7858.77
2006-07-01,8356.44
2006-08-01,8436.68
2006-09-01,8975.02
2006-10-01,9809.5
2006-11-01,10038.41
2006-12-01,11125.95
2007-01-01,11331.45
2007-02-01,12890.2
2007-03-01,13787.25
2007-04-01,13952.84
2007-05-01,14162.14
2007-06-01,14078.83
2007-07-01,14732.73
2007-08-01,15046.98
2007-09-01,14989.05
2007-10-01,16068.35
2007-11-01,16660.77
2007-12-01,16244.72
2008-01-01,16310.93
2008-02-01,17269.81
2008-03-01,19799.08
2008-04-01,21646.02
2008-05-01,23853.6
2008-06-01,22133.43
2008-07-01,22955.63
2008-08-01,19935
2008-09-01,18306.59
2008-10-01,14423.35
2008-11-01,13674.15
2008-12-01,11292.14
2009-01-01,11563.33
2009-02-01,11074.77
2009-03-01,10689.41
2009-04-01,11830.2
2009-05-01,13871.83
2009-06-01,15009.07
