Date,Wheat、 No.1 Hard Red Winter、 ordinary protein、 FOB Gulf of Mexico、 US＄ per metric ton
1980-01-01,175.63
1980-02-01,172.7
1980-03-01,163.51
1980-04-01,156.53
1980-05-01,161.3
1980-06-01,157.63
1980-07-01,168.65
1980-08-01,171.23
1980-09-01,179.68
1980-10-01,188.13
1980-11-01,195.11
1980-12-01,182.62
1981-01-01,189.6
1981-02-01,181.51
1981-03-01,175.27
1981-04-01,180.41
1981-05-01,171.59
1981-06-01,168.65
1981-07-01,167.92
1981-08-01,170.12
1981-09-01,171.23
1981-10-01,168.65
1981-11-01,178.57
1981-12-01,176
1982-01-01,173.06
1982-02-01,170.86
1982-03-01,168.65
1982-04-01,169.76
1982-05-01,167.55
1982-06-01,155.79
1982-07-01,151.75
1982-08-01,152.49
1982-09-01,152.85
1982-10-01,146.61
1982-11-01,155.06
1982-12-01,159.83
1983-01-01,164.98
1983-02-01,164.24
1983-03-01,166.08
1983-04-01,167.18
1983-05-01,160.2
1983-06-01,151.75
1983-07-01,147.34
1983-08-01,152.49
1983-09-01,156.53
1983-10-01,152.85
1983-11-01,151.75
1983-12-01,153.59
1984-01-01,152.85
1984-02-01,150.65
1984-03-01,153.96
1984-04-01,157.26
1984-05-01,153.96
1984-06-01,149.91
1984-07-01,146.97
1984-08-01,152.49
1984-09-01,155.06
1984-10-01,152.85
1984-11-01,152.49
1984-12-01,149.55
1985-01-01,149.18
1985-02-01,147.34
1985-03-01,145.14
1985-04-01,143.67
1985-05-01,136.32
1985-06-01,134.11
1985-07-01,128.6
1985-08-01,123.09
1985-09-01,125.3
1985-10-01,127.5
1985-11-01,132.64
1985-12-01,137.05
1986-01-01,132.28
1986-02-01,129.71
1986-03-01,134.48
1986-04-01,132.64
1986-05-01,119.42
1986-06-01,105.82
1986-07-01,101.78
1986-08-01,102.15
1986-09-01,103.62
1986-10-01,104.72
1986-11-01,105.09
1986-12-01,107.29
1987-01-01,109.13
1987-02-01,112.07
1987-03-01,115.38
1987-04-01,113.17
1987-05-01,119.05
1987-06-01,108.76
1987-07-01,104.72
1987-08-01,106.92
1987-09-01,112.07
1987-10-01,113.91
1987-11-01,115.01
1987-12-01,124.56
1988-01-01,128.6
1988-02-01,131.54
1988-03-01,124.93
1988-04-01,126.77
1988-05-01,128.97
1988-06-01,149.91
1988-07-01,149.55
1988-08-01,149.91
1988-09-01,159.47
1988-10-01,162.04
1988-11-01,163.88
1988-12-01,166.82
1989-01-01,173.8
1989-02-01,172.06
1989-03-01,178.21
1989-04-01,174.53
1989-05-01,176.37
1989-06-01,168.65
1989-07-01,166.82
1989-08-01,164.24
1989-09-01,163.51
1989-10-01,164.61
1989-11-01,163.51
1989-12-01,164.61
1990-01-01,167.92
1990-02-01,160.94
1990-03-01,156.53
1990-04-01,159.47
1990-05-01,149.18
1990-06-01,135.58
1990-07-01,124.93
1990-08-01,116.84
1990-09-01,114.27
1990-10-01,114.64
1990-11-01,112.8
1990-12-01,113.17
1991-01-01,111.33
1991-02-01,113.91
1991-03-01,119.42
1991-04-01,120.89
1991-05-01,122.04
1991-06-01,120.15
1991-07-01,118.21
1991-08-01,125.33
1991-09-01,135.37
1991-10-01,146.89
1991-11-01,149.54
1991-12-01,160.84
1992-01-01,169.95
1992-02-01,177.13
1992-03-01,169.35
1992-04-01,159.93
1992-05-01,149.69
1992-06-01,148.67
1992-07-01,136.32
1992-08-01,128.17
1992-09-01,138.74
1992-10-01,140.58
1992-11-01,147.57
1992-12-01,147.83
1993-01-01,155.65
1993-02-01,148.88
1993-03-01,147.9
1993-04-01,141.99
1993-05-01,136.58
1993-06-01,121.82
1993-07-01,127.52
1993-08-01,129.8
1993-09-01,131.29
1993-10-01,135.96
