Date,Wool、 fine、 19 micron、 Australian Wool Exchange spot quote、 US cents per kilogram
1980-01-01,684.28
1980-02-01,722.57
1980-03-01,695.96
1980-04-01,688.13
1980-05-01,720.76
1980-06-01,737.26
1980-07-01,736.9
1980-08-01,727.38
1980-09-01,728.83
1980-10-01,715.58
1980-11-01,735.93
1980-12-01,736.05
1981-01-01,758.69
1981-02-01,740.99
1981-03-01,719.44
1981-04-01,721.24
1981-05-01,737.38
1981-06-01,756.52
1981-07-01,745.32
1981-08-01,733.76
1981-09-01,738.46
1981-10-01,736.65
1981-11-01,737.5
1981-12-01,725.22
1982-01-01,722.45
1982-02-01,720.44
1982-03-01,733.6
1982-04-01,662.93
1982-05-01,763.87
1982-06-01,746.67
1982-07-01,712.59
1982-08-01,655.02
1982-09-01,660.2
1982-10-01,633.59
1982-11-01,627.08
1982-12-01,635.63
1983-01-01,668.87
1983-02-01,656.7
1983-03-01,631.9
1983-04-01,610.83
1983-05-01,632.98
1983-06-01,631.06
1983-07-01,644.3
1983-08-01,647.55
1983-09-01,655.14
1983-10-01,674.4
1983-11-01,676.21
1983-12-01,670.43
1984-01-01,683.43
1984-02-01,703.42
1984-03-01,708.48
1984-04-01,714.5
1984-05-01,706.19
1984-06-01,694.15
1984-07-01,658.15
1984-08-01,648.4
1984-09-01,630.82
1984-10-01,634.19
1984-11-01,658.15
1984-12-01,636.11
1985-01-01,640.33
1985-02-01,601.8
1985-03-01,611.07
1985-04-01,634.31
1985-05-01,625.76
1985-06-01,596.86
1985-07-01,604.09
1985-08-01,587.11
1985-09-01,583.13
1985-10-01,579.16
1985-11-01,551.47
1985-12-01,541.83
1986-01-01,569.53
1986-02-01,564.71
1986-03-01,572.06
1986-04-01,578.56
1986-05-01,595.78
1986-06-01,567.84
1986-07-01,534.25
1986-08-01,519.08
1986-09-01,531.96
1986-10-01,551.83
1986-11-01,560.62
1986-12-01,579.52
1987-01-01,593.13
1987-02-01,626.72
1987-03-01,715.1
1987-04-01,832.38
1987-05-01,837.2
1987-06-01,879.46
1987-07-01,881.99
1987-08-01,1044.9
1987-09-01,924.73
1987-10-01,987.95
1987-11-01,966.15
1987-12-01,1016.72
1988-01-01,1107.27
1988-02-01,1296.67
1988-03-01,1379.75
1988-04-01,1543.03
1988-05-01,1570.12
1988-06-01,1538.81
1988-07-01,1484.63
1988-08-01,1451.27
1988-09-01,1414.91
1988-10-01,1456.93
1988-11-01,1319.19
1988-12-01,1267.89
1989-01-01,1349.77
1989-02-01,1240.2
1989-03-01,1189.51
1989-04-01,1117.87
1989-05-01,1080.06
1989-06-01,1054.77
1989-07-01,1019.47
1989-08-01,1049.96
1989-09-01,1060.79
1989-10-01,1070.42
1989-11-01,1075.24
1989-12-01,1080.06
1990-01-01,1074.04
1990-02-01,1062
1990-03-01,1064.4
1990-04-01,1071.63
1990-05-01,1057.18
1990-06-01,898.24
1990-07-01,895.83
1990-08-01,951.22
1990-09-01,936.77
1990-10-01,901.85
1990-11-01,888.61
1990-12-01,870.55
1991-01-01,887.41
1991-02-01,596.02
1991-03-01,586.39
1991-04-01,596.02
1991-05-01,721
1991-06-01,777.51
1991-07-01,723.48
1991-08-01,680.64
1991-09-01,613.45
1991-10-01,558.18
1991-11-01,641.49
1991-12-01,652.19
1992-01-01,619.37
1992-02-01,655.83
1992-03-01,667.93
1992-04-01,667.7
1992-05-01,663.07
1992-06-01,633.89
1992-07-01,595.28
1992-08-01,568.94
1992-09-01,572.72
1992-10-01,535.26
1992-11-01,508.04
1992-12-01,512.94
1993-01-01,495.22
1993-02-01,469.37
1993-03-01,469.37
1993-04-01,429.69
1993-05-01,468.13
1993-06-01,470.06
1993-07-01,464.93
1993-08-01,450.74
1993-09-01,423.51
1993-10-01,454.84
1993-11-01,497.77
1993-12-01,465.45
1994-01-01,542.31
1994-02-01,606.03
1994-03-01,609.58
1994-04-01,645.79
1994-05-01,719.63
1994-06-01,779.41
1994-07-01,773.5
1994-08-01,806.82
1994-09-01,876.1
1994-10-01,824.64
1994-11-01,881.7
1994-12-01,878.41
1995-01-01,904.18
1995-02-01,892.34
1995-03-01,887.13
1995-04-01,867.85
1995-05-01,839.28
1995-06-01,826.06
1995-07-01,751.11
1995-08-01,789.25
1995-09-01,732.98
1995-10-01,622.07
1995-11-01,600.95
1995-12-01,590.53
1996-01-01,584.39
1996-02-01,525.31
1996-03-01,573.83
1996-04-01,597.67
1996-05-01,743.54
1996-06-01,701.36
