Date,Long:AUSTRALIAN DOLLAR,Short:AUSTRALIAN DOLLAR,Net:AUSTRALIAN DOLLAR
2011-01-04,75056,12543,62513
2011-01-11,64837,11340,53497
2011-01-18,63811,10303,53508
2011-01-25,59185,13727,45458
2011-02-01,71144,11067,60077
2011-02-08,85741,13762,71979
2011-02-15,70847,5333,65514
2011-02-22,72726,6662,66064
2011-03-01,80398,8545,71853
2011-03-08,80756,7061,73695
2011-03-15,56352,8401,47951
2011-03-22,59626,7892,51734
2011-03-29,91791,6226,85565
2011-04-05,99390,8452,90938
2011-04-12,97153,6502,90651
2011-04-19,91589,6628,84961
2011-04-26,88675,7808,80867
2011-05-03,87326,13905,73421
2011-05-10,72871,12550,60321
2011-05-17,61179,10260,50919
2011-05-24,63002,9959,53043
2011-05-31,72030,12015,60015
2011-06-07,78547,13342,65205
2011-06-14,79616,11946,67670
2011-06-21,66796,12225,54571
2011-06-28,58957,12060,46897
2011-07-05,82079,18743,63336
2011-07-12,81258,13635,67623
2011-07-19,90221,12426,77795
2011-07-26,92174,10736,81438
2011-08-02,91352,15754,75598
2011-08-09,40840,11824,29016
2011-08-16,41286,11563,29723
2011-08-23,50917,7343,43574
2011-08-30,60605,13036,47569
2011-09-06,62247,14206,48041
2011-09-13,50014,13080,36934
2011-09-20,39049,15954,23095
2011-09-27,29422,24255,5167
2011-10-04,35937,23026,12911
2011-10-11,37196,26443,10753
2011-10-18,41395,21042,20353
2011-10-25,45831,22760,23071
2011-11-01,56797,30931,25866
2011-11-08,64485,37469,27016
2011-11-15,57352,33022,24330
2011-11-22,43450,25490,17960
2011-11-29,34307,21765,12542
2011-12-06,53653,23829,29824
2011-12-13,60132,25703,34429
2011-12-20,52047,26305,25742
2011-12-27,60302,27665,32637
2012-01-03,70268,23731,46537
2012-01-10,78721,25195,53526
2012-01-17,83346,29040,54306
2012-01-24,90943,21457,69486
2012-01-31,97471,19427,78044
2012-02-07,94332,19237,75095
2012-02-14,93866,20125,73741
2012-02-21,92233,17533,74700
2012-02-28,103665,25464,78201
2012-03-06,96358,34638,61720
2012-03-13,98469,31713,66756
2012-03-20,97025,51834,45191
2012-03-27,91615,32041,59574
2012-04-03,85990,36671,49319
2012-04-10,79806,40377,39429
2012-04-17,83830,35409,48421
2012-04-24,80597,34556,46041
2012-05-01,88649,36369,52280
2012-05-08,72145,47041,25104
2012-05-15,51066,46332,4734
2012-05-22,29999,46897,-16898
2012-05-29,14788,50315,-35527
2012-06-05,12579,63751,-51172
2012-06-12,21189,66648,-45459
2012-06-19,41121,44579,-3458
2012-06-26,40023,42182,-2159
2012-07-03,50125,40777,9348
2012-07-10,54718,35653,19065
2012-07-17,50981,37050,13931
2012-07-24,66740,40297,26443
2012-07-31,79895,42660,37235
2012-08-07,94635,41741,52894
2012-08-14,109875,43196,66679
2012-08-21,127500,40618,86882
2012-08-28,124137,46065,78072
2012-09-04,111869,49430,62439
2012-09-11,107537,39278,68259
2012-09-18,117009,47763,69246
2012-09-25,119144,29582,89562
2012-10-02,98600,34857,63743
2012-10-09,78524,38710,39814
2012-10-16,77802,39358,38444
2012-10-23,83602,37951,45651
2012-10-30,91030,38940,52090
2012-11-06,98037,37720,60317
2012-11-13,105833,37687,68146
2012-11-20,104617,39906,64711
2012-11-27,122186,45380,76806
2012-12-04,136218,43989,92229
2012-12-11,139540,36164,103376
2012-12-18,144966,47470,97496
2012-12-24,116141,40708,75433
2012-12-31,117354,37832,79522
2013-01-08,122343,42028,80315
2013-01-15,137090,48033,89057
2013-01-22,143776,46765,97011
2013-01-29,124520,39224,85296
2013-02-05,122609,41669,80940
2013-02-12,99758,45644,54114
2013-02-19,87921,43940,43981
2013-02-26,79140,53445,25695
2013-03-05,61315,54166,7149
2013-03-12,77746,54480,23266
2013-03-19,100998,46943,54055
2013-03-26,141086,55571,85515
2013-04-02,135540,51569,83971
2013-04-09,117540,39661,77879
2013-04-16,98834,45659,53175
2013-04-23,82715,51458,31257
2013-04-30,81303,51069,30234
2013-05-07,61501,54871,6630
2013-05-14,61654,75104,-13450
2013-05-21,50036,82445,-32409
2013-05-28,42213,84520,-42307
2013-06-04,32853,91403,-58550
2013-06-11,24482,87759,-63277
2013-06-18,28769,92290,-63521
2013-06-25,21403,83047,-61644
2013-07-02,21521,92036,-70515
2013-07-09,20955,84210,-63255
2013-07-16,19222,89908,-70686
