Date,Long:BRITISH POUND STERLING,Short:BRITISH POUND STERLING,Net:BRITISH POUND STERLING
2010-01-05,18031,51595,-33564
2010-01-12,15182,50649,-35467
2010-01-19,21199,41370,-20171
2010-01-26,15075,42228,-27153
2010-02-02,14611,48579,-33968
2010-02-09,14012,66768,-52756
2010-02-16,13922,70001,-56079
2010-02-23,13882,76766,-62884
2010-03-02,13862,81411,-67549
2010-03-09,10417,73890,-63473
2010-03-16,11731,75718,-63987
2010-03-23,11349,82973,-71624
2010-03-30,11965,79038,-67073
2010-04-06,14281,73755,-59474
2010-04-13,13390,70781,-57391
2010-04-20,14258,63556,-49298
2010-04-27,11634,66300,-54666
2010-05-04,13062,78678,-65616
2010-05-11,10269,82457,-72188
2010-05-18,10492,87237,-76745
2010-05-25,10962,86041,-75079
2010-06-01,11809,82263,-70454
2010-06-08,14146,88826,-74680
2010-06-15,13081,61215,-48134
2010-06-22,15921,62267,-46346
2010-06-29,17626,52397,-34771
2010-07-06,18442,56519,-38077
2010-07-13,15501,50172,-34671
2010-07-20,16448,43215,-26767
2010-07-27,17107,35047,-17940
2010-08-03,31058,31308,-250
2010-08-10,35915,30894,5021
2010-08-17,31467,35898,-4431
2010-08-24,28511,32876,-4365
2010-08-31,23052,38318,-15266
2010-09-07,21363,37431,-16068
2010-09-14,21108,30235,-9127
2010-09-21,17858,26847,-8989
2010-09-28,26725,28919,-2194
2010-10-05,37064,27661,9403
2010-10-12,39870,31804,8066
2010-10-19,34708,28912,5796
2010-10-26,33001,27912,5089
2010-11-02,39900,24718,15182
2010-11-09,41915,20649,21266
2010-11-16,45677,21906,23771
2010-11-23,35839,25642,10197
2010-11-30,24409,29273,-4864
2010-12-07,14242,27162,-12920
2010-12-14,12205,20391,-8186
2010-12-21,14579,22011,-7432
2010-12-28,18294,31415,-13121
2011-01-04,17494,31627,-14133
2011-01-11,21014,26104,-5090
2011-01-18,31415,25621,5794
2011-01-25,36028,28140,7888
2011-02-01,46923,24264,22659
2011-02-08,49204,24729,24475
2011-02-15,68885,16313,52572
2011-02-22,53097,17088,36009
2011-03-01,52122,26313,25809
2011-03-08,54967,21061,33906
2011-03-15,28580,28805,-225
2011-03-22,53348,23624,29724
2011-03-29,30077,29334,743
2011-04-05,53796,21382,32414
2011-04-12,53423,26752,26671
2011-04-19,50572,20397,30175
2011-04-26,56867,23284,33583
2011-05-03,59735,28928,30807
2011-05-10,41368,23250,18118
2011-05-17,30327,31255,-928
2011-05-24,28090,42233,-14143
2011-05-31,32284,34113,-1829
2011-06-07,33554,35304,-1750
2011-06-14,36684,25458,11226
2011-06-21,26763,38123,-11360
2011-06-28,27928,46277,-18349
2011-07-05,28634,60303,-31669
2011-07-12,27687,52488,-24801
2011-07-19,26011,32725,-6714
2011-07-26,33312,32090,1222
2011-08-02,43266,38127,5139
2011-08-09,41290,41045,245
2011-08-16,36193,39289,-3096
2011-08-23,40888,29927,10961
2011-08-30,31248,30804,444
2011-09-06,30543,43763,-13220
2011-09-13,33969,60162,-26193
2011-09-20,14106,73861,-59755
2011-09-27,14288,78298,-64010
2011-10-04,14929,83653,-68724
2011-10-11,15391,77363,-61972
2011-10-18,16946,70172,-53226
2011-10-25,18917,69064,-50147
2011-11-01,24396,71488,-47092
2011-11-08,22607,51729,-29122
2011-11-15,23355,56219,-32864
2011-11-22,20691,57325,-36634
2011-11-29,23503,70163,-46660
2011-12-06,26311,69871,-43560
2011-12-13,23782,63291,-39509
2011-12-20,26533,52472,-25939
2011-12-27,25465,54637,-29172
2012-01-03,27832,59731,-31899
2012-01-10,24044,59897,-35853
2012-01-17,23373,65007,-41634
2012-01-24,16103,47464,-31361
2012-01-31,23698,49912,-26214
2012-02-07,28161,61283,-33122
2012-02-14,29309,69908,-40599
2012-02-21,27617,58967,-31350
2012-02-28,26931,50166,-23235
2012-03-06,22308,59407,-37099
2012-03-13,21924,63772,-41848
2012-03-20,25951,41803,-15852
2012-03-27,26609,37719,-11110
2012-04-03,29262,38069,-8807
2012-04-10,29777,48561,-18784
2012-04-17,33221,46272,-13051
2012-04-24,47435,39899,7536
2012-05-01,53121,36628,16493
2012-05-08,59697,34358,25339
2012-05-15,57471,32450,25021
2012-05-22,40842,29502,11340
2012-05-29,36052,34577,1475
2012-06-05,39042,41909,-2867
2012-06-12,28017,51129,-23112
2012-06-19,32248,49401,-17153
2012-06-26,35296,36054,-758
2012-07-03,32208,37561,-5353
2012-07-10,32804,40426,-7622
2012-07-17,33896,41349,-7453
2012-07-24,29332,32266,-2934
2012-07-31,31304,33114,-1810
2012-08-07,25764,34039,-8275
2012-08-14,32054,32342,-288
2012-08-21,45984,38151,7833
2012-08-28,42407,40439,1968
2012-09-04,41834,48702,-6868
2012-09-11,49312,53678,-4366
2012-09-18,52597,38185,14412
2012-09-25,60809,33672,27137
2012-10-02,64726,34632,30094
2012-10-09,54190,31618,22572
2012-10-16,54010,34411,19599
2012-10-23,54879,36482,18397
2012-10-30,57897,34494,23403
2012-11-06,57208,37929,19279
2012-11-13,45799,37571,8228
2012-11-20,46546,45816,730
2012-11-27,51107,40829,10278
2012-12-04,66050,38780,27270
2012-12-11,64753,36799,27954
2012-12-18,79375,51339,28036
2012-12-24,74466,37145,37321
2012-12-31,69146,32838,36308
2013-01-08,60523,34574,25949
2013-01-15,63796,35458,28338
2013-01-22,60201,42263,17938
2013-01-29,57989,47367,10622
2013-02-05,51959,50785,1174
2013-02-12,38661,55437,-16776
2013-02-19,40668,64033,-23365
2013-02-26,31126,67256,-36130
2013-03-05,36021,79870,-43849
2013-03-12,28833,78633,-49800
2013-03-19,39048,100528,-61480
2013-03-26,38184,104739,-66555
2013-04-02,31815,96835,-65020
2013-04-09,27104,97073,-69969
2013-04-16,34020,95995,-61975
2013-04-23,33989,94101,-60112
2013-04-30,31078,89685,-58607
2013-05-07,31542,94628,-63086
2013-05-14,36975,102330,-65355
2013-05-21,33380,110356,-76976
2013-05-28,36221,110746,-74525
2013-06-04,26666,104404,-77738
2013-06-11,32755,86442,-53687
