Date,Long:EURO FX,Short:EURO FX,Net:EURO FX
2010-01-05,37229,73017,-35788
2010-01-12,36186,54103,-17917
2010-01-19,34186,59468,-25282
2010-01-26,33106,72645,-39539
2010-02-02,31207,74948,-43741
2010-02-09,34867,92019,-57152
2010-02-16,34459,93881,-59422
2010-02-23,32728,104351,-71623
2010-03-02,35894,102664,-66770
2010-03-09,32589,107140,-74551
2010-03-16,41800,88141,-46341
2010-03-23,39953,114870,-74917
2010-03-30,35205,120531,-85326
2010-04-06,39036,106259,-67223
2010-04-13,37157,92621,-55464
2010-04-20,33614,105038,-71424
2010-04-27,34462,123475,-89013
2010-05-04,36675,140077,-103402
2010-05-11,39584,153474,-113890
2010-05-18,54411,161554,-107143
2010-05-25,45630,152366,-106736
2010-06-01,45006,138331,-93325
2010-06-08,45938,157883,-111945
2010-06-15,49526,111886,-62360
2010-06-22,41013,111987,-70974
2010-06-29,43357,117027,-73670
2010-07-06,56316,95225,-38909
2010-07-13,56187,83237,-27050
2010-07-20,55008,79259,-24251
2010-07-27,56622,77961,-21339
2010-08-03,60410,67707,-7297
2010-08-10,55797,59528,-3731
2010-08-17,61324,75951,-14627
2010-08-24,54591,76194,-21603
2010-08-31,51099,76668,-25569
2010-09-07,53156,76855,-23699
2010-09-14,54543,64187,-9644
2010-09-21,52300,47203,5097
2010-09-28,70638,35308,35330
2010-10-05,72979,24736,48243
2010-10-12,68718,27207,41511
2010-10-19,74855,28107,46748
2010-10-26,70109,29604,40505
2010-11-02,70185,31575,38610
2010-11-09,61477,38194,23283
2010-11-16,54708,46102,8606
2010-11-23,43670,51963,-8293
2010-11-30,47264,54512,-7248
2010-12-07,32322,47612,-15290
2010-12-14,35689,45993,-10304
2010-12-21,38604,52697,-14093
2010-12-28,33833,60312,-26479
2011-01-04,37102,61303,-24201
2011-01-11,42359,87541,-45182
2011-01-18,67309,63200,4109
2011-01-25,73488,50587,22901
2011-02-01,80381,40447,39934
2011-02-08,73502,38768,34734
2011-02-15,63395,30931,32464
2011-02-22,77454,31856,45598
2011-03-01,83104,31796,51308
2011-03-08,98171,35877,62294
2011-03-15,86506,40190,46316
2011-03-22,81574,33221,48353
2011-03-29,93031,36401,56630
2011-04-05,99405,39548,59857
2011-04-12,105425,40440,64985
2011-04-19,102686,40491,62195
2011-04-26,105683,37404,68279
2011-05-03,128460,28944,99516
2011-05-10,98054,36607,61447
2011-05-17,89941,48296,41645
2011-05-24,75182,56053,19129
2011-05-31,80494,58524,21970
2011-06-07,96555,44719,51836
2011-06-14,84580,34686,49894
2011-06-21,72153,42382,29771
2011-06-28,68800,35813,32987
2011-07-05,81860,38666,43194
2011-07-12,61392,48976,12416
2011-07-19,58580,49334,9246
2011-07-26,60177,43139,17038
2011-08-02,58313,56550,1763
2011-08-09,49029,57302,-8273
2011-08-16,47094,40368,6726
2011-08-23,47711,45172,2539
2011-08-30,43894,44278,-384
2011-09-06,33167,69610,-36443
2011-09-13,25704,80163,-54459
2011-09-20,19920,99380,-79460
2011-09-27,19705,102178,-82473
2011-10-04,18104,100801,-82697
2011-10-11,17040,90835,-73795
2011-10-18,20977,98697,-77720
2011-10-25,21323,97835,-76512
2011-11-01,26311,86371,-60060
2011-11-08,27943,82200,-54257
2011-11-15,24048,100195,-76147
2011-11-22,25943,111011,-85068
2011-11-29,27620,131922,-104302
2011-12-06,34521,130335,-95814
2011-12-13,35507,151964,-116457
2011-12-20,49557,163254,-113697
2011-12-27,45183,173062,-127879
2012-01-03,40441,179350,-138909
2012-01-10,29770,184965,-155195
2012-01-17,28396,188426,-160030
2012-01-24,31299,202646,-171347
2012-01-31,31906,189452,-157546
2012-02-07,32128,172721,-140593
2012-02-14,26774,175415,-148641
2012-02-21,29369,171528,-142159
2012-02-28,35728,145402,-109674
2012-03-06,39943,156416,-116473
2012-03-13,40325,139661,-99336
2012-03-20,50416,133370,-82954
2012-03-27,34033,123162,-89129
2012-04-03,39835,119315,-79480
2012-04-10,39253,140617,-101364
2012-04-17,40310,158435,-118125
2012-04-24,36289,149656,-113367
2012-05-01,34957,141947,-106990
2012-05-08,36022,180006,-143984
2012-05-15,38475,212344,-173869
2012-05-22,34714,230075,-195361
2012-05-29,40287,243702,-203415
2012-06-05,36651,251069,-214418
2012-06-12,39245,234432,-195187
2012-06-19,54449,195515,-141066
2012-06-26,36933,196813,-159880
2012-07-03,32236,178413,-146177
2012-07-10,36409,202114,-165705
2012-07-17,31821,199070,-167249
2012-07-24,39501,194567,-155066
2012-07-31,41327,180321,-138994
2012-08-07,46742,178453,-131711
2012-08-14,43152,180962,-137810
2012-08-21,45986,169918,-123932
2012-08-28,45927,147488,-101561
2012-09-04,46580,148886,-102306
2012-09-11,43180,136838,-93658
2012-09-18,48817,122299,-73482
2012-09-25,53345,103583,-50238
2012-10-02,48335,98600,-50265
2012-10-09,39946,112516,-72570
2012-10-16,42041,95536,-53495
2012-10-23,38171,93390,-55219
2012-10-30,38189,96393,-58204
2012-11-06,45212,112353,-67141
2012-11-13,39863,123509,-83646
2012-11-20,36692,128092,-91400
2012-11-27,35799,102492,-66693
2012-12-04,48300,81095,-32795
2012-12-11,51536,83159,-31623
2012-12-18,69460,79196,-9736
2012-12-24,75072,77621,-2549
2012-12-31,81932,76806,5126
2013-01-08,66329,74364,-8035
2013-01-15,80174,72859,7315
2013-01-22,83840,62459,21381
2013-01-29,93791,66319,27472
2013-02-05,97397,59445,37952
2013-02-12,87135,62954,24181
2013-02-19,81014,61911,19103
2013-02-26,74832,84226,-9394
2013-03-05,63355,89471,-26116
2013-03-12,57473,82260,-24787
2013-03-19,48958,93842,-44884
2013-03-26,41260,90355,-49095
2013-04-02,44459,110160,-65701
2013-04-09,35343,86201,-50858
2013-04-16,49321,79085,-29764
2013-04-23,47807,82082,-34275
2013-04-30,56771,86920,-30149
2013-05-07,52517,86050,-33533
2013-05-14,52843,99764,-46921
2013-05-21,43037,123986,-80949
2013-05-28,36916,121560,-84644
2013-06-04,43804,95425,-51621
2013-06-11,68956,76489,-7533
2013-06-18,91304,71274,20030
2013-06-25,87192,69835,17357
2013-07-02,59270,75360,-16090
2013-07-09,52159,93059,-40900
2013-07-16,53228,90393,-37165
2013-07-23,63130,91030,-27900
2013-07-30,78211,86715,-8504
2013-08-06,85239,79178,6061
2013-08-13,89984,73927,16057
2013-08-20,113092,76346,36746
2013-08-27,113592,73511,40081
2013-09-03,98589,75851,22738
2013-09-10,82772,70076,12696
2013-09-17,100963,69056,31907
2013-09-24,129862,64018,65844
2013-10-01,128580,60304,68276
2013-10-08,127301,58618,68683
2013-10-15,121327,60953,60374
2013-10-22,137061,64627,72434
2013-10-29,136054,65437,70617
2013-11-05,103333,70190,33143
2013-11-12,86121,69295,16826
2013-11-19,81070,72159,8911
2013-11-26,74118,74549,-431
2013-12-03,82230,72918,9312
2013-12-10,91669,75739,15930
2013-12-17,97780,69857,27923
2013-12-24,102462,70290,32172
2013-12-31,101916,71327,30589
2014-01-07,88119,73621,14498
2014-01-14,87059,77813,9246
2014-01-21,79321,83093,-3772
2014-01-28,86963,72616,14347
2014-02-04,67614,81224,-13610
2014-02-11,75048,81977,-6929
2014-02-18,88634,80035,8599
2014-02-25,93003,79103,13900
2014-03-04,103868,80416,23452
2014-03-11,110103,73718,36385
2014-03-18,117819,64828,52991
2014-03-25,106914,67280,39634
2014-04-01,101849,68611,33238
2014-04-08,92635,69335,23300
2014-04-15,106252,78564,27688
2014-04-22,101204,75430,25774
2014-04-29,102285,76551,25734
2014-05-06,110673,78122,32551
2014-05-13,84383,86558,-2175
2014-05-20,75013,84233,-9220
2014-05-27,70753,87386,-16633
2014-06-03,57109,90134,-33025
2014-06-10,43739,100924,-57185
2014-06-17,51405,113240,-61835
2014-06-24,55062,112565,-57503
2014-07-01,52665,113441,-60776
2014-07-08,51595,110860,-59265
2014-07-15,59506,122352,-62846
2014-07-22,58142,146965,-88823
2014-07-29,56562,164637,-108075
2014-08-05,55179,183926,-128747
2014-08-12,51596,177613,-126017
2014-08-19,56774,195599,-138825
2014-08-26,53989,204646,-150657
2014-09-02,59398,220821,-161423
2014-09-09,59376,216881,-157505
2014-09-16,79552,216701,-137149
2014-09-23,60654,202619,-141965
2014-09-30,67030,204555,-137525
2014-10-07,61467,207679,-146212
2014-10-14,60158,215500,-155342
2014-10-21,60188,219559,-159371
2014-10-28,59054,224761,-165707
2014-11-04,59566,238587,-179021
2014-11-11,60454,224347,-163893
2014-11-18,58048,226778,-168730
2014-11-25,57982,223062,-165080
2014-12-02,57272,216551,-159279
2014-12-09,58306,195218,-136912
2014-12-16,56179,182834,-126655
2014-12-23,40690,187294,-146604
2014-12-30,43202,195421,-152219
2015-01-06,46016,207056,-161040
2015-01-13,50858,218709,-167851
2015-01-20,52047,232777,-180730
2015-01-27,50489,235234,-184745
2015-02-03,47719,244028,-196309
2015-02-10,47217,241858,-194641
2015-02-17,47175,232757,-185582
2015-02-24,45511,223247,-177736
2015-03-03,48467,220856,-172389
2015-03-10,61271,242344,-181073
2015-03-17,56329,250103,-193774
2015-03-24,50148,271111,-220963
2015-03-31,41709,268269,-226560
2015-04-07,39444,254702,-215258
2015-04-14,45264,257611,-212347
2015-04-21,46821,261466,-214645
2015-04-28,50734,248500,-197766
2015-05-05,50116,240243,-190127
2015-05-12,43333,222309,-178976
2015-05-19,38758,207097,-168339
