Date,Long:GOLD,Short:GOLD,Net:GOLD
2010-01-05,263008,35241,227767
2010-01-12,271260,41918,229342
2010-01-19,261276,39807,221469
2010-01-26,246223,34299,211924
2010-02-02,246048,35879,210169
2010-02-09,222775,41256,181519
2010-02-16,224715,35857,188858
2010-02-23,233106,32484,200622
2010-03-02,239765,32393,207372
2010-03-09,240868,32674,208194
2010-03-16,239065,38719,200346
2010-03-23,221472,37600,183872
2010-03-30,209874,36108,173766
2010-04-06,242302,38856,203446
2010-04-13,262599,41857,220742
2010-04-20,251244,40593,210651
2010-04-27,263472,37804,225668
2010-05-04,271511,40964,230547
2010-05-11,282375,46550,235825
2010-05-18,281985,50315,231670
2010-05-25,271184,43493,227691
2010-06-01,266569,42023,224546
2010-06-08,270729,43331,227398
2010-06-15,273657,43406,230251
2010-06-22,283920,45286,238634
2010-06-29,279992,35267,244725
2010-07-06,251273,42231,209042
2010-07-13,243867,38946,204921
2010-07-20,227963,49656,178307
2010-07-27,228251,39350,188901
2010-08-03,222704,37189,185515
2010-08-10,224485,33798,190687
2010-08-17,240954,36726,204228
2010-08-24,256244,35053,221191
2010-08-31,272509,34432,238077
2010-09-07,275367,35670,239697
2010-09-14,286237,41976,244261
2010-09-21,286568,42555,244013
2010-09-28,297272,39623,257649
2010-10-05,300571,40951,259620
2010-10-12,304564,48690,255874
2010-10-19,299275,49523,249752
2010-10-26,283153,44067,239086
2010-11-02,282707,52479,230228
2010-11-09,298005,51826,246179
2010-11-16,267157,48678,218479
2010-11-23,261969,40640,221329
2010-11-30,265824,38217,227607
2010-12-07,269504,36753,232751
2010-12-14,259917,39722,220195
2010-12-21,251722,45298,206424
2010-12-28,258145,42357,215788
2011-01-04,250305,47987,202318
2011-01-11,234333,56961,177372
2011-01-18,237404,72411,164993
2011-01-25,232725,72136,160589
2011-02-01,212265,61071,151194
2011-02-08,226799,59706,167093
2011-02-15,230943,58099,172844
2011-02-22,246967,66543,180424
2011-03-01,257754,60501,197253
2011-03-08,253434,62494,190940
2011-03-15,240661,66090,174571
2011-03-22,231512,56675,174837
2011-03-29,242343,49222,193121
2011-04-05,259792,55086,204706
2011-04-12,261335,59590,201745
2011-04-19,274208,59282,214926
2011-04-26,260607,59341,201266
2011-05-03,259440,66784,192656
2011-05-10,240975,64636,176339
2011-05-17,227421,62818,164603
2011-05-24,240461,68067,172394
2011-05-31,247185,55411,191774
2011-06-07,251837,53129,198708
2011-06-14,247713,56018,191695
2011-06-21,262254,59027,203227
2011-06-28,225982,60080,165902
2011-07-05,219889,62114,157775
2011-07-12,262515,64918,197597
2011-07-19,277492,58195,219297
2011-07-26,278473,42856,235617
2011-08-02,291974,44799,247175
2011-08-09,259388,55815,203573
2011-08-16,263954,63868,200086
2011-08-23,258641,70960,187681
2011-08-30,237230,60283,176947
2011-09-06,248457,64086,184371
2011-09-13,235395,66548,168847
2011-09-20,212809,62280,150529
2011-09-27,181723,53922,127801
2011-10-04,180635,47479,133156
2011-10-11,179125,44623,134502
2011-10-18,175224,48246,126978
2011-10-25,182146,52425,129721
2011-11-01,183149,43204,139945
2011-11-08,200186,44479,155707
2011-11-15,205417,46203,159214
2011-11-22,194066,33096,160970
2011-11-29,186031,31238,154793
2011-12-06,192752,33041,159711
2011-12-13,184468,33965,150503
2011-12-20,172973,39037,133936
2011-12-27,167413,36625,130788
2012-01-03,169339,38368,130971
2012-01-10,166262,33502,132760
2012-01-17,167373,31344,136029
2012-01-24,173479,31256,142223
2012-01-31,197478,26119,171359
2012-02-07,207620,30113,177507
2012-02-14,200332,32912,167420
2012-02-21,214343,33382,180961
2012-02-28,231050,37830,193220
2012-03-06,198112,34847,163265
2012-03-13,190477,39571,150906
2012-03-20,175009,43546,131463
2012-03-27,182369,34548,147821
2012-04-03,175592,33827,141765
2012-04-10,170996,34343,136653
2012-04-17,168700,26695,142005
2012-04-24,165003,30009,134994
2012-05-01,169568,29175,140393
2012-05-08,166130,42827,123303
2012-05-15,164051,49909,114142
2012-05-22,169551,54400,115151
2012-05-29,167439,56727,110712
2012-06-05,183962,55098,128864
2012-06-12,181259,48944,132315
2012-06-19,184393,47989,136404
2012-06-26,174589,51970,122619
2012-07-03,187263,50048,137215
2012-07-10,182156,55921,126235
2012-07-17,180474,51515,128959
2012-07-24,166085,53108,112977
2012-07-31,171331,45267,126064
2012-08-07,163082,47582,115500
2012-08-14,161435,47131,114304
2012-08-21,170780,40096,130684
2012-08-28,194680,36189,158491
2012-09-04,204945,34481,170464
2012-09-11,214403,32387,182016
2012-09-18,224988,33873,191115
2012-09-25,233994,30098,203896
2012-10-02,239434,31108,208326
2012-10-09,247401,35452,211949
2012-10-16,232988,38968,194020
2012-10-23,222095,40052,182043
2012-10-30,207532,37310,170222
2012-11-06,196504,36331,160173
2012-11-13,207847,36253,171594
2012-11-20,217433,36618,180815
2012-11-27,228431,28024,200407
2012-12-04,202177,36441,165736
2012-12-11,201955,38256,163699
2012-12-18,202641,44860,157781
2012-12-24,200436,50340,150096
2012-12-31,198660,50141,148519
2013-01-08,193869,51061,142808
2013-01-15,192955,47839,145116
2013-01-22,195795,43898,151897
2013-01-29,181103,54155,126948
2013-02-05,192806,55341,137465
2013-02-12,193941,67106,126835
2013-02-19,195870,92219,103651
2013-02-26,201956,85357,116599
2013-03-05,195248,87661,107587
2013-03-12,201617,87110,114507
2013-03-19,208895,73285,135610
2013-03-26,200389,67943,132446
2013-04-02,202634,82428,120206
2013-04-09,203812,84453,119359
2013-04-16,204677,75795,128882
2013-04-23,197188,92933,104255
2013-04-30,193310,96258,97052
2013-05-07,189343,99920,89423
2013-05-14,186921,103195,83726
2013-05-21,189401,109142,80259
2013-05-28,172565,115686,56879
2013-06-04,170971,109771,61200
2013-06-11,174015,115010,59005
2013-06-18,166771,123079,43692
2013-06-25,164901,130749,34152
2013-07-02,158712,137961,20751
2013-07-09,160214,143657,16557
2013-07-16,156571,133109,23462
2013-07-23,161197,127006,34191
2013-07-30,154519,126153,28366
2013-08-06,153812,102177,51635
2013-08-13,148524,94598,53926
2013-08-20,151348,90952,60396
2013-08-27,150074,71785,78289
2013-09-03,151951,73760,78191
2013-09-10,141506,72782,68724
2013-09-17,138956,80160,58796
2013-09-24,140468,73329,67139
2013-10-01,141541,68494,73047
2013-10-08,140207,57890,82317
2013-10-15,139663,77730,61933
2013-10-22,147835,71170,76665
2013-10-29,153409,53173,100236
2013-11-05,149031,57895,91136
2013-11-12,144062,82710,61352
2013-11-19,140853,92733,48120
2013-11-26,133414,106859,26555
2013-12-03,134546,111855,22691
2013-12-10,133866,107486,26380
2013-12-17,133068,107164,25904
2013-12-24,135390,108051,27339
2013-12-31,137182,104959,32223
2014-01-07,139244,100357,38887
2014-01-14,145857,101844,44013
