Date,Long:MEXICAN PESO,Short:MEXICAN PESO,Net:MEXICAN PESO
2010-01-05,69341,7354,61987
2010-01-12,81605,5708,75897
2010-01-19,87090,7843,79247
2010-01-26,67133,8994,58139
2010-02-02,52997,10344,42653
2010-02-09,42328,10054,32274
2010-02-16,43429,8965,34464
2010-02-23,67846,10501,57345
2010-03-02,91411,11632,79779
2010-03-09,102793,9319,93474
2010-03-16,109662,6408,103254
2010-03-23,114686,4824,109862
2010-03-30,113370,3772,109598
2010-04-06,118233,7023,111210
2010-04-13,120220,7994,112226
2010-04-20,118977,8825,110152
2010-04-27,107556,9515,98041
2010-05-04,91669,8626,83043
2010-05-11,47507,5549,41958
2010-05-18,42037,6335,35702
2010-05-25,34203,5346,28857
2010-06-01,26142,6369,19773
2010-06-08,24249,6823,17426
2010-06-15,33414,5117,28297
2010-06-22,40797,5158,35639
2010-06-29,45712,3216,42496
2010-07-06,30858,8133,22725
2010-07-13,36830,8695,28135
2010-07-20,43551,7665,35886
2010-07-27,51784,6466,45318
2010-08-03,62503,7362,55141
2010-08-10,80624,8255,72369
2010-08-17,81187,10634,70553
2010-08-24,68371,9001,59370
2010-08-31,38731,17727,21004
2010-09-07,38237,24173,14064
2010-09-14,35691,20734,14957
2010-09-21,41410,15034,26376
2010-09-28,89312,22721,66591
2010-10-05,106169,20405,85764
2010-10-12,108857,22639,86218
2010-10-19,104557,22432,82125
2010-10-26,103670,23527,80143
2010-11-02,104522,22250,82272
2010-11-09,114547,25801,88746
2010-11-16,115539,22322,93217
2010-11-23,111116,23870,87246
2010-11-30,97199,18293,78906
2010-12-07,78102,18620,59482
2010-12-14,87694,10526,77168
2010-12-21,89066,11064,78002
2010-12-28,96664,14418,82246
2011-01-04,91372,17062,74310
2011-01-11,101710,18138,83572
2011-01-18,108866,18664,90202
2011-01-25,114979,19734,95245
2011-02-01,123543,20426,103117
2011-02-08,122615,18803,103812
2011-02-15,116892,7796,109096
2011-02-22,118448,4172,114276
2011-03-01,101537,4335,97202
2011-03-08,118812,5647,113165
2011-03-15,130652,9077,121575
2011-03-22,89646,2098,87548
2011-03-29,91688,3613,88075
2011-04-05,126414,7352,119062
2011-04-12,131688,6842,124846
2011-04-19,142812,8683,134129
2011-04-26,138516,6710,131806
2011-05-03,127995,3735,124260
2011-05-10,123092,5027,118065
2011-05-17,112311,7399,104912
2011-05-24,113219,4538,108681
2011-05-31,111814,3546,108268
2011-06-07,95505,5307,90198
2011-06-14,66092,17929,48163
2011-06-21,58528,17105,41423
2011-06-28,59833,13756,46077
2011-07-05,89492,6548,82944
2011-07-12,111530,13083,98447
2011-07-19,100309,11043,89266
2011-07-26,103288,11375,91913
2011-08-02,96157,7673,88484
2011-08-09,56912,15619,41293
2011-08-16,40669,18035,22634
2011-08-23,40566,18731,21835
2011-08-30,40954,20074,20880
2011-09-06,34163,20917,13246
2011-09-13,20939,22148,-1209
2011-09-20,8251,25141,-16890
2011-09-27,10211,30837,-20626
2011-10-04,6904,32335,-25431
2011-10-11,7397,32275,-24878
2011-10-18,8298,32427,-24129
2011-10-25,10160,37215,-27055
2011-11-01,10195,36783,-26588
2011-11-08,13087,31154,-18067
2011-11-15,17858,32879,-15021
2011-11-22,6166,37748,-31582
2011-11-29,6539,42779,-36240
2011-12-06,18219,39081,-20862
2011-12-13,17609,40503,-22894
2011-12-20,20177,38979,-18802
2011-12-27,18228,43913,-25685
2012-01-03,22073,47902,-25829
2012-01-10,25147,47479,-22332
2012-01-17,24219,41547,-17328
2012-01-24,36512,29094,7418
2012-01-31,44190,22709,21481
2012-02-07,44614,10507,34107
2012-02-14,52461,11222,41239
2012-02-21,62775,13350,49425
2012-02-28,73810,13060,60750
2012-03-06,84514,18167,66347
2012-03-13,86449,7557,78892
2012-03-20,87482,63153,24329
2012-03-27,91900,9067,82833
2012-04-03,91744,7241,84503
2012-04-10,84600,16000,68600
2012-04-17,63848,17747,46101
2012-04-24,58544,18336,40208
2012-05-01,57907,15862,42045
2012-05-08,53380,16452,36928
2012-05-15,35857,21412,14445
2012-05-22,22415,38531,-16116
2012-05-29,24872,37867,-12995
2012-06-05,10998,41394,-30396
2012-06-12,19426,41430,-22004
2012-06-19,22801,37475,-14674
2012-06-26,32190,39837,-7647
2012-07-03,40604,23129,17475
2012-07-10,48567,23345,25222
2012-07-17,60772,25783,34989
2012-07-24,65985,16323,49662
2012-07-31,69542,21986,47556
2012-08-07,81901,12523,69378
2012-08-14,95816,12305,83511
2012-08-21,107140,9159,97981
2012-08-28,104239,9613,94626
2012-09-04,101497,10616,90881
2012-09-11,127168,4925,122243
2012-09-18,140375,22228,118147
2012-09-25,147245,5989,141256
2012-10-02,137986,2121,135865
2012-10-09,139392,3000,136392
2012-10-16,139787,4331,135456
2012-10-23,136680,4278,132402
2012-10-30,130624,4615,126009
2012-11-06,120223,5801,114422
2012-11-13,102917,5923,96994
2012-11-20,96451,9664,86787
2012-11-27,101490,7632,93858
2012-12-04,126957,7995,118962
2012-12-11,155296,6025,149271
2012-12-18,169413,21664,147749
2012-12-24,157338,7983,149355
2012-12-31,149624,7872,141752
2013-01-08,148293,8770,139523
2013-01-15,160543,8878,151665
2013-01-22,159909,9872,150037
2013-01-29,156862,7991,148871
2013-02-05,150495,8993,141502
2013-02-12,131615,7036,124579
2013-02-19,124613,8448,116165
2013-02-26,120401,15597,104804
2013-03-05,102996,9475,93521
2013-03-12,120476,6706,113770
2013-03-19,132936,23560,109376
2013-03-26,150742,22580,128162
2013-04-02,162185,19430,142755
2013-04-09,151784,9242,142542
2013-04-16,159424,8136,151288
2013-04-23,151302,4391,146911
2013-04-30,145932,7381,138551
2013-05-07,144076,5632,138444
2013-05-14,145339,5020,140319
2013-05-21,140449,3586,136863
2013-05-28,126130,5266,120864
2013-06-04,94630,11759,82871
2013-06-11,71854,8080,63774
2013-06-18,43007,22058,20949
2013-06-25,31068,26087,4981
2013-07-02,27516,24669,2847
2013-07-09,31282,23247,8035
2013-07-16,40809,29443,11366
2013-07-23,55501,35702,19799
2013-07-30,61049,36161,24888
2013-08-06,62230,30105,32125
2013-08-13,66899,30579,36320
2013-08-20,61235,25104,36131
2013-08-27,41776,34578,7198
2013-09-03,33761,33073,688
2013-09-10,32753,24474,8279
2013-09-17,28479,38680,-10201
2013-09-24,47887,33864,14023
2013-10-01,37161,22560,14601
2013-10-08,27284,16351,10933
2013-10-15,23714,15953,7761
2013-10-22,28776,21562,7214
2013-10-29,27735,22839,4896
2013-11-05,29474,24294,5180
2013-11-12,32614,25597,7017
2013-11-19,40564,31025,9539
2013-11-26,38508,26045,12463
2013-12-03,27661,18728,8933
2013-12-10,39952,17422,22530
2013-12-17,40410,24760,15650
2013-12-24,47206,27028,20178
2013-12-31,37874,22269,15605
