Date,Long:SWISS FRANC,Short:SWISS FRANC,Net:SWISS FRANC
2010-01-05,12488,15268,-2780
2010-01-12,17213,3287,13926
2010-01-19,17281,3310,13971
2010-01-26,12421,6716,5705
2010-02-02,10344,12119,-1775
2010-02-09,9219,16115,-6896
2010-02-16,10763,15430,-4667
2010-02-23,12119,20938,-8819
2010-03-02,11508,17818,-6310
2010-03-09,10727,15872,-5145
2010-03-16,8977,14210,-5233
2010-03-23,9239,10327,-1088
2010-03-30,6735,13275,-6540
2010-04-06,9777,13929,-4152
2010-04-13,10417,15371,-4954
2010-04-20,9838,15220,-5382
2010-04-27,13031,26644,-13613
2010-05-04,12665,29257,-16592
2010-05-11,10020,27547,-17527
2010-05-18,10616,25174,-14558
2010-05-25,11489,24108,-12619
2010-06-01,11139,25863,-14724
2010-06-08,14111,25526,-11415
2010-06-15,8852,25328,-16476
2010-06-22,9620,19885,-10265
2010-06-29,7647,20495,-12848
2010-07-06,7627,15082,-7455
2010-07-13,18237,3647,14590
2010-07-20,19977,4864,15113
2010-07-27,15283,9067,6216
2010-08-03,20302,4079,16223
2010-08-10,16775,5874,10901
2010-08-17,18041,6291,11750
2010-08-24,20735,6867,13868
2010-08-31,21185,6904,14281
2010-09-07,25464,8837,16627
2010-09-14,27800,13564,14236
2010-09-21,26272,11810,14462
2010-09-28,27655,7662,19993
2010-10-05,31693,9094,22599
2010-10-12,31504,11557,19947
2010-10-19,24908,13673,11235
2010-10-26,24600,12081,12519
2010-11-02,23363,10898,12465
2010-11-09,24911,12296,12615
2010-11-16,18005,10202,7803
2010-11-23,14709,6198,8511
2010-11-30,16240,8416,7824
2010-12-07,18014,9027,8987
2010-12-14,20794,10078,10716
2010-12-21,25365,12838,12527
2010-12-28,24349,10347,14002
2011-01-04,24487,11455,13032
2011-01-11,20497,9679,10818
2011-01-18,19711,12719,6992
2011-01-25,17675,11081,6594
2011-02-01,22079,11638,10441
2011-02-08,22686,14505,8181
2011-02-15,17467,6949,10518
2011-02-22,18326,6035,12291
2011-03-01,29218,11201,18017
2011-03-08,30841,7180,23661
2011-03-15,32295,4655,27640
2011-03-22,24883,3582,21301
2011-03-29,24184,5227,18957
2011-04-05,21588,10745,10843
2011-04-12,22272,7615,14657
2011-04-19,27271,9897,17374
2011-04-26,27549,9708,17841
2011-05-03,28551,10170,18381
2011-05-10,27905,11569,16336
2011-05-17,24409,8748,15661
2011-05-24,23088,8363,14725
2011-05-31,27846,6727,21119
2011-06-07,26290,9425,16865
2011-06-14,25555,12268,13287
2011-06-21,23700,11887,11813
2011-06-28,21412,11464,9948
2011-07-05,15983,10692,5291
2011-07-12,18139,10058,8081
2011-07-19,21159,9665,11494
2011-07-26,21103,13226,7877
2011-08-02,25593,13252,12341
2011-08-09,14449,9794,4655
2011-08-16,13330,4322,9008
2011-08-23,14889,5252,9637
2011-08-30,13347,4005,9342
2011-09-06,12589,5040,7549
