date,USD.JPY.correlation
2015-04-02,-0.520712730325974
2015-04-03,-0.610704305145782
2015-04-04,-0.721132573151022
2015-04-05,-0.810571880140738
2015-04-06,-0.864767234557207
2015-04-07,-0.884306054207548
2015-04-08,-0.868785217461527
2015-04-09,-0.839152950790393
2015-04-10,-0.772833680609794
2015-04-11,-0.692455759231143
2015-04-12,-0.618417044213302
2015-04-13,-0.531921523760798
2015-04-14,-0.419770142234169
2015-04-15,-0.345636591487731
2015-04-16,-0.281205468509069
2015-04-17,-0.218552166688209
2015-04-18,-0.170729151511368
2015-04-19,-0.159804077285342
2015-04-20,-0.126073232859591
2015-04-21,-0.135065387149305
2015-04-22,-0.0823066121116524
2015-04-23,-0.0213452206683182
2015-04-24,0.0314847110783268
2015-04-25,0.014682224740265
2015-04-26,-0.108306204662484
2015-04-27,-0.208376989884963
2015-04-28,-0.305631258121108
2015-04-29,-0.408937395874089
2015-04-30,-0.447731367448307
2015-05-01,-0.42783641151663
