Date,Weekly U.S. Ending Stocks excluding SPR of Crude Oil  (Thousand Barrels)
2015-02-06,417928
2015-02-13,425644
2015-02-20,434071
2015-02-27,444374
2015-03-06,448886
2015-03-13,458508
2015-03-20,466678
2015-03-27,471444
2015-04-03,482393
2015-04-10,483687
2015-04-17,489002
2015-04-24,490912
2015-05-01,487030
2015-05-08,484839
2015-05-15,482165
2015-05-22,479363
2015-05-29,477415
2015-06-05,470603
2015-06-12,467927
2015-06-19,462993
2015-06-26,465379
2015-07-03,465763
2015-07-10,461417
2015-07-17,463885
2015-07-24,459682
2015-07-31,455275
2015-08-07,453593
2015-08-14,456213
2015-08-21,450761
2015-08-28,455428
