Date,Weekly U.S. Refiner Net Input of Crude Oil  (Thousand Barrels per Day)
1982-08-20,11722
1982-08-27,11918
1982-09-24,12375
1982-10-01,12303
1982-10-08,12062
1982-10-15,12129
1982-10-22,11611
1982-10-29,11765
1982-11-05,11751
1982-11-12,11777
1982-11-19,11978
1982-11-26,11358
1982-12-03,12192
1982-12-10,11536
1982-12-17,11462
1982-12-24,11236
1982-12-31,12762
1983-01-07,11735
1983-01-14,11481
1983-01-21,11163
1983-01-28,11095
1983-02-04,10825
1983-02-11,10907
1983-02-18,10903
1983-02-25,10899
1983-03-04,10714
1983-03-11,10780
1983-03-18,10923
1983-03-25,11245
1983-04-01,10927
1983-04-08,11411
1983-04-15,11384
1983-04-29,11820
1983-05-13,11636
1983-05-20,11761
1983-06-03,12312
1983-06-10,12081
1983-06-17,12366
1983-06-24,12426
1983-07-01,12340
1983-07-08,12382
1983-07-15,12495
1983-07-22,12647
1983-07-29,12672
1983-08-05,12394
1983-08-12,12316
1983-08-19,12609
1983-08-26,11835
1983-09-02,12317
1983-09-09,12898
1983-09-16,12941
1983-09-23,12447
1983-09-30,12321
1983-10-07,12099
1983-10-14,11798
1983-10-21,11701
1983-10-28,11681
1983-11-04,11570
1983-11-11,11846
1983-11-18,12146
1983-11-25,11389
1983-12-02,12630
1983-12-09,11719
1983-12-16,11736
1983-12-23,11495
1983-12-30,10694
1984-01-06,10639
1984-01-13,11562
1984-01-20,11801
1984-01-27,11874
1984-02-03,12166
1984-02-10,12029
1984-02-17,12087
1984-02-24,12268
1984-03-02,12054
1984-03-09,12249
1984-03-16,12343
1984-03-23,11620
1984-03-30,11851
1984-04-06,11493
1984-04-13,11817
1984-04-20,11879
1984-04-27,12464
1984-05-04,11641
1984-05-11,11990
1984-05-18,12267
1984-05-25,12564
1984-06-01,12842
1984-06-08,12414
1984-06-15,12338
1984-06-22,12601
1984-06-29,12270
1984-07-06,12135
1984-07-13,12266
1984-07-20,12238
1984-07-27,12233
1984-08-03,12134
1984-08-10,12449
1984-08-17,12429
1984-08-24,12515
1984-08-31,12637
1984-09-07,12466
1984-09-14,12643
1984-09-21,12488
1984-09-28,12448
1984-10-05,12134
1984-10-12,12190
1984-10-19,12166
1984-10-26,12105
1984-11-02,12504
1984-11-09,12195
1984-11-16,12090
1984-11-23,12281
1984-11-30,12389
1984-12-07,12008
1984-12-14,12046
1984-12-21,12057
1984-12-28,11754
1985-01-04,11649
1985-01-11,11502
1985-01-18,11601
1985-01-25,11564
1985-02-01,11555
1985-02-08,11585
1985-02-15,11468
1985-02-22,11479
1985-03-01,11354
1985-03-08,11382
1985-03-15,11415
1985-03-22,11413
1985-03-29,11525
1985-04-05,11432
1985-04-12,11780
1985-04-19,11895
1985-04-26,11852
1985-05-03,11663
1985-05-10,12060
1985-05-17,12060
1985-05-24,11952
1985-05-31,12353
1985-06-07,12143
1985-06-14,12191
1985-06-21,12358
1985-06-28,12411
1985-07-05,12706
1985-07-12,12526
1985-07-19,12604
1985-07-26,12529
1985-08-02,12313
1985-08-09,12130
1985-08-16,12180
1985-08-23,12189
1985-08-30,12178
1985-09-06,11662
1985-09-13,12027
1985-09-20,12028
1985-09-27,12259
1985-10-04,11978
1985-10-11,12180
1985-10-18,12517
1985-10-25,12510
1985-11-01,12239
1985-11-08,12017
1985-11-15,12475
1985-11-22,12688
1985-11-29,12384
1985-12-06,12574
1985-12-13,12484
1985-12-20,12562
1985-12-27,12553
1986-01-03,12365
1986-01-10,12684
1986-01-17,12598
1986-01-24,12395
1986-01-31,12388
1986-02-07,11695
1986-02-14,12050
1986-02-21,12211
1986-02-28,11925
1986-03-07,11624
1986-03-14,11552
1986-03-21,11481
1986-03-28,11592
1986-04-04,11843
1986-04-11,12153
1986-04-18,12619
1986-04-25,12568
1986-05-02,12516
1986-05-09,12966
1986-05-16,13172
1986-05-23,13306
1986-05-30,13508
1986-06-06,13352
1986-06-13,13416
1986-06-20,13295
1986-06-27,13430
1986-07-04,12553
1986-07-11,13081
1986-07-18,13064
1986-07-25,12934
1986-08-01,13171
1986-08-08,13061
1986-08-15,13253
1986-08-22,13336
1986-08-29,13349
1986-09-05,13427
1986-09-12,13406
1986-09-19,13286
1986-09-26,12943
1986-10-03,12598
1986-10-10,12749
1986-10-17,12565
1986-10-24,12722
1986-10-31,12762
1986-11-07,12765
1986-11-14,12587
1986-11-21,12964
1986-11-28,13008
1986-12-05,12962
1986-12-12,12800
1986-12-19,12805
1986-12-26,12718
1987-01-02,12969
1987-01-09,12622
1987-01-16,12605
1987-01-23,12544
1987-01-30,12250
1987-02-06,12291
1987-02-13,12256
1987-02-20,12221
1987-02-27,12077
1987-03-06,11662
1987-03-13,11706
1987-03-20,12136
1987-03-27,12215
1987-04-03,12470
1987-04-10,12689
1987-04-17,12521
1987-04-24,12640
1987-05-01,12187
1987-05-08,12182
1987-05-15,12291
1987-05-22,12539
1987-05-29,12886
1987-06-05,12837
1987-06-12,12834
1987-06-19,13060
1987-06-26,13455
1987-07-03,13394
1987-07-10,13588
1987-07-17,13573
1987-07-24,13390
1987-07-31,13327
1987-08-07,13348
1987-08-14,13335
1987-08-21,13377
1987-08-28,13384
1987-09-04,13351
1987-09-11,13282
1987-09-18,13172
1987-09-25,13350
1987-10-02,13119
1987-10-09,12590
1987-10-16,12899
1987-10-23,12715
1987-10-30,12835
1987-11-06,12649
1987-11-13,12824
1987-11-20,13013
1987-11-27,13111
1987-12-04,13065
1987-12-11,12980
1987-12-18,13235
1987-12-25,13308
1988-01-01,13323
1988-01-08,13000
1988-01-15,12926
1988-01-22,12978
1988-01-29,13164
1988-02-05,12934
1988-02-12,12880
1988-02-19,12668
1988-02-26,12642
1988-03-04,12809
1988-03-11,12891
1988-03-18,13089
1988-03-25,13190
1988-04-01,13064
1988-04-08,12995
1988-04-15,13165
1988-04-22,13351
1988-04-29,13097
1988-05-06,13194
1988-05-13,13331
1988-05-20,13426
1988-05-27,13373
1988-06-03,13800
1988-06-10,13616
1988-06-17,13333
1988-06-24,13559
1988-07-01,13375
1988-07-08,13491
1988-07-15,13498
1988-07-22,13690
1988-07-29,13725
1988-08-05,13781
1988-08-12,13686
1988-08-19,13665
1988-08-26,13855
1988-09-02,14031
1988-09-09,14089
1988-09-16,13221
1988-09-23,12708
1988-09-30,13332
1988-10-07,13100
1988-10-14,13191
1988-10-21,13157
1988-10-28,12913
1988-11-04,13130
1988-11-11,12951
1988-11-18,13085
1988-11-25,13290
1988-12-02,13345
1988-12-09,13333
1988-12-16,13638
1988-12-23,13221
1988-12-30,13533
1989-01-06,13354
1989-01-13,13489
1989-01-20,13493
1989-01-27,13424
1989-02-03,13522
1989-02-10,13084
1989-02-17,12860
1989-02-24,12609
1989-03-03,12582
1989-03-10,12622
1989-03-17,12582
1989-03-24,12787
1989-03-31,13536
1989-04-07,12950
1989-04-14,13101
1989-04-21,13007
1989-04-28,13018
1989-05-05,12976
1989-05-12,13147
1989-05-19,13424
1989-05-26,13663
1989-06-02,13790
1989-06-09,13786
1989-06-16,13865
1989-06-23,13863
1989-06-30,14161
1989-07-07,13987
1989-07-14,13928
1989-07-21,13987
1989-07-28,13870
1989-08-04,13368
1989-08-11,13740
1989-08-18,13841
1989-08-25,13972
1989-09-01,14105
1989-09-08,14076
1989-09-15,13768
1989-09-22,13729
1989-09-29,13632
1989-10-06,13488
1989-10-13,13450
1989-10-20,13222
1989-10-27,13319
1989-11-03,13277
1989-11-10,13038
1989-11-17,13338
1989-11-24,13321
1989-12-01,13581
1989-12-08,13705
1989-12-15,13738
1989-12-22,13837
1989-12-29,12147
1990-01-05,12640
1990-01-12,13394
1990-01-19,13639
1990-01-26,13716
1990-02-02,13717
1990-02-09,13645
1990-02-16,13644
1990-02-23,13526
1990-03-02,13455
1990-03-09,12987
1990-03-16,12952
1990-03-23,12896
1990-03-30,12957
1990-04-06,12665
1990-04-13,13109
1990-04-20,13313
1990-04-27,12916
1990-05-04,12992
1990-05-11,12944
1990-05-18,13159
1990-05-25,13679
1990-06-01,13668
1990-06-08,13516
1990-06-15,13581
1990-06-22,13454
1990-06-29,13962
1990-07-06,14168
1990-07-13,14192
1990-07-20,14293
1990-07-27,14358
1990-08-03,14432
1990-08-10,14345
1990-08-17,14093
1990-08-24,14108
1990-08-31,14063
1990-09-07,14203
1990-09-14,14327
1990-09-21,14306
1990-09-28,13887
1990-10-05,13477
1990-10-12,13115
1990-10-19,12733
1990-10-26,12674
1990-11-02,12898
1990-11-09,12684
1990-11-16,12764
1990-11-23,12779
1990-11-30,13711
1990-12-07,12660
1990-12-14,12842
1990-12-21,12916
1990-12-28,13009
1991-01-04,12307
1991-01-11,12346
1991-01-18,12581
1991-01-25,12757
1991-02-01,12814
1991-02-08,12973
1991-02-15,12931
1991-02-22,13107
1991-03-01,13164
1991-03-08,13082
1991-03-15,12817
1991-03-22,12676
1991-03-29,12598
1991-04-05,12871
1991-04-12,12906
1991-04-19,12950
1991-04-26,13162
1991-05-03,13408
1991-05-10,13446
1991-05-17,13325
1991-05-24,13407
1991-05-31,14002
1991-06-07,13675
1991-06-14,13928
1991-06-21,13989
1991-06-28,13860
1991-07-05,13662
1991-07-12,13415
1991-07-19,13839
1991-07-26,13827
1991-08-02,13597
1991-08-09,13697
1991-08-16,13705
1991-08-23,13831
1991-08-30,14000
1991-09-06,14164
1991-09-13,13928
1991-09-20,13817
1991-09-27,13467
1991-10-04,13555
1991-10-11,13330
1991-10-18,13008
1991-10-25,12736
1991-11-01,12716
1991-11-08,12532
1991-11-15,12805
1991-11-22,13306
1991-11-29,13020
1991-12-06,12875
1991-12-13,13463
1991-12-20,13631
1991-12-27,13524
1992-01-03,13307
1992-01-10,13311
1992-01-17,12960
1992-01-24,12595
1992-01-31,12432
1992-02-07,12705
1992-02-14,12339
1992-02-21,12380
1992-02-28,12234
1992-03-06,12271
1992-03-13,12739
1992-03-20,13033
1992-03-27,13072
1992-04-03,13308
1992-04-10,13201
1992-04-17,13213
1992-04-24,13241
1992-05-01,13140
1992-05-08,13110
1992-05-15,13510
1992-05-22,13493
1992-05-29,13782
1992-06-05,13844
1992-06-12,13821
1992-06-19,13943
1992-06-26,14214
1992-07-03,14029
1992-07-10,14126
1992-07-17,14083
1992-07-24,13997
1992-07-31,13821
1992-08-07,13942
1992-08-14,13864
1992-08-21,13809
1992-08-28,13219
1992-09-04,13083
1992-09-11,13866
1992-09-18,13726
1992-09-25,13711
1992-10-02,13766
1992-10-09,13485
1992-10-16,13457
1992-10-23,13632
1992-10-30,13627
1992-11-06,13634
1992-11-13,13662
1992-11-20,13408
1992-11-27,13619
1992-12-04,13514
1992-12-11,13201
1992-12-18,13275
1992-12-25,13217
1993-01-01,13318
1993-01-08,13047
