Date,WoW.Weekly.CushingOKEndingStocksexcludingSPRofCrudeOil.ThousandBarrels
2014-11-07,1704
2014-11-14,718
2014-11-21,1334
2014-11-28,-694
2014-12-05,1020
2014-12-12,2920
2014-12-19,973
2014-12-26,1995
2015-01-02,1305
2015-01-09,1776
2015-01-16,2909
2015-01-23,2085
2015-01-30,2516
2015-02-06,1214
2015-02-13,3663
2015-02-20,2419
2015-02-27,536
2015-03-06,2322
2015-03-13,2865
2015-03-20,1911
2015-03-27,2629
2015-04-03,1232
2015-04-10,1287
2015-04-17,738
2015-04-24,-514
2015-05-01,-12
2015-05-08,-990
2015-05-15,-241
2015-05-22,-433
2015-05-29,-983
