Date,WoW.Weekly.U.S.EndingStocksofCrudeOil.Thousand.Barrels
2014-10-24,2060
2014-10-31,460
2014-11-07,-1736
2014-11-14,2608
2014-11-21,1946
2014-11-28,-3690
2014-12-05,1452
2014-12-12,-847
2014-12-19,7267
2014-12-26,-1754
2015-01-02,-3064
2015-01-09,5387
2015-01-16,10070
2015-01-23,8873
2015-01-30,6333
2015-02-06,4867
2015-02-13,7715
2015-02-20,8427
2015-02-27,10303
2015-03-06,4510
2015-03-13,9622
2015-03-20,8169
2015-03-27,4766
2015-04-03,10949
2015-04-10,1292
2015-04-17,5315
2015-04-24,1908
2015-05-01,-3882
2015-05-08,-2192
2015-05-15,-2361
