Date,WoW.Weekly.U.S.EndingStocksofDistillateFuelOil.Thousand.Barrels
2014-10-24,-5294
2014-10-31,-724
2014-11-07,-2803
2014-11-14,-2056
2014-11-21,-1648
2014-11-28,3028
2014-12-05,5577
2014-12-12,-207
2014-12-19,2303
2014-12-26,1874
2015-01-02,11205
2015-01-09,2925
2015-01-16,-3272
2015-01-23,-3892
2015-01-30,1788
2015-02-06,-3252
2015-02-13,-3814
2015-02-20,-2711
2015-02-27,-1722
2015-03-06,2527
2015-03-13,380
2015-03-20,-34
2015-03-27,1325
2015-04-03,-250
2015-04-10,2017
2015-04-17,395
2015-04-24,-66
2015-05-01,1503
2015-05-08,-2503
2015-05-15,-546
