Date,WoW.Weekly.U.S.NetImportsofCrudeOil.ThousandBarrelsperDay
2014-11-28,-170
2014-12-05,365
2014-12-12,-564
2014-12-19,1174
2014-12-26,-1231
2015-01-02,-205
2015-01-09,636
2015-01-16,-274
2015-01-23,90
2015-01-30,-35
2015-02-06,-101
2015-02-13,-181
2015-02-20,198
2015-02-27,89
2015-03-06,-575
2015-03-13,703
2015-03-20,-129
2015-03-27,-44
2015-04-03,869
2015-04-10,-1069
2015-04-17,617
2015-04-24,-283
2015-05-01,-905
2015-05-08,340
2015-05-15,318
2015-05-22,-477
2015-05-29,677
2015-06-05,-750
2015-06-12,444
2015-06-19,-432
