Date,WoW.Weekly.U.S.RefinerNetInputofCrudeOil.ThousandBarrelsperDay
2014-10-24,-79
2014-10-31,356
2014-11-07,267
2014-11-14,161
2014-11-21,44
2014-11-28,399
2014-12-05,271
2014-12-12,-326
2014-12-19,40
2014-12-26,36
2015-01-02,43
2015-01-09,-527
2015-01-16,-984
2015-01-23,347
2015-01-30,288
2015-02-06,20
2015-02-13,-122
2015-02-20,-199
2015-02-27,-130
2015-03-06,187
2015-03-13,136
2015-03-20,94
2015-03-27,198
2015-04-03,201
2015-04-10,283
2015-04-17,-230
2015-04-24,118
2015-05-01,247
2015-05-08,-379
2015-05-15,245
