Date,マネーストック平均残高M2(億円)
2003/4/1,6767067
2003/5/1,6770869
2003/6/1,6777550
2003/7/1,6813055
2003/8/1,6807344
2003/9/1,6768459
2003/10/1,6755731
2003/11/1,6757284
2003/12/1,6825840
2004/1/1,6833119
2004/2/1,6797767
2004/3/1,6825916
2004/4/1,6891883
2004/5/1,6903843
2004/6/1,6894824
2004/7/1,6937875
2004/8/1,6933689
2004/9/1,6907282
2004/10/1,6890506
2004/11/1,6894786
2004/12/1,6960622
2005/1/1,6965712
2005/2/1,6920502
2005/3/1,6965119
2005/4/1,7015356
2005/5/1,7003169
2005/6/1,7006819
2005/7/1,7050604
2005/8/1,7043747
2005/9/1,7046184
2005/10/1,7021746
2005/11/1,7036014
2005/12/1,7089899
2006/1/1,7087795
2006/2/1,7037961
2006/3/1,7061195
2006/4/1,7129110
2006/5/1,7093181
2006/6/1,7085888
2006/7/1,7085186
2006/8/1,7073070
2006/9/1,7081933
2006/10/1,7059775
2006/11/1,7078251
2006/12/1,7137934
2007/1/1,7151423
2007/2/1,7108923
2007/3/1,7138415
2007/4/1,7210967
2007/5/1,7195192
2007/6/1,7216367
2007/7/1,7228811
2007/8/1,7198156
2007/9/1,7201921
2007/10/1,7193436
2007/11/1,7220662
2007/12/1,7285588
2008/1/1,7304457
2008/2/1,7276617
2008/3/1,7299474
2008/4/1,7345919
2008/5/1,7342982
2008/6/1,7378298
2008/7/1,7381435
2008/8/1,7371732
2008/9/1,7358569
2008/10/1,7325322
2008/11/1,7349960
2008/12/1,7417325
2009/1/1,7447359
2009/2/1,7432345
2009/3/1,7462845
2009/4/1,7542195
2009/5/1,7539544
2009/6/1,7564651
2009/7/1,7581721
2009/8/1,7579114
2009/9/1,7577582
2009/10/1,7574488
2009/11/1,7592868
2009/12/1,7644352
2010/1/1,7668556
2010/2/1,7635656
2010/3/1,7662193
2010/4/1,7759675
2010/5/1,7773641
2010/6/1,7784280
2010/7/1,7788079
2010/8/1,7789657
2010/9/1,7788638
2010/10/1,7784699
2010/11/1,7788978
2010/12/1,7822875
2011/1/1,7843991
2011/2/1,7818290
2011/3/1,7860811
2011/4/1,7970763
2011/5/1,7983201
2011/6/1,8005162
2011/7/1,8017214
2011/8/1,7997234
2011/9/1,8000077
2011/10/1,8002828
2011/11/1,8024423
2011/12/1,8069214
2012/1/1,8082743
2012/2/1,8047690
2012/3/1,8092707
2012/4/1,8178578
2012/5/1,8157056
2012/6/1,8185426
2012/7/1,8199760
2012/8/1,8191274
2012/9/1,8192726
2012/10/1,8183764
2012/11/1,8194243
2012/12/1,8277579
2013/1/1,8300190
2013/2/1,8283434
2013/3/1,8340013
2013/4/1,8438665
2013/5/1,8441060
2013/6/1,8497143
2013/7/1,8506159
2013/8/1,8499668
2013/9/1,8508687
2013/10/1,8521673
2013/11/1,8550930
2013/12/1,8628947
2014/1/1,8660148
2014/2/1,8611814
2014/3/1,8635866
2014/4/1,8729799
2014/5/1,8716958
2014/6/1,8754747
2014/7/1,8758383
2014/8/1,8752789
2014/9/1,8771158
2014/10/1,8792582
2014/11/1,8857371
2014/12/1,8938682
2015/1/1,8954382
2015/2/1,8913032
2015/3/1,8947893
2015/4/1,9045721
2015/5/1,9074507
2015/6/1,9098648
2015/7/1,9112935
2015/8/1,9122608
