USD/JPY,NIKKEI,Date
105.296,19539.7,2000/1/1
109.3885,19959.52,2000/2/1
106.3074,20337.32,2000/3/1
105.627,17973.7,2000/4/1
108.3205,16332.45,2000/5/1
106.1255,17411.05,2000/6/1
108.2115,15727.49,2000/7/1
108.0804,16861.26,2000/8/1
106.8375,15747.26,2000/9/1
108.4429,14539.6,2000/10/1
109.0095,14648.51,2000/11/1
112.209,13785.69,2000/12/1
116.6719,13843.55,2001/1/1
116.2337,12883.54,2001/2/1
121.505,12999.7,2001/3/1
123.771,13934.32,2001/4/1
121.7682,13262.14,2001/5/1
122.351,12969.05,2001/6/1
124.4981,11860.77,2001/7/1
121.367,10713.51,2001/8/1
118.6117,9774.68,2001/9/1
121.4536,10366.34,2001/10/1
122.4055,10697.44,2001/11/1
127.5945,10542.62,2001/12/1
132.6833,9997.8,2002/1/1
133.6426,10587.83,2002/2/1
131.061,11024.94,2002/3/1
130.7718,11492.54,2002/4/1
126.375,11763.7,2002/5/1
123.2905,10621.84,2002/6/1
117.8991,9877.94,2002/7/1
118.9927,9619.3,2002/8/1
121.078,9383.29,2002/9/1
123.9077,8640.48,2002/10/1
121.6079,9215.56,2002/11/1
121.8929,8578.95,2002/12/1
118.8133,8339.94,2003/1/1
119.3379,8363.04,2003/2/1
118.6871,7972.71,2003/3/1
119.895,7831.42,2003/4/1
117.3681,8424.51,2003/5/1
118.329,9083.11,2003/6/1
118.6959,9563.21,2003/7/1
118.6624,10343.55,2003/8/1
114.8,10219.05,2003/9/1
109.4955,10559.59,2003/10/1
109.1778,10100.57,2003/11/1
107.7377,10676.64,2003/12/1
106.2685,10783.61,2004/1/1
106.7079,11041.92,2004/2/1
108.5157,11715.39,2004/3/1
107.6564,11761.79,2004/4/1
112.196,11236.37,2004/5/1
109.4336,11858.87,2004/6/1
109.4871,11325.78,2004/7/1
110.2336,11081.79,2004/8/1
110.0914,10823.57,2004/9/1
108.7835,10771.42,2004/10/1
104.699,10899.25,2004/11/1
103.8104,11488.76,2004/12/1
103.341,11387.59,2005/1/1
104.9442,11740.6,2005/2/1
105.2543,11668.95,2005/3/1
107.1938,11008.9,2005/4/1
106.5952,11276.59,2005/5/1
108.7473,11584.01,2005/6/1
111.9535,11899.6,2005/7/1
110.6065,12413.6,2005/8/1
111.239,13574.3,2005/9/1
114.8695,13606.5,2005/10/1
118.454,14872.15,2005/11/1
118.4624,16111.43,2005/12/1
115.4765,16649.82,2006/1/1
117.8605,16205.43,2006/2/1
117.2778,17059.66,2006/3/1
117.0695,16906.23,2006/4/1
111.7305,15467.33,2006/5/1
114.625,15505.18,2006/6/1
115.767,15456.81,2006/7/1
115.9243,16140.76,2006/8/1
117.2145,16127.58,2006/9/1
118.609,16399.39,2006/10/1
117.3205,16274.33,2006/11/1
117.322,17225.83,2006/12/1
120.4471,17383.42,2007/1/1
120.5047,17604.12,2007/2/1
117.26,17287.65,2007/3/1
118.9324,17400.41,2007/4/1
120.7732,17875.75,2007/5/1
122.6886,18138.36,2007/6/1
121.4148,17248.89,2007/7/1
116.7335,16569.09,2007/8/1
115.0435,16785.69,2007/9/1
115.8661,16737.63,2007/10/1
111.0729,15680.67,2007/11/1
112.449,15307.78,2007/12/1
107.8181,13592.47,2008/1/1
107.03,13603.02,2008/2/1
100.7562,12525.54,2008/3/1
102.6777,13849.99,2008/4/1
104.3595,14338.54,2008/5/1
106.9152,13481.38,2008/6/1
106.8518,13376.81,2008/7/1
109.3624,13072.87,2008/8/1
106.5748,11259.86,2008/9/1
99.9659,8576.98,2008/10/1
96.9656,8512.27,2008/11/1
91.275,8859.56,2008/12/1
90.1205,7994.05,2009/1/1
92.9158,7568.42,2009/2/1
97.855,8109.53,2009/3/1
98.92,8828.26,2009/4/1
96.6445,9522.5,2009/5/1
96.6145,9958.44,2009/6/1
94.367,10356.83,2009/7/1
94.8971,10492.53,2009/8/1
91.2748,10133.23,2009/9/1
