DATE,DEXUSEU,DEXUSUK,DEXJPUS
2016/6/1,1.1165,1.4395,109.55
2016/6/2,1.1157,1.4419,108.75
2016/6/3,1.133,1.4521,106.88
2016/6/6,1.1354,1.445,107.33
2016/6/7,1.135,1.4564,107.3
2016/6/8,1.14,1.4546,106.68
2016/6/9,1.1329,1.4467,106.54
2016/6/10,1.1281,1.4342,107.06
2016/6/13,1.1282,1.4223,106.07
2016/6/14,1.1206,1.413,106.02
2016/6/15,1.1239,1.4185,105.87
2016/6/16,1.1158,1.4075,104.05
2016/6/17,1.1256,1.4285,104.2
2016/6/20,1.1318,1.4688,104.32
2016/6/21,1.1262,1.4668,104.56
2016/6/22,1.1286,1.4682,104.56
2016/6/23,1.1373,1.48,105.9
2016/6/24,1.1126,1.3639,102.26
2016/6/27,1.1024,1.3217,101.66
2016/6/28,1.1054,1.3294,102.71
2016/6/29,1.1117,1.351,102.68
2016/6/30,1.1032,1.3242,102.77
