Date,その他のサービス業
2008-03-01,234977
2008-06-01,281966
2008-09-01,250183
2008-12-01,217228
2009-03-01,318145
2009-06-01,159053
2009-09-01,219844
2009-12-01,236472
2010-03-01,238866
2010-06-01,152651
2010-09-01,146347
2010-12-01,171833
2011-03-01,222647
2011-06-01,174273
2011-09-01,206353
2011-12-01,215647
2012-03-01,235911
2012-06-01,163718
2012-09-01,236827
2012-12-01,185948
2013-03-01,277555
2013-06-01,196203
2013-09-01,239507
2013-12-01,221051
2014-03-01,262012
2014-06-01,256288
2014-09-01,250448
2014-12-01,193822
2015-03-01,306323
2015-06-01,199566
