Date,その他の学術研究、専門・技術サービス業
2008-03-01,NA
2008-06-01,NA
2008-09-01,NA
2008-12-01,NA
2009-03-01,NA
2009-06-01,74506
2009-09-01,81963
2009-12-01,56969
2010-03-01,101979
2010-06-01,128958
2010-09-01,95164
2010-12-01,104834
2011-03-01,120842
2011-06-01,69260
2011-09-01,114273
2011-12-01,115305
2012-03-01,143642
2012-06-01,64086
2012-09-01,64242
2012-12-01,62293
2013-03-01,90339
2013-06-01,69000
2013-09-01,125201
2013-12-01,95033
2014-03-01,108017
2014-06-01,63590
2014-09-01,56112
2014-12-01,121546
2015-03-01,133938
2015-06-01,91318
