Date,その他の物品賃貸業
2008-03-01,151501
2008-06-01,238526
2008-09-01,121864
2008-12-01,86415
2009-03-01,125302
2009-06-01,62287
2009-09-01,79166
2009-12-01,64668
2010-03-01,86910
2010-06-01,123475
2010-09-01,113919
2010-12-01,89115
2011-03-01,122113
2011-06-01,73107
2011-09-01,122255
2011-12-01,101132
2012-03-01,127874
2012-06-01,132723
2012-09-01,138989
2012-12-01,117492
2013-03-01,127065
2013-06-01,134071
2013-09-01,149075
2013-12-01,105044
2014-03-01,114233
2014-06-01,112820
2014-09-01,129845
2014-12-01,107381
2015-03-01,118065
2015-06-01,127989
