Date,その他の製造業
2008-03-01,294102
2008-06-01,261821
2008-09-01,356855
2008-12-01,272970
2009-03-01,280491
2009-06-01,208163
2009-09-01,222366
2009-12-01,188757
2010-03-01,259648
2010-06-01,196585
2010-09-01,254527
2010-12-01,246054
2011-03-01,219543
2011-06-01,169430
2011-09-01,242053
2011-12-01,273560
2012-03-01,238932
2012-06-01,246481
2012-09-01,238240
2012-12-01,260768
2013-03-01,280962
2013-06-01,245440
2013-09-01,228363
2013-12-01,309092
2014-03-01,238669
2014-06-01,207824
2014-09-01,259092
2014-12-01,225609
2015-03-01,354374
2015-06-01,187521
