Date,エネルギー
2013-02-01,112.6
2013-03-01,112.9
2013-04-01,113.3
2013-05-01,114.8
2013-06-01,115.7
2013-07-01,117.1
2013-08-01,118.9
2013-09-01,120.1
2013-10-01,119.4
2013-11-01,119.1
2013-12-01,118.7
2014-01-01,119
2014-02-01,119.1
2014-03-01,119.8
2014-04-01,122.2
2014-05-01,126.4
2014-06-01,126.8
2014-07-01,127.4
2014-08-01,127
2014-09-01,126.3
2014-10-01,125.3
2014-11-01,123.8
2014-12-01,122.1
2015-01-01,118.4
2015-02-01,116.6
2015-03-01,118.6
2015-04-01,118
2015-05-01,118.8
2015-06-01,118
2015-07-01,116.3
