Date,サービス業(集約)
2008-03-01,3231387
2008-06-01,1734404
2008-09-01,1733575
2008-12-01,1527680
2009-03-01,1464400
2009-06-01,779497
2009-09-01,980271
2009-12-01,1140593
2010-03-01,1069521
2010-06-01,994048
2010-09-01,1024967
2010-12-01,1179229
2011-03-01,1012932
2011-06-01,797509
2011-09-01,956171
2011-12-01,1177956
2012-03-01,1223174
2012-06-01,839556
2012-09-01,893228
2012-12-01,855477
2013-03-01,1094690
2013-06-01,810210
2013-09-01,922735
2013-12-01,964705
2014-03-01,1084352
2014-06-01,868686
2014-09-01,1027338
2014-12-01,1039254
2015-03-01,1261900
2015-06-01,1102719
