Date,マネタリーベース平均残高／うち 日銀当座預金
2013-03-01,47.3674
2013-04-01,61.9433
2013-05-01,66.305
2013-06-01,76.159
2013-07-01,82.3519
2013-08-01,84.3254
2013-09-01,93.7486
2013-10-01,98.7576
2013-11-01,101.1535
2013-12-01,101.8478
2014-01-01,108.671
2014-02-01,111.248
2014-03-01,117.8882
2014-04-01,131.447
2014-05-01,133.6433
2014-06-01,143.0031
2014-07-01,152.1889
2014-08-01,151.2314
2014-09-01,154.9156
2014-10-01,164.6186
2014-11-01,167.6452
2014-12-01,172.6512
2015-01-01,180.5957
2015-02-01,181.9484
2015-03-01,188.2382
2015-04-01,206.1602
2015-05-01,209.7476
2015-06-01,218.7786
2015-07-01,227.5161
2015-08-01,227.2613
