Date,マネタリーベース平均残高／うち 日銀当座預金（前年比）
2013-03-01,72.2
2013-04-01,70.6
2013-05-01,108.1
2013-06-01,114.5
2013-07-01,116.4
2013-08-01,133.8
2013-09-01,139.2
2013-10-01,130.5
2013-11-01,160.5
2013-12-01,133.8
2014-01-01,149.7
2014-02-01,162.3
2014-03-01,148.9
2014-04-01,112.2
2014-05-01,101.6
2014-06-01,87.8
2014-07-01,84.8
2014-08-01,79.3
2014-09-01,65.2
2014-10-01,66.7
2014-11-01,65.7
2014-12-01,69.5
2015-01-01,66.2
2015-02-01,63.6
2015-03-01,59.7
2015-04-01,56.8
2015-05-01,56.9
2015-06-01,53
2015-07-01,49.5
2015-08-01,50.3
