Date,リース業
2008-03-01,2052294
2008-06-01,636144
2008-09-01,600640
2008-12-01,486496
2009-03-01,405365
2009-06-01,271813
2009-09-01,241838
2009-12-01,215885
2010-03-01,302519
2010-06-01,260280
2010-09-01,254980
2010-12-01,284323
2011-03-01,293919
2011-06-01,224554
2011-09-01,178111
2011-12-01,237795
2012-03-01,191165
2012-06-01,186836
2012-09-01,184825
2012-12-01,222068
2013-03-01,353769
2013-06-01,197415
2013-09-01,250430
2013-12-01,292637
2014-03-01,365283
2014-06-01,235707
2014-09-01,268240
2014-12-01,289982
2015-03-01,378751
2015-06-01,265933
