Date,不動産業
2008-03-01,873735
2008-06-01,347887
2008-09-01,530556
2008-12-01,453593
2009-03-01,645025
2009-06-01,436063
2009-09-01,537565
2009-12-01,399958
2010-03-01,798579
2010-06-01,643376
2010-09-01,462774
2010-12-01,376949
2011-03-01,477324
2011-06-01,329818
2011-09-01,430104
2011-12-01,511486
2012-03-01,580991
2012-06-01,341267
2012-09-01,349775
2012-12-01,431489
2013-03-01,598516
2013-06-01,409913
2013-09-01,316235
2013-12-01,463678
2014-03-01,638345
2014-06-01,631541
2014-09-01,491751
2014-12-01,487954
2015-03-01,750210
2015-06-01,582544
