Date,不納付加算税(百万円)
1984-01-01,19534
1985-01-01,20835
1986-01-01,22069
1987-01-01,26630
1988-01-01,19563
1989-01-01,17745
1990-01-01,19769
1991-01-01,24288
1992-01-01,28796
1993-01-01,30815
1994-01-01,28030
1995-01-01,26149
1996-01-01,24862
1997-01-01,26501
1998-01-01,25713
1999-01-01,21811
2000-01-01,21867
2001-01-01,23920
2002-01-01,22122
2003-01-01,21088
2004-01-01,18443
2005-01-01,18041
2006-01-01,17797
2007-01-01,16911
2008-01-01,14751
2009-01-01,13206
2010-01-01,11646
2011-01-01,10090
2012-01-01,9692
2013-01-01,8128
