Date,交通
2013-02-01,100.3
2013-03-01,101.4
2013-04-01,100.6
2013-05-01,100.7
2013-06-01,100.2
2013-07-01,101.8
2013-08-01,103.9
2013-09-01,100.5
2013-10-01,100.6
2013-11-01,100.3
2013-12-01,101.1
2014-01-01,100.2
2014-02-01,100.1
2014-03-01,101.7
2014-04-01,106.6
2014-05-01,106.6
2014-06-01,106.1
2014-07-01,109
2014-08-01,111
2014-09-01,107.9
2014-10-01,108.2
2014-11-01,108.1
2014-12-01,108.9
2015-01-01,108
2015-02-01,107.9
2015-03-01,109.3
2015-04-01,108.3
2015-05-01,108.5
2015-06-01,108
2015-07-01,109.5
