Date,他の被服類
2013-02-01,94.2
2013-03-01,98.8
2013-04-01,98.8
2013-05-01,98.9
2013-06-01,99.1
2013-07-01,97.6
2013-08-01,96.8
2013-09-01,98.4
2013-10-01,100.5
2013-11-01,100.5
2013-12-01,100
2014-01-01,94.5
2014-02-01,93.9
2014-03-01,98.1
2014-04-01,100.5
2014-05-01,100.6
2014-06-01,100.6
2014-07-01,99.4
2014-08-01,98.4
2014-09-01,100.7
2014-10-01,103.7
2014-11-01,103.9
2014-12-01,103.5
2015-01-01,98
2015-02-01,96.8
2015-03-01,101.2
2015-04-01,101.5
2015-05-01,101.7
2015-06-01,101.6
2015-07-01,100.1
