Date,労働力人口.男女計.季節調整値.万人
2013-02-01,6577
2013-03-01,6563
2013-04-01,6575
2013-05-01,6569
2013-06-01,6558
2013-07-01,6558
2013-08-01,6576
2013-09-01,6580
2013-10-01,6594
2013-11-01,6611
2013-12-01,6586
2014-01-01,6568
2014-02-01,6573
2014-03-01,6583
2014-04-01,6568
2014-05-01,6590
2014-06-01,6599
2014-07-01,6597
2014-08-01,6590
2014-09-01,6597
2014-10-01,6587
2014-11-01,6580
2014-12-01,6606
2015-01-01,6608
2015-02-01,6606
2015-03-01,6587
2015-04-01,6553
2015-05-01,6574
2015-06-01,6613
2015-07-01,6598
