Date,化学工業
2008-03-01,563329
2008-06-01,545781
2008-09-01,632241
2008-12-01,585457
2009-03-01,616947
2009-06-01,382889
2009-09-01,411015
2009-12-01,409634
2010-03-01,441667
2010-06-01,379138
2010-09-01,401718
2010-12-01,386416
2011-03-01,556164
2011-06-01,298457
2011-09-01,404075
2011-12-01,426986
2012-03-01,491576
2012-06-01,382216
2012-09-01,459702
2012-12-01,452312
2013-03-01,533713
2013-06-01,350762
2013-09-01,413147
2013-12-01,399637
2014-03-01,473416
2014-06-01,339698
2014-09-01,415422
2014-12-01,479059
2015-03-01,422480
2015-06-01,359847
