Date,合計(兆円)
1984-01-01,11.604973
1985-01-01,12.530538
1986-01-01,13.522097
1987-01-01,13.477399
1988-01-01,13.569596
1989-01-01,15.384156
1990-01-01,19.204778
1991-01-01,20.976076
1992-01-01,20.093838
1993-01-01,20.131752
1994-01-01,18.453487
1995-01-01,17.137241
1996-01-01,16.333437
1997-01-01,17.191916
1998-01-01,14.461958
1999-01-01,14.316673
2000-01-01,16.497201
2001-01-01,17.109735
2002-01-01,14.108252
2003-01-01,13.084038
2004-01-01,13.559517
2005-01-01,15.33086
2006-01-01,16.44654
2007-01-01,15.036539
2008-01-01,14.448473
2009-01-01,12.607291
2010-01-01,12.416432
2011-01-01,12.859027
2012-01-01,12.954121
2013-01-01,14.635169
