Date,娯楽業
2008-03-01,328306
2008-06-01,370685
2008-09-01,297607
2008-12-01,412981
2009-03-01,352027
2009-06-01,183820
2009-09-01,266780
2009-12-01,364519
2010-03-01,388745
2010-06-01,283946
2010-09-01,316109
2010-12-01,328766
2011-03-01,273358
2011-06-01,147939
2011-09-01,209457
2011-12-01,316478
2012-03-01,234896
2012-06-01,113984
2012-09-01,149577
2012-12-01,183980
2013-03-01,175065
2013-06-01,143687
2013-09-01,218767
2013-12-01,187329
2014-03-01,182876
2014-06-01,180469
2014-09-01,243331
2014-12-01,212361
2015-03-01,199539
2015-06-01,302784
