Date,宿泊業
2008-03-01,164219
2008-06-01,52568
2008-09-01,99060
2008-12-01,65664
2009-03-01,40827
2009-06-01,78715
2009-09-01,71255
2009-12-01,69245
2010-03-01,46654
2010-06-01,36308
2010-09-01,51170
2010-12-01,121627
2011-03-01,74018
2011-06-01,60853
2011-09-01,80150
2011-12-01,46793
2012-03-01,56773
2012-06-01,77411
2012-09-01,100411
2012-12-01,35485
2013-03-01,48504
2013-06-01,34166
2013-09-01,37337
2013-12-01,64677
2014-03-01,86245
2014-06-01,40626
2014-09-01,91360
2014-12-01,57606
2015-03-01,155556
2015-06-01,34106
