week,対内.中長期債.ネット
2015年2月第1週,688
2015年2月第2週,7150
2015年2月第3週,478
2015年2月第4週,2246
2015年3月第1週,2840
2015年3月第2週,6161
2015年3月第3週,-9545
2015年3月第4週,1871
2015年3月第5週,9993
2015年4月第2週,2858
2015年4月第3週,-6639
2015年4月第4週,3329
2015年4月第5週,2253
2015年5月第2週,1338
2015年5月第3週,-6663
2015年5月第4週,392
2015年5月第5週,-62
2015年5月第6週,1224
2015年6月第2週,-2761
2015年6月第3週,1078
2015年6月第4週,-13864
2015年6月第5週,4771
2015年7月第2週,9742
2015年7月第3週,-1796
2015年7月第4週,6843
2015年7月第5週,2639
2015年8月第2週,8204
2015年8月第3週,11945
2015年8月第4週,-53
2015年8月第5週,2301
