week,対内.株式投資ファンド持分.ネット
2015年1月第5週,-1048
2015年2月第1週,-4771
2015年2月第2週,1139
2015年2月第3週,2893
2015年2月第4週,3505
2015年3月第1週,2918
2015年3月第2週,2443
2015年3月第3週,-3524
2015年3月第4週,-344
2015年3月第5週,10361
2015年4月第2週,10411
2015年4月第3週,5990
2015年4月第4週,8210
2015年4月第5週,-2056
2015年5月第2週,714
2015年5月第3週,1872
2015年5月第4週,5641
2015年5月第5週,5742
2015年5月第6週,2552
2015年6月第2週,-4126
2015年6月第3週,-2533
2015年6月第4週,2980
2015年6月第5週,-1854
2015年7月第2週,-8534
2015年7月第3週,6322
2015年7月第4週,-817
2015年7月第5週,-28
2015年8月第2週,3564
2015年8月第3週,-5014
2015年8月第4週,-4619
