week,対内.短期債.ネット
2015年1月第5週,6686
2015年2月第1週,6610
2015年2月第2週,6149
2015年2月第3週,-13090
2015年2月第4週,10324
2015年3月第1週,3910
2015年3月第2週,9067
2015年3月第3週,1706
2015年3月第4週,11707
2015年3月第5週,-7985
2015年4月第2週,-8816
2015年4月第3週,17953
2015年4月第4週,3831
2015年4月第5週,-16581
2015年5月第2週,10470
2015年5月第3週,-3834
2015年5月第4週,-7378
2015年5月第5週,23570
2015年5月第6週,-17638
2015年6月第2週,7767
2015年6月第3週,7185
2015年6月第4週,-2509
2015年6月第5週,-8321
2015年7月第2週,-12528
2015年7月第3週,10887
2015年7月第4週,-3648
2015年7月第5週,-936
2015年8月第2週,17067
2015年8月第3週,-14571
2015年8月第4週,1794
