week,対外.中長期債.ネット
2014年2月第3週,5035
2014年2月第4週,6019
2014年2月第5週,-7590
2014年3月第2週,-6179
2014年3月第3週,1538
2014年3月第4週,-3987
2014年3月第5週,-7642
2014年3月第6週,-3792
2014年4月第2週,1146
2014年4月第3週,-4182
2014年4月第4週,711
2014年4月第5週,8559
2014年5月第2週,3458
2014年5月第3週,14163
2014年5月第4週,898
2014年5月第5週,-7213
2014年6月第1週,13266
2014年6月第2週,6411
2014年6月第3週,14878
2014年6月第4週,-10461
2014年6月第5週,-2964
2014年7月第2週,6815
2014年7月第3週,1277
2014年7月第4週,-3016
2014年7月第5週,8995
2014年8月第2週,2676
2014年8月第3週,6601
2014年8月第4週,-6084
2014年8月第5週,5114
2014年8月第6週,7701
2014年9月第2週,-4071
2014年9月第3週,7705
2014年9月第4週,1869
2014年9月第5週,-1686
2014年10月第2週,7842
2014年10月第3週,-11824
2014年10月第4週,434
2014年10月第5週,8066
2014年11月第2週,11234
2014年11月第3週,2595
2014年11月第4週,-367
2014年11月第5週,1
2014年11月第6週,-8003
2014年12月第2週,-6062
2014年12月第3週,-13600
2014年12月第4週,-1211
2014年12月第5週,199
2015年1月第2週,4645
2015年1月第3週,-3954
2015年1月第4週,442
2015年1月第5週,6752
2015年2月第1週,1926
2015年2月第2週,4768
2015年2月第3週,1662
2015年2月第4週,4709
2015年3月第1週,2682
2015年3月第2週,5510
2015年3月第3週,7884
2015年3月第4週,10431
2015年3月第5週,-30721
2015年4月第2週,2138
2015年4月第3週,4335
2015年4月第4週,1948
2015年4月第5週,-3992
2015年5月第2週,3948
2015年5月第3週,11018
2015年5月第4週,9607
2015年5月第5週,-3513
2015年5月第6週,-3846
2015年6月第2週,-18445
2015年6月第3週,-8906
2015年6月第4週,-428
2015年6月第5週,2064
2015年7月第2週,1638
2015年7月第3週,5747
2015年7月第4週,-262
2015年7月第5週,1198
2015年8月第2週,1108
2015年8月第3週,6013
2015年8月第4週,-2772
2015年8月第5週,9017
2015年8月第6週,11204
2015年9月第2週,5148
2015年9月第3週,7247
2015年9月第4週,10378
2015年9月第5週,-6269
2015年10月第2週,10576
2015年10月第3週,4962
2015年10月第4週,4649
2015年10月第5週,8828
2015年11月第1週,10363
2015年11月第2週,8933
2015年11月第3週,4090
2015年11月第4週,-1566
2015年11月第5週,813
2015年12月第2週,3218
2015年12月第3週,1469
2015年12月第4週,-1666
2015年12月第5週,859
2016年1月第2週,3231
