week,対外.合計.ネット
2005年1月第2週,9811
2005年1月第3週,3045
2005年1月第4週,-1458
2005年1月第5週,-4243
2005年1月第6週,2459
2005年2月第2週,-7507
2005年2月第3週,-3960
2005年2月第4週,2740
2005年2月第5週,-6331
2005年3月第2週,-2463
2005年3月第3週,1945
2005年3月第4週,-2659
2005年3月第5週,3985
2005年4月第2週,10124
2005年4月第3週,7830
2005年4月第4週,14747
2005年4月第5週,4890
2005年5月第1週,9754
2005年5月第2週,16308
2005年5月第3週,-7266
2005年5月第4週,3081
2005年5月第5週,2326
2005年6月第2週,4898
2005年6月第3週,-7283
2005年6月第4週,18109
2005年6月第5週,-2597
2005年7月第2週,2713
2005年7月第3週,5073
2005年7月第4週,12499
2005年7月第5週,-11
2005年7月第6週,615
2005年8月第2週,1072
2005年8月第3週,1583
2005年8月第4週,2181
2005年8月第5週,8434
2005年9月第2週,7882
2005年9月第3週,-8340
2005年9月第4週,1203
2005年9月第5週,2775
2005年10月第2週,16390
2005年10月第3週,2340
2005年10月第4週,6740
2005年10月第5週,7789
2005年10月第6週,8011
2005年11月第2週,716
2005年11月第3週,2481
2005年11月第4週,304
2005年11月第5週,-547
2005年12月第2週,6721
2005年12月第3週,5844
2005年12月第4週,2068
2005年12月第5週,-102
2006年1月第1週,283
2006年1月第2週,1012
2006年1月第3週,-2299
2006年1月第4週,-2969
2006年1月第5週,-1177
2006年2月第2週,1479
2006年2月第3週,-2419
2006年2月第4週,-1358
2006年2月第5週,2773
2006年3月第2週,-2509
2006年3月第3週,-14800
2006年3月第4週,-7236
2006年3月第5週,-2515
2006年4月第2週,3195
2006年4月第3週,-1219
2006年4月第4週,4536
2006年4月第5週,7025
2006年4月第6週,2332
2006年5月第2週,4218
2006年5月第3週,1262
2006年5月第4週,5104
2006年5月第5週,1803
2006年6月第2週,-1211
2006年6月第3週,-1374
2006年6月第4週,2308
2006年6月第5週,5762
2006年7月第2週,7740
2006年7月第3週,1277
2006年7月第4週,1151
2006年7月第5週,-1868
2006年7月第6週,9355
2006年8月第2週,-193
2006年8月第3週,6009
2006年8月第4週,8257
2006年8月第5週,-692
2006年9月第2週,1709
2006年9月第3週,-40
2006年9月第4週,2648
2006年9月第5週,-8256
2006年10月第1週,8250
2006年10月第2週,-3572
2006年10月第3週,4712
2006年10月第4週,6738
2006年10月第5週,1183
2006年11月第2週,9247
2006年11月第3週,-3629
2006年11月第4週,2949
2006年11月第5週,3177
2006年12月第2週,1166
2006年12月第3週,-3057
2006年12月第4週,617
2006年12月第5週,2317
2006年12月第6週,-937
2007年1月第2週,2594
2007年1月第3週,-1289
2007年1月第4週,-617
2007年1月第5週,-4952
2007年2月第2週,-3098
2007年2月第3週,-4133
2007年2月第4週,-2462
2007年2月第5週,-7257
2007年3月第2週,2154
2007年3月第3週,-55
2007年3月第4週,778
2007年3月第5週,-744
2007年4月第1週,7463
2007年4月第2週,4230
2007年4月第3週,3574
2007年4月第4週,-4216
2007年4月第5週,735
2007年5月第2週,6061
2007年5月第3週,991
2007年5月第4週,-3707
2007年5月第5週,3766
2007年6月第2週,-4911
2007年6月第3週,-1474
2007年6月第4週,-2293
2007年6月第5週,-1121
2007年7月第1週,5373
2007年7月第2週,-2788
2007年7月第3週,-5394
2007年7月第4週,13
2007年7月第5週,-3650
2007年8月第2週,160
2007年8月第3週,-6322
2007年8月第4週,-5422
2007年8月第5週,3484
2007年9月第2週,16017
2007年9月第3週,-5670
2007年9月第4週,10107
2007年9月第5週,12360
2007年9月第6週,4801
2007年10月第2週,5366
2007年10月第3週,2023
2007年10月第4週,7479
2007年10月第5週,9559
2007年11月第2週,9826
2007年11月第3週,-3024
2007年11月第4週,9800
2007年11月第5週,-10335
2007年12月第2週,-986
2007年12月第3週,8084
2007年12月第4週,2813
2007年12月第5週,-1384
2007年12月第6週,4063
2008年1月第2週,9934
2008年1月第3週,12145
2008年1月第4週,4486
2008年1月第5週,5515
2008年2月第2週,4547
2008年2月第3週,1465
2008年2月第4週,-1339
2008年2月第5週,8263
2008年3月第2週,7972
2008年3月第3週,9612
2008年3月第4週,1829
2008年3月第5週,-7477
2008年3月第6週,-2833
2008年4月第2週,6302
2008年4月第3週,-8280
2008年4月第4週,-1287
2008年4月第5週,-23
2008年5月第2週,10530
2008年5月第3週,2805
2008年5月第4週,5595
2008年5月第5週,1516
